School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Part. Rate %;Avg. Scaled Score;SGP;Included In SGP;year;grade;student_group
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;ELA;          70;74;          16;17;          54;57;          22;23;           3;3;          95;99;     510.5;          62.8;          95;2021;10;ALL
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;MATH;          54;57;           5;5;          49;52;          36;38;           5;5;          95;99;     501.4;          42.6;          95;2021;10;ALL
Abington - Abington High;00010505;ELA;          98;67;          31;21;          67;46;          37;25;          12;8;         147;96;     510.4;          57.2;         128;2021;10;ALL
Abington - Abington High;00010505;MATH;          75;51;          16;11;          59;40;          55;38;          16;11;         146;95;     500.2;          35.5;         127;2021;10;ALL
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School;04120530;ELA;          32;55;           4;7;          28;48;          24;41;           2;3;          58;94;     502.0;          36.3;          55;2021;10;ALL
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School;04120530;MATH;          19;34;           1;2;          18;32;          30;54;           7;13;          56;90;     490.4;          35.4;          54;2021;10;ALL
Acton-Boxborough - Acton-Boxborough Regional High;06000505;ELA;         410;91;         203;45;         207;46;          36;8;           5;1;         451;98;     524.6;          63.0;         430;2021;10;ALL
Acton-Boxborough - Acton-Boxborough Regional High;06000505;MATH;         390;86;         202;45;         188;42;          52;12;           9;2;         451;98;     525.5;          51.9;         430;2021;10;ALL
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School;04300305;ELA;         108;86;          37;30;          71;57;          17;14;           0;0;         125;82;     519.1;          55.6;         120;2021;10;ALL
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School;04300305;MATH;         111;88;          44;35;          67;53;          14;11;           1;1;         126;83;     523.5;          59.4;         123;2021;10;ALL
Agawam - Agawam High;00050505;ELA;         153;60;          29;11;         124;49;          86;34;          15;6;         254;96;     505.2;          57.4;         233;2021;10;ALL
Agawam - Agawam High;00050505;MATH;         120;47;          17;7;         103;41;         103;41;          31;12;         254;96;     497.8;          30.2;         234;2021;10;ALL
