School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Part. Rate %;Avg. Scaled Score;SGP;Included In SGP;year ;grade;student_group
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;ELA;          50;41;           4;3;          46;38;          55;45;          17;14;         122;100;     493.6;;;2021;4;ALL
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;MATH;           9;7;           1;1;           8;7;          68;56;          45;37;         122;100;     473.4;;;2021;4;ALL
Abington - Woodsdale Elementary School;00010015;ELA;          87;58;          15;10;          72;48;          46;30;          18;12;         151;96;     501.3;;;2021;4;ALL
Abington - Woodsdale Elementary School;00010015;MATH;          45;30;           4;3;          41;27;          84;56;          21;14;         150;95;     488.7;;;2021;4;ALL
Acton-Boxborough - Blanchard Memorial School;06000005;ELA;          48;74;           6;9;          42;65;          11;17;           6;9;          65;94;     508.4;;;2021;4;ALL
Acton-Boxborough - Blanchard Memorial School;06000005;MATH;          43;65;           7;11;          36;55;          16;24;           7;11;          66;96;     505.8;;;2021;4;ALL
Acton-Boxborough - C.T. Douglas Elementary School;06000020;ELA;          29;63;           5;11;          24;52;          15;33;           2;4;          46;92;     507.2;;;2021;4;ALL
Acton-Boxborough - C.T. Douglas Elementary School;06000020;MATH;          21;46;           1;2;          20;43;          21;46;           4;9;          46;92;     497.1;;;2021;4;ALL
Acton-Boxborough - Luther Conant School;06000030;ELA;          50;70;          11;15;          39;55;          18;25;           3;4;          71;100;     510.5;;;2021;4;ALL
Acton-Boxborough - Luther Conant School;06000030;MATH;          45;63;          10;14;          35;49;          19;27;           7;10;          71;100;     504.0;;;2021;4;ALL
Acton-Boxborough - McCarthy-Towne School;06000015;ELA;          41;61;           4;6;          37;55;          23;34;           3;4;          67;95;     502.6;;;2021;4;ALL
Acton-Boxborough - McCarthy-Towne School;06000015;MATH;          33;49;           1;1;          32;48;          30;45;           4;6;          67;95;     496.6;;;2021;4;ALL
Acton-Boxborough - Merriam School;06000010;ELA;          44;68;           6;9;          38;58;          20;31;           1;2;          65;93;     507.9;;;2021;4;ALL
Acton-Boxborough - Merriam School;06000010;MATH;          28;42;           4;6;          24;36;          31;46;           8;12;          67;96;     493.6;;;2021;4;ALL
Acton-Boxborough - Paul P Gates Elementary School;06000025;ELA;          54;84;          12;19;          42;66;           9;14;           1;2;          64;98;     515.6;;;2021;4;ALL
Acton-Boxborough - Paul P Gates Elementary School;06000025;MATH;          45;70;           8;13;          37;58;          14;22;           5;8;          64;98;     507.7;;;2021;4;ALL
Acushnet - Acushnet Elementary School;00030025;ELA;          53;72;          10;14;          43;58;          18;24;           3;4;          74;99;     509.1;;;2021;4;ALL
Acushnet - Acushnet Elementary School;00030025;MATH;          47;64;           9;12;          38;51;          26;35;           1;1;          74;99;     507.7;;;2021;4;ALL
Agawam - Benjamin J Phelps;00050020;ELA;          36;47;           4;5;          32;42;          34;45;           6;8;          76;94;     497.5;;;2021;4;ALL
Agawam - Benjamin J Phelps;00050020;MATH;          19;25;           2;3;          17;22;          43;57;          14;18;          76;94;     486.1;;;2021;4;ALL
Agawam - Clifford M Granger;00050010;ELA;          27;48;           4;7;          23;41;          23;41;           6;11;          56;90;     497.4;;;2021;4;ALL
Agawam - Clifford M Granger;00050010;MATH;          18;32;           1;2;          17;30;          28;49;          11;19;          57;90;     488.1;;;2021;4;ALL
Agawam - James Clark School;00050030;ELA;          29;55;           3;6;          26;49;          21;40;           3;6;          53;100;     499.2;;;2021;4;ALL
Agawam - James Clark School;00050030;MATH;          16;30;           2;4;          14;26;          26;49;          11;21;          53;100;     488.4;;;2021;4;ALL
Agawam - Robinson Park;00050025;ELA;          30;47;           3;5;          27;42;          29;45;           5;8;          64;93;     497.6;;;2021;4;ALL
Agawam - Robinson Park;00050025;MATH;          16;25;           3;5;          13;20;          33;52;          15;23;          64;93;     485.7;;;2021;4;ALL
Alma del Mar Charter School (District) - Alma del Mar Charter School;04090205;ELA;          28;56;           2;4;          26;52;          21;42;           1;2;          50;98;     500.7;;;2021;4;ALL
Alma del Mar Charter School (District) - Alma del Mar Charter School;04090205;MATH;           9;18;           0;0;           9;18;          36;72;           5;10;          50;98;     484.7;;;2021;4;ALL
Amesbury - Amesbury Elementary;00070005;ELA;          34;56;           2;3;          32;52;          19;31;           8;13;          61;97;     501.4;;;2021;4;ALL
Amesbury - Amesbury Elementary;00070005;MATH;          25;42;           2;3;          23;38;          22;37;          13;22;          60;95;     496.5;;;2021;4;ALL
Amesbury - Charles C Cashman Elementary;00070010;ELA;          36;60;           4;7;          32;53;          19;32;           5;8;          60;99;     503.0;;;2021;4;ALL
Amesbury - Charles C Cashman Elementary;00070010;MATH;          20;33;           1;2;          19;32;          32;53;           8;13;          60;99;     494.3;;;2021;4;ALL
Amherst - Crocker Farm Elementary;00080009;ELA;          21;75;           2;7;          19;68;           5;18;           2;7;          28;89;     506.4;;;2021;4;ALL
Amherst - Crocker Farm Elementary;00080009;MATH;          15;58;           1;4;          14;54;           7;27;           4;15;          26;77;     498.3;;;2021;4;ALL
Amherst - Fort River Elementary;00080020;ELA;          14;47;           2;7;          12;40;          14;47;           2;7;          30;54;     500.3;;;2021;4;ALL
Amherst - Fort River Elementary;00080020;MATH;          10;33;           1;3;           9;30;           9;30;          11;37;          30;53;     485.2;;;2021;4;ALL
Amherst - Wildwood Elementary;00080050;ELA;          18;60;           5;17;          13;43;           9;30;           3;10;          30;62;     505.8;;;2021;4;ALL
Amherst - Wildwood Elementary;00080050;MATH;          14;47;           2;7;          12;40;          10;33;           6;20;          30;62;     494.6;;;2021;4;ALL
Andover - Bancroft Elementary;00090003;ELA;          60;67;          17;19;          43;48;          26;29;           3;3;          89;100;     509.0;;;2021;4;ALL
Andover - Bancroft Elementary;00090003;MATH;          46;52;           7;8;          39;44;          38;43;           5;6;          89;100;     498.9;;;2021;4;ALL
Andover - Henry C Sanborn Elementary;00090010;ELA;          44;73;           8;13;          36;60;          12;20;           4;7;          60;100;     510.1;;;2021;4;ALL
Andover - Henry C Sanborn Elementary;00090010;MATH;          33;55;           9;15;          24;40;          24;40;           3;5;          60;100;     504.0;;;2021;4;ALL
Andover - High Plain Elementary;00090004;ELA;          61;72;          23;27;          38;45;          21;25;           3;4;          85;100;     516.1;;;2021;4;ALL
Andover - High Plain Elementary;00090004;MATH;          54;64;          12;14;          42;49;          27;32;           4;5;          85;100;     509.0;;;2021;4;ALL
Andover - South Elementary;00090020;ELA;          64;81;           8;10;          56;71;          15;19;           0;0;          79;100;     511.3;;;2021;4;ALL
Andover - South Elementary;00090020;MATH;          44;56;           6;8;          38;48;          33;42;           2;3;          79;100;     501.7;;;2021;4;ALL
Andover - West Elementary;00090025;ELA;          60;64;          10;11;          50;53;          28;30;           6;6;          94;99;     507.3;;;2021;4;ALL
Andover - West Elementary;00090025;MATH;          42;45;           8;9;          34;36;          36;38;          16;17;          94;99;     497.0;;;2021;4;ALL
Arlington - Brackett;00100010;ELA;          69;85;          16;20;          53;65;          10;12;           2;2;          81;96;     516.1;;;2021;4;ALL
Arlington - Brackett;00100010;MATH;          53;65;           9;11;          44;54;          25;30;           4;5;          82;98;     505.8;;;2021;4;ALL
Arlington - Cyrus E Dallin;00100025;ELA;          60;77;          13;17;          47;60;          16;21;           2;3;          78;98;     511.4;;;2021;4;ALL
Arlington - Cyrus E Dallin;00100025;MATH;          37;47;           7;9;          30;38;          35;45;           6;8;          78;98;     500.7;;;2021;4;ALL
Arlington - Hardy;00100030;ELA;          48;69;           4;6;          44;63;          17;24;           5;7;          70;94;     504.1;;;2021;4;ALL
Arlington - Hardy;00100030;MATH;          30;43;           2;3;          28;40;          33;47;           7;10;          70;94;     495.9;;;2021;4;ALL
Arlington - John A Bishop;00100005;ELA;          42;67;          11;17;          31;49;          18;29;           3;5;          63;100;     509.7;;;2021;4;ALL
Arlington - John A Bishop;00100005;MATH;          35;56;           7;11;          28;44;          25;40;           3;5;          63;100;     503.5;;;2021;4;ALL
Arlington - M Norcross Stratton;00100055;ELA;          44;67;          12;18;          32;48;          19;29;           3;5;          66;100;     508.2;;;2021;4;ALL
Arlington - M Norcross Stratton;00100055;MATH;          37;56;           4;6;          33;50;          23;35;           6;9;          66;100;     501.5;;;2021;4;ALL
Arlington - Peirce;00100045;ELA;          28;74;           2;5;          26;68;          10;26;           0;0;          38;97;     507.7;;;2021;4;ALL
Arlington - Peirce;00100045;MATH;          18;47;           1;3;          17;45;          18;47;           2;5;          38;97;     498.0;;;2021;4;ALL
Arlington - Thompson;00100050;ELA;          52;65;          11;14;          41;51;          24;30;           4;5;          80;91;     507.6;;;2021;4;ALL
Arlington - Thompson;00100050;MATH;          47;59;           7;9;          40;51;          23;29;           9;11;          79;90;     501.6;;;2021;4;ALL
Ashburnham-Westminster - Briggs Elementary;06100025;ELA;          36;50;           2;3;          34;47;          35;49;           1;1;          72;100;     499.2;;;2021;4;ALL
Ashburnham-Westminster - Briggs Elementary;06100025;MATH;          18;25;           2;3;          16;22;          45;63;           9;13;          72;100;     489.1;;;2021;4;ALL
