School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Avg. Scaled Score;SGP;Included In SGP;Ach. PCTL;year;grade;student_group
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;ELA;          48;42;           6;5;          42;37;          51;45;          14;12;         113;     497.5;          47.1;         113;46;2019;7;ALL
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;MATH;          46;41;           6;5;          40;35;          53;47;          14;12;         113;     493.7;          38.3;         113;38;2019;7;ALL
Abington - Abington Middle School;00010405;ELA;          89;49;          13;7;          76;42;          81;45;          10;6;         180;     500.0;          40.1;         177;54;2019;7;ALL
Abington - Abington Middle School;00010405;MATH;          76;42;          11;6;          65;36;          91;50;          14;8;         181;     495.4;          35.1;         178;44;2019;7;ALL
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School;04120530;ELA;          23;31;           2;3;          21;28;          45;61;           6;8;          74;     492.9;          57.0;          66;32;2019;7;ALL
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School;04120530;MATH;          16;22;           1;1;          15;20;          49;66;           9;12;          74;     486.8;          46.6;          66;24;2019;7;ALL
Acton-Boxborough - Raymond J Grey Junior High;06000405;ELA;         333;78;          71;17;         262;61;          78;18;          16;4;         427;     513.4;          43.1;         412;92;2019;7;ALL
Acton-Boxborough - Raymond J Grey Junior High;06000405;MATH;         343;81;         160;38;         183;43;          67;16;          15;4;         425;     520.1;          58.3;         410;97;2019;7;ALL
Acushnet - Albert F Ford Middle School;00030305;ELA;          61;51;           5;4;          56;47;          47;39;          11;9;         119;     499.8;          55.2;         112;53;2019;7;ALL
Acushnet - Albert F Ford Middle School;00030305;MATH;          62;52;          12;10;          50;42;          49;41;           8;7;         119;     501.2;          53.9;         111;64;2019;7;ALL
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School;04300305;ELA;         102;73;          16;12;          86;62;          35;25;           2;1;         139;     510.2;          51.5;         138;86;2019;7;ALL
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School;04300305;MATH;         111;79;          29;21;          82;59;          29;21;           0;0;         140;     515.5;          62.8;         139;93;2019;7;ALL
