School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Avg. Scaled Score;SGP;Included In SGP;Ach. PCTL;year;grade;student_group
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;ELA;          13;22;           1;2;          12;20;          39;65;           8;13;          60;     487.0;          47.7;          34;69;2019;ALL;EL
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;MATH;           5;8;           1;2;           4;7;          35;58;          20;33;          60;     480.6;          41.9;          34;47;2019;ALL;EL
Abington - Abington Middle School;00010405;ELA;           2;11;           0;0;           2;11;           8;42;           9;47;          19;     477.9;;          15;34;2019;ALL;EL
Abington - Abington Middle School;00010405;MATH;           3;16;           0;0;           3;16;          11;58;           5;26;          19;     479.5;;          15;44;2019;ALL;EL
Abington - Abington Middle School;00010405;SCI;           2;13;           0;0;           2;13;           8;53;           5;33;          15;     473.9;;;66;2019;ALL;EL
Abington - Woodsdale Elementary School;00010015;ELA;           8;42;           0;0;           8;42;          10;53;           1;5;          19;     497.4;;           8;92;2019;ALL;EL
Abington - Woodsdale Elementary School;00010015;MATH;           5;26;           0;0;           5;26;          13;68;           1;5;          19;     488.1;;           8;70;2019;ALL;EL
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School;04120530;ELA;           3;5;           0;0;           3;5;          42;76;          10;18;          55;     480.9;          53.9;          41;46;2019;ALL;EL
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School;04120530;MATH;           7;13;           0;0;           7;13;          37;67;          11;20;          55;     480.9;          42.6;          40;48;2019;ALL;EL
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School;04120530;SCI;           3;9;           1;3;           2;6;          21;64;           9;27;          33;     479.7;;;80;2019;ALL;EL
Acton-Boxborough - McCarthy-Towne School;06000015;ELA;           2;13;           0;0;           2;13;           9;60;           4;27;          15;     484.5;;           7;61;2019;ALL;EL
Acton-Boxborough - McCarthy-Towne School;06000015;MATH;           3;20;           0;0;           3;20;          10;67;           2;13;          15;     485.0;;           7;63;2019;ALL;EL
Acton-Boxborough - Merriam School;06000010;ELA;           2;15;           0;0;           2;15;          10;77;           1;8;          13;     487.5;;           9;70;2019;ALL;EL
Acton-Boxborough - Merriam School;06000010;MATH;           5;42;           0;0;           5;42;           5;42;           2;17;          12;     492.0;;           9;79;2019;ALL;EL
Acton-Boxborough - Paul P Gates Elementary School;06000025;ELA;           5;45;           1;9;           4;36;           6;55;           0;0;          11;     497.6;;           5;92;2019;ALL;EL
Acton-Boxborough - Paul P Gates Elementary School;06000025;MATH;           3;27;           0;0;           3;27;           8;73;           0;0;          11;     493.8;;           5;83;2019;ALL;EL
Acton-Boxborough - Raymond J Grey Junior High;06000405;ELA;           1;6;           0;0;           1;6;          10;59;           6;35;          17;     476.0;;          10;30;2019;ALL;EL
