School Name,School Code,Subject,M+E #,M+E %,E #,E %,M #,M %,PM #,PM %,NM #,NM %,No. of Students Included,Part. Rate %,Avg. Scaled Score,SGP,Included In SGP,Ach. PCTL,Year
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,4450105,ELA,313,44,31,4,282,39,347,48,56,8,716,,497.3,48.7,586,33,2018
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,4450105,MATH,266,37,20,3,246,34,390,54,61,9,717,,494.6,52.9,587,33,2018
Abington - Abington Middle School,10405,ELA,363,54,52,8,311,46,259,38,52,8,674,,501.6,50.4,643,48,2018
Abington - Abington Middle School,10405,MATH,323,48,23,3,300,45,305,45,45,7,673,,498.5,45.3,644,47,2018
Abington - Woodsdale Elementary School,10015,ELA,181,59,38,12,143,47,108,35,18,6,307,,504.2,48.4,139,60,2018
Abington - Woodsdale Elementary School,10015,MATH,153,50,22,7,131,43,124,41,29,9,306,,499.3,56,139,51,2018
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,4120530,ELA,138,44,15,5,123,39,151,48,26,8,315,,497.3,57.7,289,33,2018
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,4120530,MATH,103,33,10,3,93,30,175,56,37,12,315,,492.3,52.9,289,26,2018
Acton-Boxborough - Blanchard Memorial School,6000005,ELA,189,77,81,33,108,44,47,19,9,4,245,,519.6,70.9,179,98,2018
Acton-Boxborough - Blanchard Memorial School,6000005,MATH,176,72,54,22,122,50,56,23,13,5,245,,513,62.2,180,94,2018
Acton-Boxborough - C.T. Douglas Elementary School,6000020,ELA,208,76,47,17,161,59,61,22,3,1,272,,512.9,63.5,196,90,2018
Acton-Boxborough - C.T. Douglas Elementary School,6000020,MATH,185,69,26,10,159,59,73,27,12,4,270,,507.4,61.6,197,81,2018
Acton-Boxborough - Luther Conant School,6000030,ELA,224,80,89,32,135,48,54,19,3,1,281,,520,67.3,219,98,2018
Acton-Boxborough - Luther Conant School,6000030,MATH,222,79,88,31,134,48,49,17,10,4,281,,517.6,62,220,98,2018
Acton-Boxborough - McCarthy-Towne School,6000015,ELA,181,65,39,14,142,51,88,32,8,3,277,,509.9,60.2,196,81,2018
Acton-Boxborough - McCarthy-Towne School,6000015,MATH,138,50,18,7,120,44,118,43,19,7,275,,500.9,49.4,195,57,2018
Acton-Boxborough - Merriam School,6000010,ELA,215,71,52,17,163,54,80,27,6,2,301,,511.4,64.1,208,86,2018
Acton-Boxborough - Merriam School,6000010,MATH,196,65,37,12,159,53,91,30,13,4,300,,507.1,59.1,211,80,2018
Acton-Boxborough - Paul P Gates Elementary School,6000025,ELA,178,76,69,29,109,47,50,21,6,3,234,,518,67.2,163,97,2018
Acton-Boxborough - Paul P Gates Elementary School,6000025,MATH,178,76,68,29,110,47,53,23,3,1,234,,517,66.6,163,98,2018
Acton-Boxborough - Raymond J Grey Junior High,6000405,ELA,696,74,142,15,554,59,217,23,29,3,942,,511.6,50.7,896,86,2018
Acton-Boxborough - Raymond J Grey Junior High,6000405,MATH,768,82,279,30,489,52,152,16,17,2,937,,518.5,57.5,894,99,2018
Acushnet - Acushnet Elementary School,30025,ELA,142,69,24,12,118,58,54,26,9,4,205,,508.9,56.7,100,78,2018
Acushnet - Acushnet Elementary School,30025,MATH,109,53,19,9,90,44,84,41,12,6,205,,504,60.9,100,69,2018
Acushnet - Albert F Ford Middle School,30305,ELA,178,44,15,4,163,41,170,42,54,13,402,,496.8,46.5,389,31,2018
Acushnet - Albert F Ford Middle School,30305,MATH,203,51,28,7,175,44,173,43,24,6,400,,500,57.4,387,53,2018
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,4300305,ELA,318,70,71,16,247,54,125,27,14,3,457,,510,53.5,420,82,2018
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,4300305,MATH,302,66,71,16,231,51,136,30,17,4,455,,509.3,47.4,421,86,2018
Agawam - Agawam Junior High,50405,ELA,236,42,21,4,215,38,245,44,78,14,559,,494.2,44.9,539,22,2018
Agawam - Agawam Junior High,50405,MATH,252,45,19,3,233,42,253,46,49,9,554,,497.4,41.9,536,43,2018
Agawam - Benjamin J Phelps,50020,ELA,80,52,15,10,65,42,66,43,9,6,155,,501.7,49.7,79,49,2018
Agawam - Benjamin J Phelps,50020,MATH,89,59,15,10,74,49,59,39,4,3,152,,505,63.9,79,73,2018
Agawam - Clifford M Granger,50010,ELA,64,49,16,12,48,37,61,47,6,5,131,,502.7,62.3,64,53,2018
Agawam - Clifford M Granger,50010,MATH,65,50,14,11,51,39,58,44,8,6,131,,500.1,55.3,64,54,2018
Agawam - James Clark School,50030,ELA,83,60,10,7,73,53,42,30,14,10,139,,502.4,43.8,76,52,2018
Agawam - James Clark School,50030,MATH,89,64,18,13,71,51,33,24,17,12,139,,503,49.2,76,66,2018
Agawam - Roberta G. Doering School,50303,ELA,307,55,26,5,281,51,208,37,41,7,556,,501,46.1,534,46,2018
