School Name,School Code,Subject,M+E #,M+E %,E #,E %,M #,M %,PM #,PM %,NM #,NM %,No. of Students Included,Part. Rate %,Avg. Scaled Score,SGP,Included In SGP,Ach_PCTL,Year
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,4450105,ELA,         258,37,          22,3,         236,34,         324,47,         112,16,         694,99,491.8,32.0,         449,,2021
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,4450105,MATH,         109,16,           4,1,         105,15,         398,57,         187,27,         694,99,480.1,22.0,         449,,2021
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,4450105,SCI,          59,27,           6,3,          53,25,         118,55,          38,18,         215,100,488.9,,,,2021
Abington - Abington Middle School,10405,ELA,         304,52,          53,9,         251,43,         193,33,          87,15,         584,95,499.3,38.9,         545,,2021
Abington - Abington Middle School,10405,MATH,         163,28,          13,2,         150,26,         319,55,          97,17,         579,94,488.6,24.5,         537,,2021
Abington - Abington Middle School,10405,SCI,         119,44,          18,7,         101,37,         124,46,          27,10,         270,94,496.9,,,,2021
Abington - Woodsdale Elementary School,10015,ELA,         170,60,          32,11,         138,49,          87,31,          26,9,         283,96,504.3,,,,2021
Abington - Woodsdale Elementary School,10015,MATH,         127,45,          23,8,         104,37,         121,43,          34,12,         282,95,496.1,,,,2021
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,4120530,ELA,          65,25,           4,2,          61,23,         120,46,          76,29,         261,96,483.2,30.6,         245,,2021
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,4120530,MATH,          26,10,           1,0,          25,9,         146,55,          92,35,         264,97,476.5,24.4,         249,,2021
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,4120530,SCI,          12,13,           0,0,          12,13,          49,53,          31,34,          92,89,477.5,,,,2021
Acton-Boxborough - Blanchard Memorial School,6000005,ELA,         200,76,          50,19,         150,57,          46,18,          16,6,         262,96,511.8,45.5,         110,,2021
Acton-Boxborough - Blanchard Memorial School,6000005,MATH,         169,64,          41,16,         128,48,          77,29,          18,7,         264,96,507.2,44.2,         110,,2021
Acton-Boxborough - Blanchard Memorial School,6000005,SCI,          46,78,          12,20,          34,58,          11,19,           2,3,          59,95,515.3,,,,2021
Acton-Boxborough - C.T. Douglas Elementary School,6000020,ELA,         128,60,          27,13,         101,47,          72,34,          13,6,         213,95,505.2,40.2,         120,,2021
Acton-Boxborough - C.T. Douglas Elementary School,6000020,MATH,         113,53,          19,9,          94,44,          85,40,          15,7,         213,95,500.8,43.7,         120,,2021
Acton-Boxborough - C.T. Douglas Elementary School,6000020,SCI,          34,55,           7,11,          27,44,          25,40,           3,5,          62,96,504.1,,,,2021
Acton-Boxborough - Luther Conant School,6000030,ELA,         182,78,          57,25,         125,54,          43,19,           7,3,         232,99,514.9,56.6,          88,,2021
Acton-Boxborough - Luther Conant School,6000030,MATH,         175,75,          47,20,         128,55,          44,19,          13,6,         232,99,512.8,60.3,          88,,2021
Acton-Boxborough - Luther Conant School,6000030,SCI,          36,78,          10,22,          26,57,          10,22,           0,0,          46,98,516.4,,,,2021
Acton-Boxborough - McCarthy-Towne School,6000015,ELA,         181,61,          38,13,         143,48,          97,33,          18,6,         296,96,504.7,43.4,         139,,2021
Acton-Boxborough - McCarthy-Towne School,6000015,MATH,         141,48,          14,5,         127,43,         124,42,          30,10,         295,96,497.0,43.0,         138,,2021
Acton-Boxborough - McCarthy-Towne School,6000015,SCI,          45,66,           8,12,          37,54,          23,34,           0,0,          68,97,509.7,,,,2021
Acton-Boxborough - Merriam School,6000010,ELA,         165,63,          42,16,         123,47,          86,33,           9,3,         260,97,507.1,39.1,         132,,2021
Acton-Boxborough - Merriam School,6000010,MATH,         130,50,          22,8,         108,41,         110,42,          21,8,         261,97,500.3,44.3,         131,,2021
Acton-Boxborough - Merriam School,6000010,SCI,          42,64,          10,15,          32,48,          19,29,           5,8,          66,94,507.2,,,,2021
Acton-Boxborough - Paul P Gates Elementary School,6000025,ELA,         188,79,          57,24,         131,55,          47,20,           4,2,         239,98,516.2,47.4,         127,,2021
Acton-Boxborough - Paul P Gates Elementary School,6000025,MATH,         171,72,          49,21,         122,51,          59,25,           9,4,         239,98,511.9,45.7,         127,,2021
Acton-Boxborough - Paul P Gates Elementary School,6000025,SCI,          42,64,          11,17,          31,47,          22,33,           2,3,          66,99,509.6,,,,2021
Acton-Boxborough - Raymond J Grey Junior High,6000405,ELA,         561,70,         110,14,         451,56,         210,26,          36,4,         807,98,510.1,41.8,         764,,2021
Acton-Boxborough - Raymond J Grey Junior High,6000405,MATH,         627,78,         189,23,         438,54,         156,19,          22,3,         805,98,515.8,59.7,         762,,2021
Acton-Boxborough - Raymond J Grey Junior High,6000405,SCI,         248,71,          87,25,         161,46,          89,25,          14,4,         351,98,511.9,,,,2021
Acushnet - Acushnet Elementary School,30025,ELA,         110,65,          22,13,          88,52,          53,32,           5,3,         168,99,507.7,,,,2021
Acushnet - Acushnet Elementary School,30025,MATH,          93,55,          17,10,          76,45,          59,35,          16,10,         168,99,502.6,,,,2021
Acushnet - Albert F Ford Middle School,30305,ELA,         187,47,          33,8,         154,38,         160,40,          55,14,         402,98,498.5,35.4,         371,,2021
Acushnet - Albert F Ford Middle School,30305,MATH,         150,37,          10,2,         140,35,         202,50,          49,12,         401,98,493.9,32.3,         374,,2021
Acushnet - Albert F Ford Middle School,30305,SCI,          80,40,          10,5,          70,35,          84,42,          34,17,         198,99,494.3,,,,2021
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,4300305,ELA,         232,65,          46,13,         186,52,         114,32,          12,3,         358,96,508.9,41.1,         311,,2021
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,4300305,MATH,         183,51,          53,15,         130,36,         150,41,          29,8,         362,97,503.2,32.8,         316,,2021
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,4300305,SCI,          48,64,           3,4,          45,60,          26,35,           1,1,          75,96,506.2,,,,2021
Agawam - Agawam Junior High,50405,ELA,         117,31,          10,3,         107,29,         187,50,          69,18,         373,68,490.5,28.6,         356,,2021
Agawam - Agawam Junior High,50405,MATH,         130,35,          11,3,         119,32,         182,49,          61,16,         373,68,491.1,25.5,         358,,2021
Agawam - Agawam Junior High,50405,SCI,          51,40,           7,6,          44,35,          55,44,          20,16,         126,53,494.3,,,,2021
Agawam - Benjamin J Phelps,50020,ELA,          74,54,           9,7,          65,47,          56,41,           7,5,         137,94,500.3,,,,2021
Agawam - Benjamin J Phelps,50020,MATH,          45,33,           7,5,          38,28,          69,50,          23,17,         137,94,490.0,,,,2021
Agawam - Clifford M Granger,50010,ELA,          47,52,           5,6,          42,47,          35,39,           8,9,          90,92,498.2,,,,2021
Agawam - Clifford M Granger,50010,MATH,          30,33,           2,2,          28,30,          45,49,          17,18,          92,93,489.5,,,,2021
Agawam - James Clark School,50030,ELA,          58,56,          13,13,          45,43,          40,38,           6,6,         104,100,502.6,,,,2021
Agawam - James Clark School,50030,MATH,          30,29,           5,5,          25,24,          50,48,          24,23,         104,100,488.1,,,,2021
Agawam - Roberta G. Doering School,50303,ELA,         200,46,          21,5,         179,41,         181,41,          58,13,         439,88,496.8,35.3,         415,,2021
Agawam - Roberta G. Doering School,50303,MATH,         162,37,          16,4,         146,34,         214,49,          58,13,         434,87,493.0,27.7,         412,,2021
Agawam - Roberta G. Doering School,50303,SCI,         102,47,           8,4,          94,43,          87,40,          28,13,         217,89,497.2,,,,2021
Agawam - Robinson Park,50025,ELA,          54,45,           7,6,          47,39,          54,45,          12,10,         120,93,497.8,,,,2021
Agawam - Robinson Park,50025,MATH,          32,27,           8,7,          24,20,          57,48,          31,26,         120,93,486.3,,,,2021
Alma del Mar Charter School (District) - Alma del Mar Charter School,4090205,ELA,         208,43,          23,5,         185,38,         202,42,          74,15,         484,99,494.3,31.4,         307,,2021
Alma del Mar Charter School (District) - Alma del Mar Charter School,4090205,MATH,         106,22,           6,1,         100,21,         255,53,         123,25,         484,99,483.0,14.6,         307,,2021
Alma del Mar Charter School (District) - Alma del Mar Charter School,4090205,SCI,          18,20,           1,1,          17,19,          47,53,          23,26,          88,100,482.2,,,,2021
Amesbury - Amesbury Elementary,70005,ELA,          52,54,           9,9,          43,44,          29,30,          16,16,          97,98,500.1,,,,2021
Amesbury - Amesbury Elementary,70005,MATH,          37,39,           3,3,          34,36,          38,40,          20,21,          95,96,494.0,,,,2021
Amesbury - Amesbury Middle,70013,ELA,         261,46,          45,8,         216,38,         215,38,          91,16,         567,94,496.3,35.9,         545,,2021
Amesbury - Amesbury Middle,70013,MATH,         171,30,          12,2,         159,28,         285,51,         106,19,         562,93,489.2,31.3,         539,,2021
Amesbury - Amesbury Middle,70013,SCI,         120,45,          17,6,         103,38,         108,40,          40,15,         268,96,496.9,,,,2021
Amesbury - Charles C Cashman Elementary,70010,ELA,          70,54,          13,10,          57,44,          46,35,          14,11,         130,97,501.9,,,,2021
Amesbury - Charles C Cashman Elementary,70010,MATH,          41,32,           2,2,          39,30,          58,45,          30,23,         129,96,489.8,,,,2021
Amherst - Crocker Farm Elementary,80009,ELA,          52,60,           6,7,          46,53,          21,24,          14,16,          87,56,500.2,39.8,          38,,2021
Amherst - Crocker Farm Elementary,80009,MATH,          39,44,           3,3,          36,40,          36,40,          14,16,          89,56,495.2,42.0,          41,,2021
Amherst - Crocker Farm Elementary,80009,SCI,          13,43,           1,3,          12,40,          10,33,           7,23,          30,65,494.0,,,,2021
Amherst - Fort River Elementary,80020,ELA,          51,53,          15,15,          36,37,          37,38,           9,9,          97,62,503.8,40.1,          39,,2021
Amherst - Fort River Elementary,80020,MATH,          46,48,           9,9,          37,39,          23,24,          26,27,          95,61,493.4,35.2,          39,,2021
Amherst - Fort River Elementary,80020,SCI,           9,53,           1,6,           8,47,           5,29,           3,18,          17,49,496.3,,,,2021
Amherst - Wildwood Elementary,80050,ELA,          81,63,          21,16,          60,47,          36,28,          11,9,         128,64,506.5,43.3,          62,,2021
Amherst - Wildwood Elementary,80050,MATH,          47,37,           3,2,          44,35,          52,41,          27,21,         126,62,492.3,32.1,          60,,2021
Amherst - Wildwood Elementary,80050,SCI,          18,47,           2,5,          16,42,          15,39,           5,13,          38,69,501.6,,,,2021
Amherst-Pelham - Amherst Regional Middle School,6050405,ELA,          61,65,          10,11,          51,54,          20,21,          13,14,          94,24,506.7,45.0,          79,,2021
Amherst-Pelham - Amherst Regional Middle School,6050405,MATH,          58,54,          11,10,          47,44,          35,33,          14,13,         107,26,503.9,33.5,          91,,2021
Amherst-Pelham - Amherst Regional Middle School,6050405,SCI,          27,68,           6,15,          21,53,           8,20,           5,13,          40,20,510.0,,,,2021
Andover - Andover West Middle,90310,ELA,         297,56,          80,15,         217,41,         178,34,          54,10,         529,99,503.9,36.4,         479,,2021
Andover - Andover West Middle,90310,MATH,         330,62,          92,17,         238,45,         154,29,          47,9,         531,100,506.6,42.6,         481,,2021
Andover - Andover West Middle,90310,SCI,          90,62,          21,14,          69,47,          49,34,           7,5,         146,99,506.4,,,,2021
Andover - Bancroft Elementary,90003,ELA,         187,67,          37,13,         150,54,          84,30,           9,3,         280,99,507.1,45.3,          93,,2021
Andover - Bancroft Elementary,90003,MATH,         131,47,          20,7,         111,40,         120,43,          29,10,         280,99,497.3,43.5,          94,,2021
Andover - Bancroft Elementary,90003,SCI,          65,68,          15,16,          50,53,          24,25,           6,6,          95,99,509.6,,,,2021
Andover - Doherty Middle,90305,ELA,         275,61,          61,14,         214,48,         137,31,          37,8,         449,98,506.2,44.3,         436,,2021
Andover - Doherty Middle,90305,MATH,         229,51,          42,9,         187,42,         182,41,          38,8,         449,98,501.1,40.0,         436,,2021
Andover - Doherty Middle,90305,SCI,          78,53,          20,14,          58,39,          55,37,          14,10,         147,98,501.7,,,,2021
Andover - Henry C Sanborn Elementary,90010,ELA,         124,67,          30,16,          94,51,          56,30,           6,3,         186,98,509.1,28.6,          67,,2021
Andover - Henry C Sanborn Elementary,90010,MATH,         115,62,          26,14,          89,48,          65,35,           6,3,         186,98,507.2,36.1,          67,,2021
Andover - Henry C Sanborn Elementary,90010,SCI,          42,59,           8,11,          34,48,          24,34,           5,7,          71,99,503.6,,,,2021
Andover - High Plain Elementary,90004,ELA,         199,78,          72,28,         127,50,          49,19,           7,3,         255,100,516.5,58.8,          79,,2021
Andover - High Plain Elementary,90004,MATH,         175,69,          40,16,         135,53,          66,26,          14,5,         255,100,510.1,60.3,          79,,2021
Andover - High Plain Elementary,90004,SCI,          70,80,          32,37,          38,44,          16,18,           1,1,          87,100,519.7,,,,2021
Andover - South Elementary,90020,ELA,         188,78,          42,17,         146,61,          51,21,           2,1,         241,100,512.4,40.7,          89,,2021
Andover - South Elementary,90020,MATH,         146,61,          21,9,         125,52,          88,37,           7,3,         241,100,504.0,43.5,          89,,2021
Andover - South Elementary,90020,SCI,          54,61,          10,11,          44,49,          32,36,           3,3,          89,100,504.8,,,,2021
Andover - West Elementary,90025,ELA,         181,65,          38,14,         143,51,          85,30,          13,5,         279,100,507.7,42.7,          96,,2021
Andover - West Elementary,90025,MATH,         139,50,          30,11,         109,39,         107,38,          33,12,         279,100,500.3,45.8,          96,,2021
Andover - West Elementary,90025,SCI,          72,71,          11,11,          61,60,          26,25,           4,4,         102,100,508.7,,,,2021
Andover - Wood Hill Middle School,90350,ELA,         227,63,          59,16,         168,46,         113,31,          23,6,         363,99,507.2,33.7,         334,,2021
Andover - Wood Hill Middle School,90350,MATH,         234,64,          64,18,         170,47,         104,29,          26,7,         364,99,508.6,39.0,         336,,2021
Andover - Wood Hill Middle School,90350,SCI,          65,63,          14,13,          51,49,          30,29,           9,9,         104,100,504.2,,,,2021
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,ELA,          57,18,           2,1,          55,18,         160,51,          95,30,         312,96,480.7,21.3,         285,,2021
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,MATH,          41,13,           1,0,          40,13,         175,56,          98,31,         314,97,479.1,17.9,         286,,2021
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,SCI,           9,14,           1,2,           8,13,          36,56,          19,30,          64,96,480.8,,,,2021
Arlington - Brackett,100010,ELA,         169,80,          28,13,         141,67,          37,18,           5,2,         211,98,512.2,40.6,          62,,2021
Arlington - Brackett,100010,MATH,         126,60,          20,9,         106,50,          78,37,           7,3,         211,98,504.1,40.4,          62,,2021
Arlington - Brackett,100010,SCI,          55,87,          18,29,          37,59,           8,13,           0,0,          63,98,520.3,,,,2021
