School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Avg. Scaled Score;SGP;Included In SGP;Ach. PCTL;year;grade;student_group
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;ELA;         125;43;          14;5;         111;38;         140;48;          29;10;         294;     496.2;          49.1;         236;58;2019;ALL;ever EL
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;MATH;          95;32;           7;2;          88;30;         160;54;          39;13;         294;     492.4;          48.5;         236;47;2019;ALL;ever EL
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;SCI;          24;26;           1;1;          23;25;          54;59;          14;15;          92;     488.3;;;54;2019;ALL;ever EL
Abington - Abington Middle School;00010405;ELA;          26;44;           4;7;          22;37;          22;37;          11;19;          59;     495.6;          55.2;          55;55;2019;ALL;ever EL
Abington - Abington Middle School;00010405;MATH;          23;39;           1;2;          22;37;          31;53;           5;8;          59;     492.9;          52.5;          55;49;2019;ALL;ever EL
Abington - Abington Middle School;00010405;SCI;          12;33;           1;3;          11;31;          18;50;           6;17;          36;     488.9;;;56;2019;ALL;ever EL
Abington - Woodsdale Elementary School;00010015;ELA;          11;46;           0;0;          11;46;          11;46;           2;8;          24;     497.8;;          11;63;2019;ALL;ever EL
Abington - Woodsdale Elementary School;00010015;MATH;           9;38;           0;0;           9;38;          13;54;           2;8;          24;     490.3;;          11;40;2019;ALL;ever EL
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School;04120530;ELA;          44;34;           4;3;          40;31;          74;57;          11;9;         129;     492.5;          56.6;         110;44;2019;ALL;ever EL
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School;04120530;MATH;          33;26;           3;2;          30;23;          81;63;          15;12;         129;     489.1;          48.3;         109;35;2019;ALL;ever EL
