School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Avg. Scaled Score;SGP;Included In SGP;Ach. PCTL;year;grade;student_group
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;ELA;         206;59;          25;7;         181;52;         121;35;          22;6;         349;     503.0;          52.5;         289;38;2019;ALL;female
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;MATH;         146;42;           9;3;         137;39;         174;50;          29;8;         349;     496.1;          51.1;         289;36;2019;ALL;female
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;SCI;          42;35;           2;2;          40;34;          66;55;          11;9;         119;     492.3;;;28;2019;ALL;female
Abington - Abington Middle School;00010405;ELA;         203;65;          34;11;         169;54;          97;31;          11;4;         311;     507.2;          51.8;         304;55;2019;ALL;female
Abington - Abington Middle School;00010405;MATH;         147;47;          11;4;         136;44;         148;47;          17;5;         312;     498.5;          47.8;         304;46;2019;ALL;female
Abington - Abington Middle School;00010405;SCI;          70;44;           5;3;          65;41;          80;50;          10;6;         160;     497.8;;;43;2019;ALL;female
Abington - Woodsdale Elementary School;00010015;ELA;          96;69;          20;14;          76;54;          42;30;           2;1;         140;     510.4;          58.9;          66;67;2019;ALL;female
Abington - Woodsdale Elementary School;00010015;MATH;          75;54;          15;11;          60;43;          55;40;           9;6;         139;     502.6;          50.2;          65;63;2019;ALL;female
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School;04120530;ELA;          72;49;          10;7;          62;42;          68;47;           6;4;         146;     500.6;          56.1;         133;30;2019;ALL;female
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School;04120530;MATH;          53;36;           3;2;          50;34;          81;55;          12;8;         146;     492.8;          49.4;         132;25;2019;ALL;female
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School;04120530;SCI;          21;32;           1;2;          20;30;          38;58;           7;11;          66;     493.7;;;30;2019;ALL;female
Acton-Boxborough - Blanchard Memorial School;06000005;ELA;          98;81;          34;28;          64;53;          20;17;           3;2;         121;     518.1;          57.7;          88;89;2019;ALL;female
Acton-Boxborough - Blanchard Memorial School;06000005;MATH;          91;75;          29;24;          62;51;          26;21;           4;3;         121;     513.9;          63.3;          88;93;2019;ALL;female
Acton-Boxborough - Blanchard Memorial School;06000005;SCI;          31;89;          10;29;          21;60;           4;11;           0;0;          35;     519.5;;;98;2019;ALL;female
Acton-Boxborough - C.T. Douglas Elementary School;06000020;ELA;          87;70;          17;14;          70;56;          32;26;           6;5;         125;     509.4;          51.3;          90;64;2019;ALL;female
Acton-Boxborough - C.T. Douglas Elementary School;06000020;MATH;          66;53;          14;11;          52;42;          49;39;          10;8;         125;     500.1;          53.6;          89;53;2019;ALL;female
Acton-Boxborough - C.T. Douglas Elementary School;06000020;SCI;          15;45;           1;3;          14;42;          14;42;           4;12;          33;     495.4;;;36;2019;ALL;female
Acton-Boxborough - Luther Conant School;06000030;ELA;         115;89;          52;40;          63;49;          13;10;           1;1;         129;     526.3;          68.8;         110;99;2019;ALL;female
Acton-Boxborough - Luther Conant School;06000030;MATH;         100;78;          44;34;          56;43;          26;20;           3;2;         129;     520.7;          63.3;         110;99;2019;ALL;female
Acton-Boxborough - Luther Conant School;06000030;SCI;          26;68;           7;18;          19;50;          12;32;           0;0;          38;     511.6;;;88;2019;ALL;female
Acton-Boxborough - McCarthy-Towne School;06000015;ELA;         115;71;          24;15;          91;57;          44;27;           2;1;         161;     511.6;          48.4;         113;72;2019;ALL;female
Acton-Boxborough - McCarthy-Towne School;06000015;MATH;          95;59;          10;6;          85;53;          61;38;           5;3;         161;     503.2;          52.2;         114;65;2019;ALL;female
Acton-Boxborough - McCarthy-Towne School;06000015;SCI;          23;52;           0;0;          23;52;          19;43;           2;5;          44;     499.4;;;48;2019;ALL;female
Acton-Boxborough - Merriam School;06000010;ELA;         112;79;          22;15;          90;63;          27;19;           3;2;         142;     514.6;          53.3;         107;82;2019;ALL;female
Acton-Boxborough - Merriam School;06000010;MATH;          99;70;          14;10;          85;60;          39;27;           4;3;         142;     507.8;          62.3;         108;80;2019;ALL;female
Acton-Boxborough - Merriam School;06000010;SCI;          30;68;           9;20;          21;48;          13;30;           1;2;          44;     509.4;;;83;2019;ALL;female
Acton-Boxborough - Paul P Gates Elementary School;06000025;ELA;          91;85;          34;32;          57;53;          16;15;           0;0;         107;     521.4;          70.2;          80;95;2019;ALL;female
Acton-Boxborough - Paul P Gates Elementary School;06000025;MATH;          78;73;          27;25;          51;48;          26;24;           3;3;         107;     514.9;          64.6;          80;95;2019;ALL;female
Acton-Boxborough - Paul P Gates Elementary School;06000025;SCI;          20;83;           4;17;          16;67;           4;17;           0;0;          24;     514.7;;;94;2019;ALL;female
Acton-Boxborough - Raymond J Grey Junior High;06000405;ELA;         357;86;         115;28;         242;58;          54;13;           4;1;         415;     518.7;          47.5;         402;91;2019;ALL;female
Acton-Boxborough - Raymond J Grey Junior High;06000405;MATH;         343;83;         138;33;         205;50;          66;16;           5;1;         414;     520.0;          54.6;         401;99;2019;ALL;female
Acton-Boxborough - Raymond J Grey Junior High;06000405;SCI;         182;81;          47;21;         135;60;          42;19;           0;0;         224;     515.3;;;94;2019;ALL;female
Acushnet - Acushnet Elementary School;00030025;ELA;          79;76;          16;15;          63;61;          25;24;           0;0;         104;     513.4;          58.9;          53;79;2019;ALL;female
Acushnet - Acushnet Elementary School;00030025;MATH;          59;56;           8;8;          51;48;          44;42;           3;3;         106;     501.2;          63.6;          53;58;2019;ALL;female
Acushnet - Albert F Ford Middle School;00030305;ELA;         120;59;          10;5;         110;54;          77;38;           6;3;         203;     502.9;          49.6;         196;37;2019;ALL;female
Acushnet - Albert F Ford Middle School;00030305;MATH;         108;53;          19;9;          89;44;          88;43;           7;3;         203;     502.4;          55.8;         194;63;2019;ALL;female
Acushnet - Albert F Ford Middle School;00030305;SCI;          43;43;           8;8;          35;35;          53;53;           4;4;         100;     499.2;;;47;2019;ALL;female
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School;04300305;ELA;         156;85;          42;23;         114;62;          26;14;           1;1;         183;     518.2;          56.5;         173;89;2019;ALL;female
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School;04300305;MATH;         129;70;          32;17;          97;52;          55;30;           1;1;         185;     512.1;          52.6;         175;91;2019;ALL;female
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School;04300305;SCI;          44;63;           5;7;          39;56;          23;33;           3;4;          70;     505.9;;;69;2019;ALL;female
Agawam - Agawam Junior High;00050405;ELA;         139;53;          11;4;         128;49;         104;40;          19;7;         262;     499.5;          45.3;         254;27;2019;ALL;female
Agawam - Agawam Junior High;00050405;MATH;         130;49;          19;7;         111;42;         120;46;          13;5;         263;     500.8;          47.1;         254;56;2019;ALL;female
Agawam - Agawam Junior High;00050405;SCI;          59;43;           3;2;          56;41;          67;49;          12;9;         138;     494.8;;;34;2019;ALL;female
Agawam - Benjamin J Phelps;00050020;ELA;          24;51;           4;9;          20;43;          22;47;           1;2;          47;     503.9;          40.9;          23;42;2019;ALL;female
Agawam - Benjamin J Phelps;00050020;MATH;          26;55;           6;13;          20;43;          17;36;           4;9;          47;     501.8;          32.6;          23;60;2019;ALL;female
Agawam - Clifford M Granger;00050010;ELA;          27;54;           3;6;          24;48;          22;44;           1;2;          50;     505.0;          48.2;          26;46;2019;ALL;female
Agawam - Clifford M Granger;00050010;MATH;          28;56;           1;2;          27;54;          20;40;           2;4;          50;     502.7;          63.0;          26;64;2019;ALL;female
Agawam - James Clark School;00050030;ELA;          34;60;           7;12;          27;47;          20;35;           3;5;          57;     505.1;          56.1;          25;47;2019;ALL;female
Agawam - James Clark School;00050030;MATH;          28;49;           5;9;          23;40;          25;44;           4;7;          57;     500.8;          47.5;          25;56;2019;ALL;female
Agawam - Roberta G. Doering School;00050303;ELA;         178;60;          17;6;         161;54;         102;34;          17;6;         297;     504.2;          51.7;         290;43;2019;ALL;female
Agawam - Roberta G. Doering School;00050303;MATH;         159;54;          12;4;         147;49;         121;41;          17;6;         297;     500.5;          47.4;         290;55;2019;ALL;female
Agawam - Roberta G. Doering School;00050303;SCI;          78;46;          10;6;          68;40;          75;45;          15;9;         168;     498.1;;;45;2019;ALL;female
Agawam - Robinson Park;00050025;ELA;          42;65;           7;11;          35;54;          21;32;           2;3;          65;     508.1;          53.9;          27;58;2019;ALL;female
Agawam - Robinson Park;00050025;MATH;          37;57;           4;6;          33;51;          25;38;           3;5;          65;     501.2;          46.9;          27;58;2019;ALL;female
Alma del Mar Charter School (District) - Alma del Mar Charter School;04090205;ELA;          84;53;          15;9;          69;44;          67;42;           7;4;         158;     502.8;          40.5;         127;37;2019;ALL;female
Alma del Mar Charter School (District) - Alma del Mar Charter School;04090205;MATH;          86;54;          13;8;          73;46;          61;39;          11;7;         158;     501.0;          46.3;         127;57;2019;ALL;female
Alma del Mar Charter School (District) - Alma del Mar Charter School;04090205;SCI;          17;31;           1;2;          16;29;          30;55;           8;15;          55;     489.2;;;21;2019;ALL;female
Amesbury - Amesbury Elementary;00070005;ELA;          52;68;          12;16;          40;52;          20;26;           5;6;          77;     509.2;          53.8;          40;63;2019;ALL;female
Amesbury - Amesbury Elementary;00070005;MATH;          41;53;           5;6;          36;47;          28;36;           8;10;          77;     499.4;          44.8;          40;50;2019;ALL;female
Amesbury - Amesbury Middle;00070013;ELA;         186;63;          32;11;         154;52;          89;30;          21;7;         296;     504.2;          53.5;         289;43;2019;ALL;female
Amesbury - Amesbury Middle;00070013;MATH;         144;49;          24;8;         120;41;         121;41;          27;9;         292;     499.4;          60.3;         285;50;2019;ALL;female
Amesbury - Amesbury Middle;00070013;SCI;          78;59;           9;7;          69;52;          46;35;           9;7;         133;     503.0;;;61;2019;ALL;female
Amesbury - Charles C Cashman Elementary;00070010;ELA;          46;61;          10;13;          36;47;          24;32;           6;8;          76;     505.4;          57.4;          37;48;2019;ALL;female
Amesbury - Charles C Cashman Elementary;00070010;MATH;          30;39;           2;3;          28;37;          31;41;          15;20;          76;     491.7;          53.5;          37;22;2019;ALL;female
Amherst - Crocker Farm Elementary;00080009;ELA;          40;49;           7;9;          33;40;          37;45;           5;6;          82;     500.5;          54.3;          59;30;2019;ALL;female
Amherst - Crocker Farm Elementary;00080009;MATH;          35;43;           3;4;          32;40;          35;43;          11;14;          81;     494.1;          61.9;          59;28;2019;ALL;female
Amherst - Crocker Farm Elementary;00080009;SCI;           9;39;           2;9;           7;30;          12;52;           2;9;          23;     494.8;;;34;2019;ALL;female
Amherst - Fort River Elementary;00080020;ELA;          63;70;          21;23;          42;47;          20;22;           7;8;          90;     510.9;          51.7;          67;70;2019;ALL;female
Amherst - Fort River Elementary;00080020;MATH;          53;59;          10;11;          43;48;          26;29;          11;12;          90;     503.5;          49.0;          68;67;2019;ALL;female
Amherst - Fort River Elementary;00080020;SCI;          12;44;           1;4;          11;41;          13;48;           2;7;          27;     499.4;;;48;2019;ALL;female
Amherst - Wildwood Elementary;00080050;ELA;          60;60;          12;12;          48;48;          32;32;           8;8;         100;     508.1;          56.1;          64;59;2019;ALL;female
Amherst - Wildwood Elementary;00080050;MATH;          47;47;           5;5;          42;42;          41;41;          12;12;         100;     498.2;          52.2;          64;44;2019;ALL;female
Amherst - Wildwood Elementary;00080050;SCI;          14;48;           1;3;          13;45;          10;34;           5;17;          29;     499.3;;;48;2019;ALL;female
Amherst-Pelham - Amherst Regional Middle School;06050405;ELA;         107;61;          25;14;          82;47;          41;23;          28;16;         176;     503.1;          45.7;         163;38;2019;ALL;female
Amherst-Pelham - Amherst Regional Middle School;06050405;MATH;          77;44;          19;11;          58;33;          68;39;          29;17;         174;     496.4;          38.7;         161;37;2019;ALL;female
Amherst-Pelham - Amherst Regional Middle School;06050405;SCI;          38;48;           8;10;          30;38;          31;39;          10;13;          79;     499.0;;;47;2019;ALL;female
