School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Avg. Scaled Score;SGP;Included In SGP;Ach. PCTL;year;grade;student_group
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;ELA;         178;42;          18;4;         160;37;         201;47;          48;11;         427;     495.4;          49.6;         338;59;2019;ALL;high needs
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;MATH;         124;29;           7;2;         117;27;         248;58;          55;13;         427;     491.1;          49.0;         338;50;2019;ALL;high needs
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;SCI;          35;27;           0;0;          35;27;          76;58;          19;15;         130;     488.4;;;38;2019;ALL;high needs
Abington - Abington Middle School;00010405;ELA;          88;35;          12;5;          76;31;         118;48;          42;17;         248;     492.3;          47.2;         236;44;2019;ALL;high needs
Abington - Abington Middle School;00010405;MATH;          56;23;           5;2;          51;21;         151;61;          41;17;         248;     487.4;          44.3;         236;32;2019;ALL;high needs
Abington - Abington Middle School;00010405;SCI;          39;29;           3;2;          36;27;          65;48;          31;23;         135;     487.7;;;36;2019;ALL;high needs
Abington - Woodsdale Elementary School;00010015;ELA;          48;42;           3;3;          45;40;          54;48;          11;10;         113;     497.4;          54.1;          56;69;2019;ALL;high needs
Abington - Woodsdale Elementary School;00010015;MATH;          46;41;           2;2;          44;39;          52;46;          14;13;         112;     493.9;          57.3;          55;65;2019;ALL;high needs
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School;04120530;ELA;          71;33;           6;3;          65;30;         126;58;          21;10;         218;     492.6;          53.8;         192;46;2019;ALL;high needs
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School;04120530;MATH;          51;23;           6;3;          45;21;         139;64;          28;13;         218;     488.1;          45.8;         190;35;2019;ALL;high needs
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School;04120530;SCI;          21;20;           2;2;          19;18;          68;66;          14;14;         103;     487.2;;;30;2019;ALL;high needs
Acton-Boxborough - Blanchard Memorial School;06000005;ELA;          33;42;           4;5;          29;37;          35;45;          10;13;          78;     500.0;          56.6;          54;80;2019;ALL;high needs
Acton-Boxborough - Blanchard Memorial School;06000005;MATH;          36;46;          12;15;          24;31;          29;37;          13;17;          78;     500.3;          59.3;          54;88;2019;ALL;high needs
Acton-Boxborough - Blanchard Memorial School;06000005;SCI;           8;57;           4;29;           4;29;           5;36;           1;7;          14;     516.5;;;99;2019;ALL;high needs
Acton-Boxborough - C.T. Douglas Elementary School;06000020;ELA;          43;45;           7;7;          36;38;          40;42;          12;13;          95;     496.6;          43.7;          69;65;2019;ALL;high needs
Acton-Boxborough - C.T. Douglas Elementary School;06000020;MATH;          37;39;           9;9;          28;29;          42;44;          16;17;          95;     492.8;          50.0;          69;60;2019;ALL;high needs
Acton-Boxborough - C.T. Douglas Elementary School;06000020;SCI;           7;28;           0;0;           7;28;          12;48;           6;24;          25;     488.1;;;38;2019;ALL;high needs
Acton-Boxborough - Luther Conant School;06000030;ELA;          62;63;          11;11;          51;52;          32;33;           4;4;          98;     508.2;          58.6;          74;97;2019;ALL;high needs
Acton-Boxborough - Luther Conant School;06000030;MATH;          57;58;          21;21;          36;37;          36;37;           5;5;          98;     509.4;          65.0;          74;98;2019;ALL;high needs
Acton-Boxborough - Luther Conant School;06000030;SCI;           9;30;           2;7;           7;23;          19;63;           2;7;          30;     498.1;;;82;2019;ALL;high needs
Acton-Boxborough - McCarthy-Towne School;06000015;ELA;          45;42;           7;7;          38;36;          51;48;          11;10;         107;     496.6;          47.5;          76;65;2019;ALL;high needs
Acton-Boxborough - McCarthy-Towne School;06000015;MATH;          34;32;          10;9;          24;22;          60;56;          13;12;         107;     493.2;          48.1;          75;62;2019;ALL;high needs
Acton-Boxborough - McCarthy-Towne School;06000015;SCI;          10;38;           2;8;           8;31;          12;46;           4;15;          26;     494.5;;;66;2019;ALL;high needs
Acton-Boxborough - Merriam School;06000010;ELA;          34;40;           3;4;          31;37;          47;56;           3;4;          84;     498.4;          46.7;          65;74;2019;ALL;high needs
Acton-Boxborough - Merriam School;06000010;MATH;          39;46;           5;6;          34;40;          36;43;           9;11;          84;     497.0;          58.3;          65;79;2019;ALL;high needs
Acton-Boxborough - Merriam School;06000010;SCI;          13;41;           1;3;          12;38;          16;50;           3;9;          32;     497.4;;;79;2019;ALL;high needs
Acton-Boxborough - Paul P Gates Elementary School;06000025;ELA;          64;74;          20;23;          44;51;          23;26;           0;0;          87;     513.6;          73.1;          57;99;2019;ALL;high needs
Acton-Boxborough - Paul P Gates Elementary School;06000025;MATH;          57;66;          18;21;          39;45;          27;31;           3;3;          87;     509.5;          58.7;          57;98;2019;ALL;high needs
Acton-Boxborough - Paul P Gates Elementary School;06000025;SCI;          14;74;           1;5;          13;68;           5;26;           0;0;          19;     510.5;;;98;2019;ALL;high needs
Acton-Boxborough - Raymond J Grey Junior High;06000405;ELA;         108;47;           8;3;         100;43;          95;41;          28;12;         231;     496.7;          43.9;         221;66;2019;ALL;high needs
Acton-Boxborough - Raymond J Grey Junior High;06000405;MATH;         123;53;          27;12;          96;42;          79;34;          28;12;         230;     501.6;          52.0;         220;90;2019;ALL;high needs
Acton-Boxborough - Raymond J Grey Junior High;06000405;SCI;          60;55;           7;6;          53;48;          43;39;           7;6;         110;     501.7;;;90;2019;ALL;high needs
Acushnet - Acushnet Elementary School;00030025;ELA;          43;61;           7;10;          36;51;          25;35;           3;4;          71;     507.1;          64.2;          35;96;2019;ALL;high needs
Acushnet - Acushnet Elementary School;00030025;MATH;          33;46;           4;6;          29;40;          28;39;          11;15;          72;     495.0;          69.0;          35;70;2019;ALL;high needs
Acushnet - Albert F Ford Middle School;00030305;ELA;          40;28;           3;2;          37;26;          82;57;          21;15;         143;     490.1;          48.0;         131;32;2019;ALL;high needs
Acushnet - Albert F Ford Middle School;00030305;MATH;          44;31;           3;2;          41;29;          79;55;          20;14;         143;     490.3;          45.6;         129;46;2019;ALL;high needs
Acushnet - Albert F Ford Middle School;00030305;SCI;          26;38;           3;4;          23;34;          34;50;           8;12;          68;     494.4;;;66;2019;ALL;high needs
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School;04300305;ELA;          58;49;           5;4;          53;45;          53;45;           7;6;         118;     500.8;          56.4;         115;84;2019;ALL;high needs
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School;04300305;MATH;          57;49;          12;10;          45;38;          55;47;           5;4;         117;     501.4;          55.7;         112;90;2019;ALL;high needs
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School;04300305;SCI;          21;45;           3;6;          18;38;          21;45;           5;11;          47;     497.9;;;82;2019;ALL;high needs
Agawam - Agawam Junior High;00050405;ELA;          73;30;           3;1;          70;29;         115;48;          54;22;         242;     486.8;          42.9;         233;17;2019;ALL;high needs
Agawam - Agawam Junior High;00050405;MATH;          91;38;          13;5;          78;32;         116;48;          35;14;         242;     493.8;          49.1;         231;64;2019;ALL;high needs
Agawam - Agawam Junior High;00050405;SCI;          29;26;           1;1;          28;25;          58;52;          24;22;         111;     486.5;;;31;2019;ALL;high needs
Agawam - Benjamin J Phelps;00050020;ELA;          22;37;           3;5;          19;32;          30;51;           7;12;          59;     495.5;          40.3;          36;59;2019;ALL;high needs
Agawam - Benjamin J Phelps;00050020;MATH;          27;46;           3;5;          24;41;          25;42;           7;12;          59;     496.4;          32.6;          36;75;2019;ALL;high needs
Agawam - Clifford M Granger;00050010;ELA;          17;30;           1;2;          16;29;          30;54;           9;16;          56;     493.5;          45.1;          33;50;2019;ALL;high needs
Agawam - Clifford M Granger;00050010;MATH;          24;42;           1;2;          23;40;          26;46;           7;12;          57;     495.8;          63.5;          33;73;2019;ALL;high needs
Agawam - James Clark School;00050030;ELA;          25;42;           6;10;          19;32;          22;37;          13;22;          60;     496.8;          50.6;          23;67;2019;ALL;high needs
Agawam - James Clark School;00050030;MATH;          22;37;           4;7;          18;31;          23;39;          14;24;          59;     491.5;          40.4;          24;52;2019;ALL;high needs
Agawam - Roberta G. Doering School;00050303;ELA;          93;34;           9;3;          84;31;         130;48;          47;17;         270;     492.2;          51.1;         259;44;2019;ALL;high needs
Agawam - Roberta G. Doering School;00050303;MATH;         109;40;          14;5;          95;35;         125;46;          36;13;         270;     494.2;          45.2;         259;67;2019;ALL;high needs
Agawam - Roberta G. Doering School;00050303;SCI;          50;38;           7;5;          43;33;          63;48;          19;14;         132;     494.4;;;66;2019;ALL;high needs
Agawam - Robinson Park;00050025;ELA;          32;45;           3;4;          29;41;          30;42;           9;13;          71;     498.4;          46.9;          32;75;2019;ALL;high needs
Agawam - Robinson Park;00050025;MATH;          36;51;           4;6;          32;45;          29;41;           6;8;          71;     498.4;          54.8;          32;83;2019;ALL;high needs
Alma del Mar Charter School (District) - Alma del Mar Charter School;04090205;ELA;          98;44;          17;8;          81;36;         102;46;          23;10;         223;     498.2;          37.1;         176;74;2019;ALL;high needs
Alma del Mar Charter School (District) - Alma del Mar Charter School;04090205;MATH;         107;48;          20;9;          87;39;          99;44;          17;8;         223;     498.7;          44.3;         176;84;2019;ALL;high needs
Alma del Mar Charter School (District) - Alma del Mar Charter School;04090205;SCI;          14;20;           0;0;          14;20;          45;64;          11;16;          70;     485.2;;;26;2019;ALL;high needs
Amesbury - Amesbury Elementary;00070005;ELA;          26;42;          11;18;          15;24;          23;37;          13;21;          62;     499.1;          46.7;          34;77;2019;ALL;high needs
Amesbury - Amesbury Elementary;00070005;MATH;          24;39;           2;3;          22;35;          22;35;          16;26;          62;     489.9;          35.9;          34;44;2019;ALL;high needs
Amesbury - Amesbury Middle;00070013;ELA;          65;29;           5;2;          60;26;         115;50;          48;21;         228;     486.3;          45.8;         221;16;2019;ALL;high needs
Amesbury - Amesbury Middle;00070013;MATH;          58;26;           5;2;          53;24;         117;53;          46;21;         221;     486.5;          54.9;         213;28;2019;ALL;high needs
Amesbury - Amesbury Middle;00070013;SCI;          43;38;           2;2;          41;36;          55;48;          16;14;         114;     492.8;;;59;2019;ALL;high needs
Amesbury - Charles C Cashman Elementary;00070010;ELA;          30;36;           3;4;          27;33;          39;47;          14;17;          83;     492.2;          50.8;          41;43;2019;ALL;high needs
Amesbury - Charles C Cashman Elementary;00070010;MATH;          19;23;           2;2;          17;20;          36;43;          28;34;          83;     482.3;          46.2;          41;13;2019;ALL;high needs
Amherst - Crocker Farm Elementary;00080009;ELA;          14;16;           0;0;          14;16;          50;56;          25;28;          89;     480.0;          39.7;          60;5;2019;ALL;high needs
Amherst - Crocker Farm Elementary;00080009;MATH;           9;10;           1;1;           8;9;          49;56;          30;34;          88;     478.8;          58.6;          60;7;2019;ALL;high needs
Amherst - Crocker Farm Elementary;00080009;SCI;           0;0;           0;0;           0;0;          19;70;           8;30;          27;     473.6;;;4;2019;ALL;high needs
Amherst - Fort River Elementary;00080020;ELA;          27;29;           1;1;          26;28;          43;46;          24;26;          94;     486.1;          40.6;          71;15;2019;ALL;high needs
Amherst - Fort River Elementary;00080020;MATH;          26;27;           3;3;          23;24;          42;44;          27;28;          95;     484.8;          46.5;          73;20;2019;ALL;high needs
Amherst - Fort River Elementary;00080020;SCI;           4;16;           0;0;           4;16;          15;60;           6;24;          25;     483.7;;;21;2019;ALL;high needs
Amherst - Wildwood Elementary;00080050;ELA;          29;30;           1;1;          28;29;          49;51;          19;20;          97;     493.7;          48.8;          61;51;2019;ALL;high needs
Amherst - Wildwood Elementary;00080050;MATH;          27;28;           4;4;          23;24;          45;46;          25;26;          97;     489.7;          47.2;          59;44;2019;ALL;high needs
Amherst - Wildwood Elementary;00080050;SCI;           2;8;           0;0;           2;8;          13;54;           9;38;          24;     481.0;;;15;2019;ALL;high needs
Amherst-Pelham - Amherst Regional Middle School;06050405;ELA;          36;22;           4;2;          32;20;          62;38;          64;40;         162;     479.8;          39.1;         148;5;2019;ALL;high needs
Amherst-Pelham - Amherst Regional Middle School;06050405;MATH;          27;17;           4;2;          23;14;          76;47;          58;36;         161;     479.1;          33.3;         147;7;2019;ALL;high needs
Amherst-Pelham - Amherst Regional Middle School;06050405;SCI;          22;26;           4;5;          18;21;          39;46;          23;27;          84;     486.1;;;29;2019;ALL;high needs
Andover - Andover West Middle;00090310;ELA;          59;37;           7;4;          52;32;          76;47;          26;16;         161;     494.9;          53.3;         146;56;2019;ALL;high needs
Andover - Andover West Middle;00090310;MATH;          70;43;           9;6;          61;38;          65;40;          26;16;         161;     496.6;          45.9;         146;77;2019;ALL;high needs
Andover - Andover West Middle;00090310;SCI;          22;50;           0;0;          22;50;          18;41;           4;9;          44;     497.1;;;78;2019;ALL;high needs
Andover - Bancroft Elementary;00090003;ELA;          38;45;           1;1;          37;44;          40;47;           7;8;          85;     494.2;          53.4;          54;53;2019;ALL;high needs
Andover - Bancroft Elementary;00090003;MATH;          28;33;           3;4;          25;29;          43;51;          14;16;          85;     490.2;          58.6;          53;46;2019;ALL;high needs
Andover - Bancroft Elementary;00090003;SCI;          12;44;           1;4;          11;41;          12;44;           3;11;          27;     492.0;;;56;2019;ALL;high needs
Andover - Doherty Middle;00090305;ELA;          55;34;           3;2;          52;32;          94;57;          15;9;         164;     491.6;          47.7;         161;40;2019;ALL;high needs
Andover - Doherty Middle;00090305;MATH;          35;21;           8;5;          27;17;          95;58;          33;20;         163;     487.1;          45.6;         160;31;2019;ALL;high needs
Andover - Doherty Middle;00090305;SCI;          16;32;           0;0;          16;32;          31;62;           3;6;          50;     492.6;;;59;2019;ALL;high needs
Andover - Henry C Sanborn Elementary;00090010;ELA;          30;43;           4;6;          26;37;          38;54;           2;3;          70;     500.2;          44.8;          44;81;2019;ALL;high needs
Andover - Henry C Sanborn Elementary;00090010;MATH;          41;59;           3;4;          38;54;          26;37;           3;4;          70;     502.0;          59.3;          45;91;2019;ALL;high needs
Andover - Henry C Sanborn Elementary;00090010;SCI;          10;56;           2;11;           8;44;           4;22;           4;22;          18;     493.2;;;61;2019;ALL;high needs
Andover - High Plain Elementary;00090004;ELA;          62;61;          16;16;          46;45;          36;35;           4;4;         102;     506.8;          63.4;          71;96;2019;ALL;high needs
Andover - High Plain Elementary;00090004;MATH;          54;52;           8;8;          46;45;          46;45;           3;3;         103;     502.9;          68.0;          72;93;2019;ALL;high needs
Andover - High Plain Elementary;00090004;SCI;          23;58;           6;15;          17;43;          17;43;           0;0;          40;     507.7;;;96;2019;ALL;high needs
Andover - South Elementary;00090020;ELA;          45;62;          11;15;          34;47;          28;38;           0;0;          73;     508.0;          46.8;          36;97;2019;ALL;high needs
Andover - South Elementary;00090020;MATH;          46;63;           8;11;          38;52;          24;33;           3;4;          73;     506.9;          68.3;          36;96;2019;ALL;high needs
Andover - South Elementary;00090020;SCI;          15;79;           2;11;          13;68;           4;21;           0;0;          19;     510.8;;;98;2019;ALL;high needs
Andover - West Elementary;00090025;ELA;          58;51;           4;4;          54;48;          45;40;          10;9;         113;     501.4;          53.5;          60;86;2019;ALL;high needs
Andover - West Elementary;00090025;MATH;          41;36;           8;7;          33;29;          57;50;          15;13;         113;     498.6;          64.5;          61;84;2019;ALL;high needs
Andover - West Elementary;00090025;SCI;          20;56;           3;8;          17;47;          12;33;           4;11;          36;     505.5;;;95;2019;ALL;high needs
Andover - Wood Hill Middle School;00090350;ELA;          54;41;          11;8;          43;32;          54;41;          25;19;         133;     493.6;          46.7;         125;51;2019;ALL;high needs
Andover - Wood Hill Middle School;00090350;MATH;          56;42;          16;12;          40;30;          61;46;          16;12;         133;     496.9;          49.5;         125;78;2019;ALL;high needs
Andover - Wood Hill Middle School;00090350;SCI;          13;37;           2;6;          11;31;          17;49;           5;14;          35;     494.4;;;66;2019;ALL;high needs
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School;35090305;ELA;          55;24;           2;1;          53;23;         113;50;          58;26;         226;     484.1;          39.5;         200;10;2019;ALL;high needs
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School;35090305;MATH;          74;33;           7;3;          67;30;         121;54;          30;13;         225;     491.0;          51.6;         199;48;2019;ALL;high needs
