School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Part. Rate %;Avg. Scaled Score;SGP;Included In SGP;year;grade;student_group
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;ELA;         156;34;          10;2;         146;32;         216;47;          91;20;         463;99;     489.1;          31.7;         281;2021;ALL;high needs
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;MATH;          58;13;           1;0;          57;12;         253;55;         152;33;         463;99;     476.9;          24.0;         281;2021;ALL;high needs
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;SCI;          25;19;           2;2;          23;17;          77;58;          30;23;         132;99;     484.5;;;2021;ALL;high needs
Abington - Abington Middle School;00010405;ELA;          92;35;           4;2;          88;33;         107;40;          67;25;         266;97;     487.9;          34.7;         234;2021;ALL;high needs
Abington - Abington Middle School;00010405;MATH;          34;13;           2;1;          32;12;         155;59;          73;28;         262;95;     479.9;          25.3;         228;2021;ALL;high needs
Abington - Abington Middle School;00010405;SCI;          36;30;           5;4;          31;25;          62;51;          24;20;         122;95;     488.8;;;2021;ALL;high needs
Abington - Woodsdale Elementary School;00010015;ELA;          42;36;           6;5;          36;31;          50;42;          26;22;         118;96;     491.3;;;2021;ALL;high needs
Abington - Woodsdale Elementary School;00010015;MATH;          21;18;           2;2;          19;16;          62;53;          34;29;         117;94;     480.8;;;2021;ALL;high needs
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School;04120530;ELA;          38;20;           2;1;          36;19;          83;44;          67;36;         188;95;     479.3;          28.9;         176;2021;ALL;high needs
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School;04120530;MATH;          15;8;           1;1;          14;7;          95;50;          80;42;         190;96;     473.3;          24.4;         179;2021;ALL;high needs
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School;04120530;SCI;          10;15;           0;0;          10;15;          30;45;          26;39;          66;88;     476.3;;;2021;ALL;high needs
Acton-Boxborough - Blanchard Memorial School;06000005;ELA;          40;51;          12;15;          28;35;          24;30;          15;19;          79;94;     499.2;          53.1;          35;2021;ALL;high needs
Acton-Boxborough - Blanchard Memorial School;06000005;MATH;          32;40;           6;8;          26;33;          30;38;          18;23;          80;95;     492.7;          40.2;          35;2021;ALL;high needs
Acton-Boxborough - Blanchard Memorial School;06000005;SCI;           6;40;           1;7;           5;33;           7;47;           2;13;          15;100;     495.3;;;2021;ALL;high needs
Acton-Boxborough - C.T. Douglas Elementary School;06000020;ELA;          23;34;           5;7;          18;26;          33;49;          12;18;          68;90;     490.5;          31.2;          35;2021;ALL;high needs
Acton-Boxborough - C.T. Douglas Elementary School;06000020;MATH;          21;31;           4;6;          17;25;          35;51;          12;18;          68;90;     488.7;          38.4;          35;2021;ALL;high needs
Acton-Boxborough - C.T. Douglas Elementary School;06000020;SCI;           4;19;           0;0;           4;19;          14;67;           3;14;          21;92;     487.1;;;2021;ALL;high needs
Acton-Boxborough - Luther Conant School;06000030;ELA;          54;59;           5;5;          49;54;          30;33;           7;8;          91;100;     501.9;          45.5;          32;2021;ALL;high needs
