School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Avg. Scaled Score;SGP;Included In SGP;Ach. PCTL;year;grade;student_group
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;ELA;          52;38;           2;1;          50;37;          66;49;          18;13;         136;     493.7;          48.2;         114;46;2019;ALL;hispanic/latino
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;MATH;          44;32;           1;1;          43;32;          75;55;          17;13;         136;     492.2;          52.9;         115;53;2019;ALL;hispanic/latino
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;SCI;          12;26;           0;0;          12;26;          28;61;           6;13;          46;     488.2;;;52;2019;ALL;hispanic/latino
Abington - Abington Middle School;00010405;ELA;          20;44;           2;4;          18;40;          17;38;           8;18;          45;     494.8;          53.1;          42;51;2019;ALL;hispanic/latino
Abington - Abington Middle School;00010405;MATH;          14;31;           0;0;          14;31;          27;60;           4;9;          45;     491.8;          50.3;          42;52;2019;ALL;hispanic/latino
Abington - Abington Middle School;00010405;SCI;           7;28;           0;0;           7;28;          12;48;           6;24;          25;     483.6;;;36;2019;ALL;hispanic/latino
Abington - Woodsdale Elementary School;00010015;ELA;          13;72;           2;11;          11;61;           5;28;           0;0;          18;     507.3;;          11;90;2019;ALL;hispanic/latino
Abington - Woodsdale Elementary School;00010015;MATH;          10;56;           3;17;           7;39;           8;44;           0;0;          18;     501.9;;          11;86;2019;ALL;hispanic/latino
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School;04120530;ELA;          37;42;           3;3;          34;38;          45;51;           7;8;          89;     495.4;          55.7;          77;52;2019;ALL;hispanic/latino
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School;04120530;MATH;          24;27;           2;2;          22;25;          55;62;          10;11;          89;     489.9;          47.6;          76;40;2019;ALL;hispanic/latino
