School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Part. Rate %;Avg. Scaled Score;SGP;Included In SGP;Ach. PCTL;year;grade;student_group
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;ELA;          35;24;           2;1;          33;22;          81;55;          31;21;         147;99;     485.8;          45.2;         117;48;2022;ALL;hispanic/latino
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;MATH;          25;17;           0;0;          25;17;          82;55;          41;28;         148;100;     483.1;          50.2;         119;45;2022;ALL;hispanic/latino
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;SCI;          12;21;           1;2;          11;20;          31;55;          13;23;          56;100;     484.2;;;55;2022;ALL;hispanic/latino
Abington - Abington Middle School;00010405;ELA;          26;36;           4;6;          22;31;          28;39;          18;25;          72;98;     489.6;          52.0;          69;63;2022;ALL;hispanic/latino
Abington - Abington Middle School;00010405;MATH;          14;19;           1;1;          13;18;          43;60;          15;21;          72;98;     484.9;          53.2;          69;53;2022;ALL;hispanic/latino
Abington - Abington Middle School;00010405;SCI;           9;26;           0;0;           9;26;          12;35;          13;38;          34;95;     484.3;;;56;2022;ALL;hispanic/latino
Abington - Woodsdale Elementary School;00010015;ELA;          10;36;           2;7;           8;29;          12;43;           6;21;          28;97;     489.6;;          12;63;2022;ALL;hispanic/latino
Abington - Woodsdale Elementary School;00010015;MATH;           4;14;           1;3;           3;10;          16;55;           9;31;          29;100;     482.0;;          13;41;2022;ALL;hispanic/latino
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School;04120530;ELA;          10;14;           1;1;           9;13;          39;56;          21;30;          70;97;     478.9;          43.6;          66;18;2022;ALL;hispanic/latino
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School;04120530;MATH;           6;9;           0;0;           6;9;          36;52;          27;39;          69;96;     475.5;          31.9;          65;15;2022;ALL;hispanic/latino
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School;04120530;SCI;           4;13;           0;0;           4;13;          20;65;           7;23;          31;97;     480.1;;;38;2022;ALL;hispanic/latino
Acton-Boxborough - Blanchard Memorial School;06000005;ELA;          15;63;           2;8;          13;54;           3;13;           6;25;          24;100;     499.9;;          13;90;2022;ALL;hispanic/latino
Acton-Boxborough - Blanchard Memorial School;06000005;MATH;          10;42;           1;4;           9;38;           6;25;           8;33;          24;100;     488.0;;          13;64;2022;ALL;hispanic/latino
Acton-Boxborough - C.T. Douglas Elementary School;06000020;ELA;           3;23;           0;0;           3;23;           7;54;           3;23;          13;100;     487.5;;           8;55;2022;ALL;hispanic/latino
Acton-Boxborough - C.T. Douglas Elementary School;06000020;MATH;           3;23;           0;0;           3;23;           6;46;           4;31;          13;100;     481.7;;           8;39;2022;ALL;hispanic/latino
Acton-Boxborough - Luther Conant School;06000030;ELA;          11;55;           2;10;           9;45;           8;40;           1;5;          20;100;     503.3;;          16;94;2022;ALL;hispanic/latino
Acton-Boxborough - Luther Conant School;06000030;MATH;          10;50;           2;10;           8;40;           8;40;           2;10;          20;100;     504.7;;          16;96;2022;ALL;hispanic/latino
