School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Part. Rate %;Avg. Scaled Score;SGP;Included In SGP;Ach. PCTL;year;grade;student_group
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;ELA;         146;30;           5;1;         141;29;         251;52;          88;18;         485;100;     488.0;          47.4;         394;50;2022;ALL;low-income
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;MATH;          95;20;           3;1;          92;19;         277;57;         115;24;         487;100;     484.2;          49.9;         397;42;2022;ALL;low-income
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;SCI;          37;23;           1;1;          36;22;          93;57;          32;20;         162;100;     485.0;;;43;2022;ALL;low-income
Abington - Abington Middle School;00010405;ELA;          88;36;          10;4;          78;32;         110;45;          48;20;         246;97;     490.1;          48.8;         231;62;2022;ALL;low-income
Abington - Abington Middle School;00010405;MATH;          52;21;           2;1;          50;20;         154;62;          42;17;         248;98;     486.7;          51.0;         229;53;2022;ALL;low-income
Abington - Abington Middle School;00010405;SCI;          27;23;           2;2;          25;22;          54;47;          34;30;         115;96;     485.0;;;43;2022;ALL;low-income
Abington - Woodsdale Elementary School;00010015;ELA;          45;39;           3;3;          42;37;          54;47;          15;13;         114;99;     494.0;          41.3;          47;80;2022;ALL;low-income
Abington - Woodsdale Elementary School;00010015;MATH;          46;41;           3;3;          43;38;          47;42;          20;18;         113;98;     493.4;          30.0;          47;82;2022;ALL;low-income
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School;04120530;ELA;          20;12;           1;1;          19;12;          81;50;          60;37;         161;97;     476.7;          39.6;         147;7;2022;ALL;low-income
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School;04120530;MATH;           8;5;           0;0;           8;5;          86;53;          67;42;         161;97;     473.1;          33.3;         146;8;2022;ALL;low-income
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School;04120530;SCI;           6;8;           0;0;           6;8;          44;62;          21;30;          71;97;     477.0;;;15;2022;ALL;low-income
Acton-Boxborough - Blanchard Memorial School;06000005;ELA;           5;24;           0;0;           5;24;           6;29;          10;48;          21;100;     481.8;;          10;21;2022;ALL;low-income
Acton-Boxborough - Blanchard Memorial School;06000005;MATH;           3;14;           0;0;           3;14;           5;24;          13;62;          21;100;     471.0;;          10;6;2022;ALL;low-income
Acton-Boxborough - C.T. Douglas Elementary School;06000020;ELA;           9;33;           0;0;           9;33;          14;52;           4;15;          27;97;     490.2;;          16;63;2022;ALL;low-income
