School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Part. Rate %;Avg. Scaled Score;SGP;Included In SGP;year;grade;student_group
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;ELA;         101;32;           6;2;          95;31;         146;47;          64;21;         311;99;     488.2;          30.8;         221;2021;ALL;male
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;MATH;          45;14;           2;1;          43;14;         183;59;          83;27;         311;99;     480.1;          22.4;         221;2021;ALL;male
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;SCI;          29;27;           2;2;          27;25;          62;58;          16;15;         107;99;     489.5;;;2021;ALL;male
Abington - Abington Middle School;00010405;ELA;         138;47;          21;7;         117;40;          99;34;          54;19;         291;95;     495.9;          38.4;         268;2021;ALL;male
Abington - Abington Middle School;00010405;MATH;          85;29;           7;2;          78;27;         153;53;          52;18;         290;95;     489.0;          24.4;         266;2021;ALL;male
Abington - Abington Middle School;00010405;SCI;          55;44;           6;5;          49;40;          57;46;          12;10;         124;93;     497.2;;;2021;ALL;male
Abington - Woodsdale Elementary School;00010015;ELA;          77;55;          12;9;          65;46;          46;33;          18;13;         141;96;     500.7;;;2021;ALL;male
Abington - Woodsdale Elementary School;00010015;MATH;          67;48;          12;9;          55;39;          52;37;          22;16;         141;96;     496.5;;;2021;ALL;male
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School;04120530;ELA;          27;20;           2;1;          25;19;          70;52;          38;28;         135;93;     480.6;          28.6;         125;2021;ALL;male
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School;04120530;MATH;          11;8;           0;0;          11;8;          73;54;          52;38;         136;94;     475.3;          22.9;         127;2021;ALL;male
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School;04120530;SCI;           5;11;           0;0;           5;11;          22;49;          18;40;          45;82;     476.0;;;2021;ALL;male
Acton-Boxborough - Blanchard Memorial School;06000005;ELA;         100;71;          18;13;          82;58;          27;19;          14;10;         141;95;     506.8;          46.6;          63;2021;ALL;male
Acton-Boxborough - Blanchard Memorial School;06000005;MATH;          93;65;          20;14;          73;51;          34;24;          15;11;         142;95;     506.3;          45.3;          64;2021;ALL;male
Acton-Boxborough - Blanchard Memorial School;06000005;SCI;          25;74;           7;21;          18;53;           7;21;           2;6;          34;97;     512.4;;;2021;ALL;male
Acton-Boxborough - C.T. Douglas Elementary School;06000020;ELA;          63;57;          13;12;          50;45;          39;35;           9;8;         111;95;     503.2;          39.5;          64;2021;ALL;male
Acton-Boxborough - C.T. Douglas Elementary School;06000020;MATH;          62;56;          13;12;          49;44;          42;38;           7;6;         111;95;     502.0;          43.9;          64;2021;ALL;male
Acton-Boxborough - C.T. Douglas Elementary School;06000020;SCI;          18;62;           4;14;          14;48;           9;31;           2;7;          29;97;     506.2;;;2021;ALL;male
Acton-Boxborough - Luther Conant School;06000030;ELA;          91;73;          26;21;          65;52;          31;25;           3;2;         125;100;     511.9;          54.4;          48;2021;ALL;male
Acton-Boxborough - Luther Conant School;06000030;MATH;          94;75;          23;18;          71;57;          23;18;           8;6;         125;100;     511.9;          51.9;          48;2021;ALL;male
Acton-Boxborough - Luther Conant School;06000030;SCI;          20;71;           6;21;          14;50;           8;29;           0;0;          28;100;     513.3;;;2021;ALL;male
Acton-Boxborough - McCarthy-Towne School;06000015;ELA;          85;56;           8;5;          77;51;          53;35;          14;9;         152;97;     500.6;          39.7;          68;2021;ALL;male
Acton-Boxborough - McCarthy-Towne School;06000015;MATH;          71;47;           8;5;          63;41;          65;43;          16;11;         152;97;     496.4;          39.5;          68;2021;ALL;male
Acton-Boxborough - McCarthy-Towne School;06000015;SCI;          21;70;           3;10;          18;60;           9;30;           0;0;          30;97;     510.6;;;2021;ALL;male
Acton-Boxborough - Merriam School;06000010;ELA;          82;61;          18;13;          64;48;          46;34;           6;4;         134;95;     504.7;          36.5;          69;2021;ALL;male
Acton-Boxborough - Merriam School;06000010;MATH;          73;54;          13;10;          60;44;          54;40;           8;6;         135;96;     502.6;          42.5;          69;2021;ALL;male
Acton-Boxborough - Merriam School;06000010;SCI;          23;62;           7;19;          16;43;          12;32;           2;5;          37;95;     508.5;;;2021;ALL;male
Acton-Boxborough - Paul P Gates Elementary School;06000025;ELA;          97;76;          32;25;          65;51;          27;21;           3;2;         127;98;     514.7;          45.3;          69;2021;ALL;male
Acton-Boxborough - Paul P Gates Elementary School;06000025;MATH;          99;78;          35;28;          64;50;          20;16;           8;6;         127;98;     515.6;          46.7;          69;2021;ALL;male
Acton-Boxborough - Paul P Gates Elementary School;06000025;SCI;          30;75;          10;25;          20;50;           9;23;           1;3;          40;100;     515.5;;;2021;ALL;male
Acton-Boxborough - Raymond J Grey Junior High;06000405;ELA;         257;63;          35;9;         222;55;         127;31;          23;6;         407;99;     505.9;          40.7;         383;2021;ALL;male
Acton-Boxborough - Raymond J Grey Junior High;06000405;MATH;         322;79;         103;25;         219;54;          73;18;          12;3;         407;99;     516.2;          58.7;         383;2021;ALL;male
Acton-Boxborough - Raymond J Grey Junior High;06000405;SCI;         121;68;          42;24;          79;45;          49;28;           7;4;         177;98;     511.0;;;2021;ALL;male
Acushnet - Acushnet Elementary School;00030025;ELA;          57;66;           9;10;          48;56;          26;30;           3;3;          86;99;     506.5;;;2021;ALL;male
Acushnet - Acushnet Elementary School;00030025;MATH;          51;59;          10;12;          41;48;          26;30;           9;10;          86;99;     504.0;;;2021;ALL;male
Acushnet - Albert F Ford Middle School;00030305;ELA;          87;41;          14;7;          73;35;          91;43;          33;16;         211;98;     495.2;          34.2;         194;2021;ALL;male
Acushnet - Albert F Ford Middle School;00030305;MATH;          83;40;           2;1;          81;39;         102;49;          25;12;         210;97;     493.9;          32.0;         194;2021;ALL;male
Acushnet - Albert F Ford Middle School;00030305;SCI;          46;44;           6;6;          40;38;          40;38;          18;17;         104;98;     495.1;;;2021;ALL;male
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School;04300305;ELA;         121;64;          18;9;         103;54;          62;33;           7;4;         190;97;     507.7;          38.2;         157;2021;ALL;male
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School;04300305;MATH;         108;56;          39;20;          69;36;          71;37;          14;7;         193;98;     507.1;          34.2;         161;2021;ALL;male
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School;04300305;SCI;          20;59;           2;6;          18;53;          14;41;           0;0;          34;100;     505.7;;;2021;ALL;male
Agawam - Agawam Junior High;00050405;ELA;          51;26;           3;2;          48;25;         100;52;          43;22;         194;71;     487.2;          28.0;         184;2021;ALL;male
Agawam - Agawam Junior High;00050405;MATH;          71;36;           6;3;          65;33;          90;46;          34;17;         195;72;     491.2;          25.7;         186;2021;ALL;male
Agawam - Agawam Junior High;00050405;SCI;          27;40;           3;4;          24;35;          30;44;          11;16;          68;56;     494.9;;;2021;ALL;male
Agawam - Benjamin J Phelps;00050020;ELA;          38;59;           4;6;          34;53;          21;33;           5;8;          64;94;     500.5;;;2021;ALL;male
