School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Avg. Scaled Score;SGP;Included In SGP;Ach. PCTL;year;grade;student_group
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;ELA;          12;60;           2;10;          10;50;           6;30;           2;10;          20;     500.1;;          13;43;2019;ALL;multi-race
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;MATH;           8;40;           0;0;           8;40;          11;55;           1;5;          20;     496.6;;          13;37;2019;ALL;multi-race
Acton-Boxborough - C.T. Douglas Elementary School;06000020;ELA;          11;65;           1;6;          10;59;           5;29;           1;6;          17;     507.4;;          12;61;2019;ALL;multi-race
Acton-Boxborough - C.T. Douglas Elementary School;06000020;MATH;          10;59;           4;24;           6;35;           6;35;           1;6;          17;     508.9;;          12;68;2019;ALL;multi-race
Acton-Boxborough - McCarthy-Towne School;06000015;ELA;          15;79;           2;11;          13;68;           4;21;           0;0;          19;     512.5;;          13;73;2019;ALL;multi-race
Acton-Boxborough - McCarthy-Towne School;06000015;MATH;          11;58;           1;5;          10;53;           8;42;           0;0;          19;     505.5;;          13;63;2019;ALL;multi-race
Acton-Boxborough - Raymond J Grey Junior High;06000405;ELA;          23;74;           2;6;          21;68;           7;23;           1;3;          31;     510.4;          51.8;          29;68;2019;ALL;multi-race
Acton-Boxborough - Raymond J Grey Junior High;06000405;MATH;          23;74;          12;39;          11;35;           7;23;           1;3;          31;     513.7;          56.3;          29;80;2019;ALL;multi-race
Acton-Boxborough - Raymond J Grey Junior High;06000405;SCI;          10;77;           3;23;           7;54;           3;23;           0;0;          13;     512.2;;;75;2019;ALL;multi-race
Acushnet - Acushnet Elementary School;00030025;ELA;           8;80;           2;20;           6;60;           2;20;           0;0;          10;     513.0;;           3;75;2019;ALL;multi-race
Acushnet - Acushnet Elementary School;00030025;MATH;           6;60;           0;0;           6;60;           4;40;           0;0;          10;     501.8;;           3;54;2019;ALL;multi-race
