School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Part. Rate %;Avg. Scaled Score;SGP;Included In SGP;year;grade;student_group
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;ELA;          10;40;           1;4;           9;36;           7;28;           8;32;          25;93;     487.6;;          13;2021;ALL;multi-race
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;MATH;           6;24;           0;0;           6;24;           7;28;          12;48;          25;93;     476.1;;          13;2021;ALL;multi-race
Abington - Abington Middle School;00010405;ELA;           6;46;           1;8;           5;38;           7;54;           0;0;          13;87;     502.5;;          11;2021;ALL;multi-race
Abington - Abington Middle School;00010405;MATH;           6;46;           1;8;           5;38;           5;38;           2;15;          13;87;     491.2;;          11;2021;ALL;multi-race
Acton-Boxborough - Blanchard Memorial School;06000005;MATH;           5;50;           2;20;           3;30;           5;50;           0;0;          10;91;     506.5;;           4;2021;ALL;multi-race
Acton-Boxborough - C.T. Douglas Elementary School;06000020;ELA;           9;69;           1;8;           8;62;           3;23;           1;8;          13;100;     504.6;;           8;2021;ALL;multi-race
Acton-Boxborough - C.T. Douglas Elementary School;06000020;MATH;           8;62;           2;15;           6;46;           4;31;           1;8;          13;100;     502.8;;           8;2021;ALL;multi-race
Acton-Boxborough - McCarthy-Towne School;06000015;ELA;          12;63;           2;11;          10;53;           6;32;           1;5;          19;90;     504.3;;           7;2021;ALL;multi-race
Acton-Boxborough - McCarthy-Towne School;06000015;MATH;          11;61;           0;0;          11;61;           4;22;           3;17;          18;86;     496.1;;           6;2021;ALL;multi-race
Acton-Boxborough - Merriam School;06000010;ELA;          10;67;           2;13;           8;53;           4;27;           1;7;          15;100;     506.0;;           6;2021;ALL;multi-race
Acton-Boxborough - Merriam School;06000010;MATH;           9;60;           3;20;           6;40;           5;33;           1;7;          15;100;     508.5;;           6;2021;ALL;multi-race
Acton-Boxborough - Raymond J Grey Junior High;06000405;ELA;          19;66;           2;7;          17;59;          10;34;           0;0;          29;100;     510.2;          41.5;          28;2021;ALL;multi-race
Acton-Boxborough - Raymond J Grey Junior High;06000405;MATH;          19;70;           5;19;          14;52;           8;30;           0;0;          27;93;     513.0;          60.4;          26;2021;ALL;multi-race
Acushnet - Albert F Ford Middle School;00030305;ELA;           8;57;           1;7;           7;50;           5;36;           1;7;          14;93;     509.0;;          13;2021;ALL;multi-race
Acushnet - Albert F Ford Middle School;00030305;MATH;           6;43;           0;0;           6;43;           7;50;           1;7;          14;93;     499.1;;          13;2021;ALL;multi-race
Acushnet - Albert F Ford Middle School;00030305;SCI;           2;20;           1;10;           1;10;           6;60;           2;20;          10;100;     492.8;;;2021;ALL;multi-race
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School;04300305;ELA;          19;86;           4;18;          15;68;           2;9;           1;5;          22;85;     517.1;          52.6;          21;2021;ALL;multi-race
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School;04300305;MATH;          15;65;           6;26;           9;39;           8;35;           0;0;          23;88;     511.6;          39.2;          22;2021;ALL;multi-race
Agawam - Agawam Junior High;00050405;ELA;           5;36;           0;0;           5;36;           9;64;           0;0;          14;74;     492.5;;          14;2021;ALL;multi-race
Agawam - Agawam Junior High;00050405;MATH;           4;29;           0;0;           4;29;           9;64;           1;7;          14;74;     490.1;;          14;2021;ALL;multi-race
