School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Part. Rate %;Avg. Scaled Score;SGP;Included In SGP;Ach. PCTL;year;grade;student_group
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;ELA;          13;41;           0;0;          13;41;          14;44;           5;16;          32;100;     492.8;          54.7;          25;31;2022;ALL;multi-race
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;MATH;           7;22;           0;0;           7;22;          16;50;           9;28;          32;100;     485.2;          38.6;          25;20;2022;ALL;multi-race
Abington - Abington Middle School;00010405;ELA;           4;40;           1;10;           3;30;           5;50;           1;10;          10;100;     497.8;;           8;48;2022;ALL;multi-race
Abington - Abington Middle School;00010405;MATH;           4;40;           0;0;           4;40;           4;40;           2;20;          10;100;     491.4;;           8;35;2022;ALL;multi-race
Acton-Boxborough - Blanchard Memorial School;06000005;ELA;           9;75;           3;25;           6;50;           3;25;           0;0;          12;100;     514.0;;           8;90;2022;ALL;multi-race
Acton-Boxborough - Blanchard Memorial School;06000005;MATH;           8;67;           1;8;           7;58;           3;25;           1;8;          12;100;     506.2;;           9;72;2022;ALL;multi-race
Acton-Boxborough - C.T. Douglas Elementary School;06000020;ELA;          11;73;           2;13;           9;60;           4;27;           0;0;          15;100;     512.9;;           8;87;2022;ALL;multi-race
Acton-Boxborough - C.T. Douglas Elementary School;06000020;MATH;          14;93;           4;27;          10;67;           1;7;           0;0;          15;100;     516.7;;           8;90;2022;ALL;multi-race
Acton-Boxborough - McCarthy-Towne School;06000015;ELA;          15;71;           2;10;          13;62;           6;29;           0;0;          21;100;     507.6;;          13;75;2022;ALL;multi-race
Acton-Boxborough - McCarthy-Towne School;06000015;MATH;          14;67;           2;10;          12;57;           7;33;           0;0;          21;100;     507.3;;          13;74;2022;ALL;multi-race
Acton-Boxborough - Merriam School;06000010;ELA;          16;70;           2;9;          14;61;           6;26;           1;4;          23;100;     506.7;;          12;72;2022;ALL;multi-race
Acton-Boxborough - Merriam School;06000010;MATH;          12;52;           3;13;           9;39;           8;35;           3;13;          23;100;     500.5;;          12;59;2022;ALL;multi-race
Acton-Boxborough - Raymond J Grey Junior High;06000405;ELA;          15;54;           0;0;          15;54;          12;43;           1;4;          28;97;     501.7;          52.1;          27;60;2022;ALL;multi-race
Acton-Boxborough - Raymond J Grey Junior High;06000405;MATH;          20;71;           5;18;          15;54;           8;29;           0;0;          28;97;     512.6;          78.8;          25;84;2022;ALL;multi-race
Acton-Boxborough - Raymond J Grey Junior High;06000405;SCI;          11;73;           3;20;           8;53;           4;27;           0;0;          15;94;     509.1;;;74;2022;ALL;multi-race
Acushnet - Albert F Ford Middle School;00030305;ELA;           7;50;           1;7;           6;43;           5;36;           2;14;          14;100;     499.3;;          12;53;2022;ALL;multi-race
Acushnet - Albert F Ford Middle School;00030305;MATH;           8;57;           2;14;           6;43;           5;36;           1;7;          14;100;     505.9;;          12;71;2022;ALL;multi-race
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School;04300305;ELA;          18;78;           4;17;          14;61;           4;17;           1;4;          23;92;     510.2;;          19;81;2022;ALL;multi-race
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School;04300305;MATH;          18;78;           5;22;          13;57;           4;17;           1;4;          23;92;     517.4;          74.7;          20;91;2022;ALL;multi-race
Agawam - Agawam Junior High;00050405;ELA;           3;17;           0;0;           3;17;          11;61;           4;22;          18;100;     482.2;;          16;7;2022;ALL;multi-race
Agawam - Agawam Junior High;00050405;MATH;           4;22;           0;0;           4;22;          10;56;           4;22;          18;100;     484.3;;          16;17;2022;ALL;multi-race
Agawam - Agawam Junior High;00050405;SCI;           4;40;           0;0;           4;40;           5;50;           1;10;          10;100;     492.4;;;40;2022;ALL;multi-race
Agawam - Roberta G. Doering School;00050303;ELA;           2;15;           1;8;           1;8;           8;62;           3;23;          13;100;     484.0;;          12;11;2022;ALL;multi-race
Agawam - Roberta G. Doering School;00050303;MATH;           3;23;           0;0;           3;23;           9;69;           1;8;          13;100;     488.1;;          12;26;2022;ALL;multi-race
