School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Avg. Scaled Score;SGP;Included In SGP;Ach. PCTL;year;grade;student_group
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;ELA;         333;55;          37;6;         296;49;         247;41;          25;4;         605;     502.2;          52.3;         502;32;2019;ALL;non-disabled
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;MATH;         272;45;          23;4;         249;41;         307;51;          26;4;         605;     498.7;          52.1;         503;28;2019;ALL;non-disabled
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;SCI;          76;37;           4;2;          72;35;         121;59;           8;4;         205;     495.2;;;24;2019;ALL;non-disabled
Abington - Abington Middle School;00010405;ELA;         341;61;          51;9;         290;52;         206;37;          14;2;         561;     505.6;          46.9;         547;45;2019;ALL;non-disabled
Abington - Abington Middle School;00010405;MATH;         289;51;          29;5;         260;46;         252;45;          21;4;         562;     501.0;          43.7;         547;38;2019;ALL;non-disabled
Abington - Abington Middle School;00010405;SCI;         138;49;          11;4;         127;45;         129;46;          14;5;         281;     499.9;;;37;2019;ALL;non-disabled
Abington - Woodsdale Elementary School;00010015;ELA;         175;77;          30;13;         145;64;          50;22;           3;1;         228;     512.8;          58.5;         123;74;2019;ALL;non-disabled
Abington - Woodsdale Elementary School;00010015;MATH;         159;70;          28;12;         131;58;          65;29;           3;1;         227;     509.7;          53.9;         122;72;2019;ALL;non-disabled
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School;04120530;ELA;         113;47;          16;7;          97;40;         120;50;           9;4;         242;     500.7;          55.7;         214;27;2019;ALL;non-disabled
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School;04120530;MATH;          94;39;          11;5;          83;34;         136;56;          12;5;         242;     494.9;          46.7;         214;18;2019;ALL;non-disabled
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School;04120530;SCI;          45;36;           3;2;          42;34;          70;56;           9;7;         124;     494.6;;;22;2019;ALL;non-disabled
Acton-Boxborough - Blanchard Memorial School;06000005;ELA;         158;84;          49;26;         109;58;          30;16;           0;0;         188;     519.5;          56.9;         127;92;2019;ALL;non-disabled
Acton-Boxborough - Blanchard Memorial School;06000005;MATH;         156;83;          52;28;         104;55;          32;17;           0;0;         188;     518.9;          65.2;         127;94;2019;ALL;non-disabled
Acton-Boxborough - Blanchard Memorial School;06000005;SCI;          37;90;          15;37;          22;54;           4;10;           0;0;          41;     522.6;;;98;2019;ALL;non-disabled
Acton-Boxborough - C.T. Douglas Elementary School;06000020;ELA;         176;80;          30;14;         146;66;          42;19;           2;1;         220;     513.7;          56.9;         158;77;2019;ALL;non-disabled
Acton-Boxborough - C.T. Douglas Elementary School;06000020;MATH;         147;67;          42;19;         105;48;          68;31;           5;2;         220;     509.8;          58.4;         157;72;2019;ALL;non-disabled
Acton-Boxborough - C.T. Douglas Elementary School;06000020;SCI;          35;67;           5;10;          30;58;          16;31;           1;2;          52;     508.1;;;67;2019;ALL;non-disabled
Acton-Boxborough - Luther Conant School;06000030;ELA;         188;89;          82;39;         106;50;          22;10;           1;0;         211;     525.4;          66.8;         172;98;2019;ALL;non-disabled
Acton-Boxborough - Luther Conant School;06000030;MATH;         181;86;          88;42;          93;44;          30;14;           0;0;         211;     525.8;          67.3;         172;99;2019;ALL;non-disabled
Acton-Boxborough - Luther Conant School;06000030;SCI;          44;80;          14;25;          30;55;          11;20;           0;0;          55;     518.0;;;93;2019;ALL;non-disabled
