School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Part. Rate %;Avg. Scaled Score;SGP;Included In SGP;Ach. PCTL;year;grade;student_group
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;ELA;         232;39;          13;2;         219;37;         300;51;          57;10;         589;100;     493.7;          49.7;         482;30;2022;ALL;non-disabled
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;MATH;         161;27;           4;1;         157;27;         347;59;          83;14;         591;100;     489.3;          52.0;         484;24;2022;ALL;non-disabled
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;SCI;          62;32;           4;2;          58;30;         111;58;          20;10;         193;100;     491.4;;;27;2022;ALL;non-disabled
Abington - Abington Middle School;00010405;ELA;         279;56;          36;7;         243;49;         191;38;          28;6;         498;97;     501.6;          51.4;         465;59;2022;ALL;non-disabled
Abington - Abington Middle School;00010405;MATH;         217;43;          14;3;         203;40;         259;51;          27;5;         503;98;     497.6;          53.1;         467;49;2022;ALL;non-disabled
Abington - Abington Middle School;00010405;SCI;         106;42;          14;6;          92;36;         124;49;          23;9;         253;97;     497.3;;;41;2022;ALL;non-disabled
Abington - Woodsdale Elementary School;00010015;ELA;         148;63;          18;8;         130;55;          82;35;           6;3;         236;99;     505.4;          49.8;         107;72;2022;ALL;non-disabled
Abington - Woodsdale Elementary School;00010015;MATH;         143;61;          19;8;         124;53;          85;36;           8;3;         236;99;     506.1;          30.4;         107;74;2022;ALL;non-disabled
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School;04120530;ELA;          35;20;           1;1;          34;20;         106;61;          32;18;         173;99;     485.2;          40.6;         160;11;2022;ALL;non-disabled
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School;04120530;MATH;          15;9;           0;0;          15;9;         114;66;          43;25;         172;98;     479.5;          32.7;         158;7;2022;ALL;non-disabled
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School;04120530;SCI;          13;17;           1;1;          12;15;          50;64;          15;19;          78;100;     482.8;;;12;2022;ALL;non-disabled
Acton-Boxborough - Blanchard Memorial School;06000005;ELA;         192;76;          36;14;         156;62;          52;21;           7;3;         251;100;     510.7;          54.0;         167;86;2022;ALL;non-disabled
Acton-Boxborough - Blanchard Memorial School;06000005;MATH;         196;78;          48;19;         148;59;          44;18;          11;4;         251;100;     513.2;          59.8;         168;90;2022;ALL;non-disabled
Acton-Boxborough - Blanchard Memorial School;06000005;SCI;          43;83;          12;23;          31;60;           7;13;           2;4;          52;100;     515.9;;;92;2022;ALL;non-disabled
Acton-Boxborough - C.T. Douglas Elementary School;06000020;ELA;         114;68;          10;6;         104;62;          51;31;           2;1;         167;99;     507.7;          57.5;         117;79;2022;ALL;non-disabled
Acton-Boxborough - C.T. Douglas Elementary School;06000020;MATH;         113;68;          25;15;          88;53;          51;31;           2;1;         166;99;     509.3;          64.9;         116;83;2022;ALL;non-disabled
Acton-Boxborough - C.T. Douglas Elementary School;06000020;SCI;          23;66;           2;6;          21;60;          11;31;           1;3;          35;97;     505.5;;;68;2022;ALL;non-disabled
Acton-Boxborough - Luther Conant School;06000030;ELA;         168;83;          41;20;         127;63;          35;17;           0;0;         203;100;     515.7;          64.7;         151;96;2022;ALL;non-disabled
Acton-Boxborough - Luther Conant School;06000030;MATH;         172;85;          55;27;         117;58;          30;15;           1;0;         203;100;     520.2;          60.7;         151;98;2022;ALL;non-disabled
Acton-Boxborough - Luther Conant School;06000030;SCI;          49;84;          13;22;          36;62;           9;16;           0;0;          58;100;     520.0;;;97;2022;ALL;non-disabled
Acton-Boxborough - McCarthy-Towne School;06000015;ELA;         158;68;          24;10;         134;58;          65;28;           8;3;         231;99;     507.7;          59.3;         162;79;2022;ALL;non-disabled
Acton-Boxborough - McCarthy-Towne School;06000015;MATH;         142;61;          15;6;         127;55;          80;34;          10;4;         232;99;     505.3;          54.0;         162;71;2022;ALL;non-disabled
Acton-Boxborough - McCarthy-Towne School;06000015;SCI;          33;67;           1;2;          32;65;          12;24;           4;8;          49;98;     505.0;;;66;2022;ALL;non-disabled
Acton-Boxborough - Merriam School;06000010;ELA;         155;67;          19;8;         136;59;          72;31;           5;2;         232;99;     508.1;          53.9;         163;80;2022;ALL;non-disabled
Acton-Boxborough - Merriam School;06000010;MATH;         142;61;          28;12;         114;49;          83;36;           8;3;         233;100;     504.9;          55.6;         164;70;2022;ALL;non-disabled
Acton-Boxborough - Merriam School;06000010;SCI;          38;62;           2;3;          36;59;          18;30;           5;8;          61;100;     503.8;;;62;2022;ALL;non-disabled
Acton-Boxborough - Paul P Gates Elementary School;06000025;ELA;         168;82;          63;31;         105;51;          36;18;           1;0;         205;100;     518.4;          68.9;         159;98;2022;ALL;non-disabled
Acton-Boxborough - Paul P Gates Elementary School;06000025;MATH;         162;79;          59;29;         103;50;          39;19;           3;1;         204;100;     519.7;          65.7;         158;98;2022;ALL;non-disabled
Acton-Boxborough - Paul P Gates Elementary School;06000025;SCI;          49;79;          13;21;          36;58;          13;21;           0;0;          62;98;     516.3;;;92;2022;ALL;non-disabled
Acton-Boxborough - Raymond J Grey Junior High;06000405;ELA;         488;74;          72;11;         416;63;         165;25;           8;1;         661;100;     510.2;          52.5;         631;86;2022;ALL;non-disabled
Acton-Boxborough - Raymond J Grey Junior High;06000405;MATH;         584;89;         228;35;         356;54;          72;11;           2;0;         658;99;     521.9;          68.8;         629;99;2022;ALL;non-disabled
Acton-Boxborough - Raymond J Grey Junior High;06000405;SCI;         284;85;          83;25;         201;60;          43;13;           7;2;         334;99;     517.3;;;94;2022;ALL;non-disabled
Acushnet - Acushnet Elementary School;00030025;ELA;         128;67;          23;12;         105;55;          64;33;           0;0;         192;100;     509.3;          67.6;          84;84;2022;ALL;non-disabled
Acushnet - Acushnet Elementary School;00030025;MATH;         128;67;          22;11;         106;55;          62;32;           2;1;         192;100;     510.9;          72.9;          84;86;2022;ALL;non-disabled
Acushnet - Albert F Ford Middle School;00030305;ELA;         161;47;          20;6;         141;41;         153;44;          30;9;         344;99;     498.6;          43.7;         324;46;2022;ALL;non-disabled
Acushnet - Albert F Ford Middle School;00030305;MATH;         174;51;          22;6;         152;44;         155;45;          14;4;         343;99;     501.7;          49.7;         321;60;2022;ALL;non-disabled
Acushnet - Albert F Ford Middle School;00030305;SCI;          78;50;           9;6;          69;44;          69;44;          10;6;         157;100;     499.8;;;49;2022;ALL;non-disabled
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School;04300305;ELA;         242;64;          38;10;         204;54;         122;32;          13;3;         377;99;     505.6;          53.3;         338;73;2022;ALL;non-disabled
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School;04300305;MATH;         246;65;          53;14;         193;51;         124;33;           7;2;         377;99;     508.1;          56.0;         342;80;2022;ALL;non-disabled
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School;04300305;SCI;          83;69;          14;12;          69;57;          35;29;           3;2;         121;100;     508.1;;;75;2022;ALL;non-disabled
Agawam - Agawam Junior High;00050405;ELA;         148;34;          11;3;         137;32;         255;59;          27;6;         430;94;     494.0;          44.1;         359;31;2022;ALL;non-disabled
Agawam - Agawam Junior High;00050405;MATH;         149;35;          17;4;         132;31;         254;60;          22;5;         425;93;     495.4;          40.3;         355;42;2022;ALL;non-disabled
Agawam - Agawam Junior High;00050405;SCI;         113;48;           8;3;         105;45;         109;46;          13;6;         235;95;     499.0;;;46;2022;ALL;non-disabled
Agawam - Benjamin J Phelps;00050020;ELA;          57;53;           8;7;          49;45;          45;42;           6;6;         108;100;     501.9;          53.5;          53;60;2022;ALL;non-disabled
Agawam - Benjamin J Phelps;00050020;MATH;          59;55;           8;7;          51;47;          47;44;           2;2;         108;100;     504.1;          59.3;          53;68;2022;ALL;non-disabled
Agawam - Clifford M Granger;00050010;ELA;          39;45;           3;3;          36;41;          42;48;           6;7;          87;97;     497.1;          47.3;          36;41;2022;ALL;non-disabled
Agawam - Clifford M Granger;00050010;MATH;          40;47;           1;1;          39;46;          43;51;           2;2;          85;97;     498.5;          55.2;          35;51;2022;ALL;non-disabled
Agawam - James Clark School;00050030;ELA;          50;49;           5;5;          45;44;          49;48;           4;4;         103;99;     499.5;          39.4;          48;49;2022;ALL;non-disabled
Agawam - James Clark School;00050030;MATH;          45;44;           9;9;          36;35;          50;49;           8;8;         103;99;     499.3;          45.2;          48;54;2022;ALL;non-disabled
Agawam - Roberta G. Doering School;00050303;ELA;         174;44;          13;3;         161;41;         202;51;          21;5;         397;99;     497.5;          45.7;         360;42;2022;ALL;non-disabled
Agawam - Roberta G. Doering School;00050303;MATH;         152;39;          13;3;         139;35;         227;58;          14;4;         393;98;     496.6;          45.8;         354;46;2022;ALL;non-disabled
Agawam - Roberta G. Doering School;00050303;SCI;         109;52;           9;4;         100;48;          94;45;           6;3;         209;98;     501.6;;;54;2022;ALL;non-disabled
