School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Avg. Scaled Score;SGP;Included In SGP;Ach. PCTL;year;grade;student_group
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;ELA;          13;14;           0;0;          13;14;          56;60;          25;27;          94;     480.9;          45.8;          76;40;2019;ALL;students with disabilities
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;MATH;          10;11;           0;0;          10;11;          50;53;          34;36;          94;     477.6;          46.3;          76;38;2019;ALL;students with disabilities
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;SCI;           4;13;           0;0;           4;13;          14;45;          13;42;          31;     475.3;;;30;2019;ALL;students with disabilities
Abington - Abington Middle School;00010405;ELA;          10;11;           0;0;          10;11;          51;55;          32;34;          93;     478.2;          45.2;          87;30;2019;ALL;students with disabilities
Abington - Abington Middle School;00010405;MATH;           5;5;           0;0;           5;5;          56;60;          32;34;          93;     475.2;          47.1;          87;28;2019;ALL;students with disabilities
Abington - Abington Middle School;00010405;SCI;           6;14;           0;0;           6;14;          16;37;          21;49;          43;     475.3;;;30;2019;ALL;students with disabilities
Abington - Woodsdale Elementary School;00010015;ELA;          12;23;           1;2;          11;21;          33;62;           8;15;          53;     489.6;          50.0;          27;72;2019;ALL;students with disabilities
Abington - Woodsdale Elementary School;00010015;MATH;           9;17;           1;2;           8;15;          31;60;          12;23;          52;     484.7;          61.4;          26;63;2019;ALL;students with disabilities
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School;04120530;ELA;           9;14;           0;0;           9;14;          39;62;          15;24;          63;     480.7;          51.4;          54;40;2019;ALL;students with disabilities
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School;04120530;MATH;           5;8;           0;0;           5;8;          39;62;          19;30;          63;     477.6;          45.2;          52;39;2019;ALL;students with disabilities
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School;04120530;SCI;           2;7;           0;0;           2;7;          17;63;           8;30;          27;     478.0;;;35;2019;ALL;students with disabilities
Acton-Boxborough - Blanchard Memorial School;06000005;ELA;          19;37;           2;4;          17;33;          23;44;          10;19;          52;     496.3;          55.2;          38;90;2019;ALL;students with disabilities
Acton-Boxborough - Blanchard Memorial School;06000005;MATH;          19;37;           5;10;          14;27;          20;38;          13;25;          52;     494.5;          56.1;          38;91;2019;ALL;students with disabilities
Acton-Boxborough - Blanchard Memorial School;06000005;SCI;           6;55;           3;27;           3;27;           4;36;           1;9;          11;     515.3;;;99;2019;ALL;students with disabilities
Acton-Boxborough - C.T. Douglas Elementary School;06000020;ELA;          11;21;           1;2;          10;19;          32;60;          10;19;          53;     485.5;          35.3;          43;57;2019;ALL;students with disabilities
Acton-Boxborough - C.T. Douglas Elementary School;06000020;MATH;           8;15;           0;0;           8;15;          31;58;          14;26;          53;     479.1;          40.3;          43;43;2019;ALL;students with disabilities
Acton-Boxborough - C.T. Douglas Elementary School;06000020;SCI;           2;13;           0;0;           2;13;           9;56;           5;31;          16;     478.9;;;41;2019;ALL;students with disabilities
