School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Part. Rate %;Avg. Scaled Score;SGP;Included In SGP;year;grade;student_group
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;ELA;          11;11;           0;0;          11;11;          45;43;          48;46;         104;98;     474.3;          23.2;          69;2021;ALL;students with disabilities
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;MATH;           5;5;           0;0;           5;5;          41;39;          58;56;         104;98;     467.1;          27.9;          69;2021;ALL;students with disabilities
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;SCI;           3;10;           0;0;           3;10;          17;59;           9;31;          29;97;     478.6;;;2021;ALL;students with disabilities
Abington - Abington Middle School;00010405;ELA;          16;17;           2;2;          14;15;          40;43;          37;40;          93;98;     479.1;          36.0;          87;2021;ALL;students with disabilities
Abington - Abington Middle School;00010405;MATH;           3;3;           0;0;           3;3;          52;57;          37;40;          92;97;     472.2;          28.8;          84;2021;ALL;students with disabilities
Abington - Abington Middle School;00010405;SCI;           5;11;           1;2;           4;9;          27;61;          12;27;          44;94;     482.0;;;2021;ALL;students with disabilities
Abington - Woodsdale Elementary School;00010015;ELA;           9;16;           1;2;           8;15;          29;53;          17;31;          55;95;     482.2;;;2021;ALL;students with disabilities
Abington - Woodsdale Elementary School;00010015;MATH;           1;2;           0;0;           1;2;          29;55;          23;43;          53;90;     471.5;;;2021;ALL;students with disabilities
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School;04120530;ELA;           3;5;           0;0;           3;5;          22;35;          38;60;          63;97;     465.0;          24.1;          58;2021;ALL;students with disabilities
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School;04120530;MATH;           2;3;           0;0;           2;3;          19;30;          43;67;          64;98;     463.2;          25.1;          59;2021;ALL;students with disabilities
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School;04120530;SCI;           1;4;           0;0;           1;4;           7;30;          15;65;          23;88;     465.7;;;2021;ALL;students with disabilities
Acton-Boxborough - Blanchard Memorial School;06000005;ELA;          19;40;           4;9;          15;32;          18;38;          10;21;          47;90;     493.7;          58.8;          21;2021;ALL;students with disabilities
Acton-Boxborough - Blanchard Memorial School;06000005;MATH;          15;31;           0;0;          15;31;          19;40;          14;29;          48;92;     486.3;          38.5;          21;2021;ALL;students with disabilities
Acton-Boxborough - C.T. Douglas Elementary School;06000020;ELA;           7;23;           0;0;           7;23;          15;48;           9;29;          31;82;     480.7;;          18;2021;ALL;students with disabilities
Acton-Boxborough - C.T. Douglas Elementary School;06000020;MATH;           3;10;           0;0;           3;10;          18;58;          10;32;          31;82;     476.0;;          18;2021;ALL;students with disabilities
Acton-Boxborough - Luther Conant School;06000030;ELA;          13;35;           0;0;          13;35;          17;46;           7;19;          37;100;     490.9;;          17;2021;ALL;students with disabilities
Acton-Boxborough - Luther Conant School;06000030;MATH;          17;46;           0;0;          17;46;          11;30;           9;24;          37;100;     487.5;;          17;2021;ALL;students with disabilities
Acton-Boxborough - McCarthy-Towne School;06000015;ELA;          13;24;           1;2;          12;22;          29;53;          13;24;          55;92;     486.7;          32.1;          24;2021;ALL;students with disabilities
Acton-Boxborough - McCarthy-Towne School;06000015;MATH;          12;22;           1;2;          11;20;          27;49;          16;29;          55;92;     480.4;          46.2;          24;2021;ALL;students with disabilities
Acton-Boxborough - Merriam School;06000010;ELA;          12;31;           0;0;          12;31;          25;64;           2;5;          39;91;     488.9;          44.6;          20;2021;ALL;students with disabilities
Acton-Boxborough - Merriam School;06000010;MATH;           6;15;           0;0;           6;15;          22;55;          12;30;          40;93;     481.2;          39.8;          20;2021;ALL;students with disabilities
Acton-Boxborough - Paul P Gates Elementary School;06000025;ELA;          11;42;           2;8;           9;35;          13;50;           2;8;          26;96;     499.6;;          18;2021;ALL;students with disabilities
Acton-Boxborough - Paul P Gates Elementary School;06000025;MATH;           7;27;           2;8;           5;19;          12;46;           7;27;          26;96;     487.0;;          18;2021;ALL;students with disabilities
Acton-Boxborough - Raymond J Grey Junior High;06000405;ELA;          51;35;           3;2;          48;33;          72;49;          23;16;         146;96;     492.1;          40.8;         144;2021;ALL;students with disabilities
Acton-Boxborough - Raymond J Grey Junior High;06000405;MATH;          51;36;           7;5;          44;31;          76;53;          16;11;         143;94;     494.5;          58.2;         141;2021;ALL;students with disabilities
Acton-Boxborough - Raymond J Grey Junior High;06000405;SCI;          22;34;           7;11;          15;23;          32;49;          11;17;          65;96;     493.9;;;2021;ALL;students with disabilities
Acushnet - Acushnet Elementary School;00030025;ELA;           5;28;           0;0;           5;28;           9;50;           4;22;          18;100;     486.1;;;2021;ALL;students with disabilities
Acushnet - Acushnet Elementary School;00030025;MATH;           1;6;           0;0;           1;6;          10;56;           7;39;          18;100;     481.9;;;2021;ALL;students with disabilities
Acushnet - Albert F Ford Middle School;00030305;ELA;           3;6;           0;0;           3;6;          20;43;          24;51;          47;96;     474.9;          40.5;          34;2021;ALL;students with disabilities
Acushnet - Albert F Ford Middle School;00030305;MATH;           1;2;           0;0;           1;2;          23;49;          23;49;          47;96;     474.0;          29.9;          34;2021;ALL;students with disabilities
Acushnet - Albert F Ford Middle School;00030305;SCI;           2;8;           0;0;           2;8;           9;35;          15;58;          26;90;     470.3;;;2021;ALL;students with disabilities
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School;04300305;ELA;           6;35;           0;0;           6;35;           9;53;           2;12;          17;94;     493.2;;          16;2021;ALL;students with disabilities
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School;04300305;MATH;           1;6;           0;0;           1;6;          12;67;           5;28;          18;100;     477.5;;          17;2021;ALL;students with disabilities
Agawam - Agawam Junior High;00050405;ELA;           2;3;           0;0;           2;3;          24;41;          33;56;          59;64;     468.7;          34.4;          54;2021;ALL;students with disabilities
Agawam - Agawam Junior High;00050405;MATH;           3;5;           0;0;           3;5;          21;36;          34;59;          58;63;     467.0;          32.2;          53;2021;ALL;students with disabilities
Agawam - Agawam Junior High;00050405;SCI;           2;8;           0;0;           2;8;           8;32;          15;60;          25;57;     473.0;;;2021;ALL;students with disabilities
Agawam - Benjamin J Phelps;00050020;ELA;           2;11;           0;0;           2;11;          13;72;           3;17;          18;87;     481.7;;;2021;ALL;students with disabilities
Agawam - Benjamin J Phelps;00050020;MATH;           1;6;           0;0;           1;6;           8;44;           9;50;          18;87;     467.1;;;2021;ALL;students with disabilities
Agawam - Clifford M Granger;00050010;ELA;           4;20;           0;0;           4;20;          10;50;           6;30;          20;95;     479.7;;;2021;ALL;students with disabilities
Agawam - Clifford M Granger;00050010;MATH;           1;5;           0;0;           1;5;           8;38;          12;57;          21;96;     468.0;;;2021;ALL;students with disabilities
Agawam - James Clark School;00050030;ELA;           3;13;           0;0;           3;13;          14;61;           6;26;          23;100;     479.0;;;2021;ALL;students with disabilities
Agawam - James Clark School;00050030;MATH;           0;0;           0;0;           0;0;           6;26;          17;74;          23;100;     457.2;;;2021;ALL;students with disabilities
Agawam - Roberta G. Doering School;00050303;ELA;          10;13;           0;0;          10;13;          34;43;          36;45;          80;84;     474.6;          32.7;          70;2021;ALL;students with disabilities
Agawam - Roberta G. Doering School;00050303;MATH;           5;6;           0;0;           5;6;          43;54;          31;39;          79;81;     474.4;          28.1;          71;2021;ALL;students with disabilities
Agawam - Roberta G. Doering School;00050303;SCI;           5;13;           0;0;           5;13;          18;46;          16;41;          39;83;     479.0;;;2021;ALL;students with disabilities
Agawam - Robinson Park;00050025;ELA;           3;16;           0;0;           3;16;           8;42;           8;42;          19;100;     482.0;;;2021;ALL;students with disabilities
Agawam - Robinson Park;00050025;MATH;           1;5;           0;0;           1;5;           5;26;          13;68;          19;100;     463.0;;;2021;ALL;students with disabilities
Alma del Mar Charter School (District) - Alma del Mar Charter School;04090205;ELA;          12;13;           0;0;          12;13;          42;47;          36;40;          90;97;     474.9;          28.3;          53;2021;ALL;students with disabilities
Alma del Mar Charter School (District) - Alma del Mar Charter School;04090205;MATH;           5;6;           0;0;           5;6;          35;39;          50;56;          90;97;     468.7;          18.8;          53;2021;ALL;students with disabilities
Alma del Mar Charter School (District) - Alma del Mar Charter School;04090205;SCI;           0;0;           0;0;           0;0;           6;43;           8;57;          14;100;     466.7;;;2021;ALL;students with disabilities
Amesbury - Amesbury Elementary;00070005;ELA;           6;21;           0;0;           6;21;           8;29;          14;50;          28;97;     478.2;;;2021;ALL;students with disabilities
Amesbury - Amesbury Elementary;00070005;MATH;           3;11;           0;0;           3;11;           9;32;          16;57;          28;97;     476.1;;;2021;ALL;students with disabilities
Amesbury - Amesbury Middle;00070013;ELA;          12;9;           2;1;          10;7;          61;45;          64;47;         137;93;     472.9;          30.4;         126;2021;ALL;students with disabilities
Amesbury - Amesbury Middle;00070013;MATH;           6;5;           1;1;           5;4;          59;45;          67;51;         132;90;     471.4;          34.5;         119;2021;ALL;students with disabilities
Amesbury - Amesbury Middle;00070013;SCI;          10;15;           2;3;           8;12;          26;39;          30;45;          66;90;     477.4;;;2021;ALL;students with disabilities
Amesbury - Charles C Cashman Elementary;00070010;ELA;          12;27;           0;0;          12;27;          21;47;          12;27;          45;100;     488.3;;;2021;ALL;students with disabilities
Amesbury - Charles C Cashman Elementary;00070010;MATH;           4;9;           0;0;           4;9;          16;36;          24;55;          44;98;     471.9;;;2021;ALL;students with disabilities
