School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Part. Rate %;Avg. Scaled Score;SGP;Included In SGP;Ach. PCTL;year;grade;student_group
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;ELA;           8;7;           0;0;           8;7;          48;44;          53;49;         109;100;     471.7;          44.8;          87;30;2022;ALL;students with disabilities
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;MATH;           8;7;           0;0;           8;7;          42;39;          59;54;         109;100;     470.5;          41.2;          88;29;2022;ALL;students with disabilities
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;SCI;           3;8;           0;0;           3;8;          15;39;          20;53;          38;100;     470.4;;;29;2022;ALL;students with disabilities
Abington - Abington Middle School;00010405;ELA;          12;12;           2;2;          10;10;          47;46;          43;42;         102;98;     476.8;          43.0;          95;50;2022;ALL;students with disabilities
Abington - Abington Middle School;00010405;MATH;           8;8;           2;2;           6;6;          55;54;          39;38;         102;98;     477.1;          46.2;          94;53;2022;ALL;students with disabilities
Abington - Abington Middle School;00010405;SCI;           2;4;           0;0;           2;4;          27;55;          20;41;          49;96;     474.5;;;41;2022;ALL;students with disabilities
Abington - Woodsdale Elementary School;00010015;ELA;           8;13;           0;0;           8;13;          38;60;          17;27;          63;100;     482.4;          41.0;          23;71;2022;ALL;students with disabilities
Abington - Woodsdale Elementary School;00010015;MATH;          13;21;           1;2;          12;19;          27;44;          22;35;          62;98;     484.3;          35.9;          23;76;2022;ALL;students with disabilities
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School;04120530;ELA;           2;3;           0;0;           2;3;          20;33;          39;64;          61;94;     463.6;          35.5;          57;7;2022;ALL;students with disabilities
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School;04120530;MATH;           1;2;           0;0;           1;2;          20;32;          41;66;          62;95;     464.7;          32.3;          58;11;2022;ALL;students with disabilities
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School;04120530;SCI;           1;4;           0;0;           1;4;          13;52;          11;44;          25;93;     469.0;;;25;2022;ALL;students with disabilities
Acton-Boxborough - Blanchard Memorial School;06000005;ELA;          11;24;           0;0;          11;24;          21;46;          14;30;          46;100;     481.9;          45.0;          29;69;2022;ALL;students with disabilities
Acton-Boxborough - Blanchard Memorial School;06000005;MATH;          10;22;           1;2;           9;20;          22;48;          14;30;          46;100;     483.9;          55.0;          29;75;2022;ALL;students with disabilities
Acton-Boxborough - Blanchard Memorial School;06000005;SCI;           3;25;           1;8;           2;17;           3;25;           6;50;          12;93;     483.7;;;69;2022;ALL;students with disabilities
Acton-Boxborough - C.T. Douglas Elementary School;06000020;ELA;           4;13;           0;0;           4;13;          18;56;          10;31;          32;94;     480.3;          50.0;          20;64;2022;ALL;students with disabilities
Acton-Boxborough - C.T. Douglas Elementary School;06000020;MATH;           1;3;           0;0;           1;3;          21;66;          10;31;          32;94;     475.5;          42.6;          20;48;2022;ALL;students with disabilities
Acton-Boxborough - Luther Conant School;06000030;ELA;          10;28;           1;3;           9;25;          22;61;           4;11;          36;100;     489.5;          49.4;          25;90;2022;ALL;students with disabilities
Acton-Boxborough - Luther Conant School;06000030;MATH;          11;31;           3;8;           8;22;          19;53;           6;17;          36;100;     489.4;          43.2;          25;88;2022;ALL;students with disabilities
Acton-Boxborough - McCarthy-Towne School;06000015;ELA;          12;23;           1;2;          11;21;          28;54;          12;23;          52;98;     484.7;          50.5;          36;77;2022;ALL;students with disabilities
Acton-Boxborough - McCarthy-Towne School;06000015;MATH;          13;25;           1;2;          12;23;          23;44;          16;31;          52;98;     483.7;          48.3;          35;74;2022;ALL;students with disabilities
Acton-Boxborough - McCarthy-Towne School;06000015;SCI;           4;24;           1;6;           3;18;          10;59;           3;18;          17;90;     492.5;;;90;2022;ALL;students with disabilities
Acton-Boxborough - Merriam School;06000010;ELA;           9;21;           2;5;           7;16;          23;53;          11;26;          43;100;     484.3;          40.7;          29;76;2022;ALL;students with disabilities
Acton-Boxborough - Merriam School;06000010;MATH;           8;19;           1;2;           7;16;          25;58;          10;23;          43;100;     484.5;          46.8;          30;77;2022;ALL;students with disabilities
Acton-Boxborough - Merriam School;06000010;SCI;           2;20;           1;10;           1;10;           4;40;           4;40;          10;100;     483.7;;;69;2022;ALL;students with disabilities
Acton-Boxborough - Paul P Gates Elementary School;06000025;ELA;           7;32;           1;5;           6;27;          11;50;           4;18;          22;96;     484.3;;          18;76;2022;ALL;students with disabilities
Acton-Boxborough - Paul P Gates Elementary School;06000025;MATH;           3;14;           1;5;           2;9;          14;64;           5;23;          22;96;     485.6;;          18;80;2022;ALL;students with disabilities
Acton-Boxborough - Raymond J Grey Junior High;06000405;ELA;          39;26;           3;2;          36;24;          76;51;          33;22;         148;97;     486.3;          46.0;         140;82;2022;ALL;students with disabilities
Acton-Boxborough - Raymond J Grey Junior High;06000405;MATH;          62;43;          10;7;          52;36;          65;45;          18;12;         145;95;     496.5;          69.0;         135;97;2022;ALL;students with disabilities
Acton-Boxborough - Raymond J Grey Junior High;06000405;SCI;          27;36;           5;7;          22;29;          39;51;          10;13;          76;95;     494.9;;;93;2022;ALL;students with disabilities
Acushnet - Acushnet Elementary School;00030025;ELA;           3;12;           1;4;           2;8;          17;65;           6;23;          26;96;     482.9;;           9;72;2022;ALL;students with disabilities
Acushnet - Acushnet Elementary School;00030025;MATH;           8;31;           1;4;           7;27;          11;42;           7;27;          26;100;     487.5;;           9;84;2022;ALL;students with disabilities
Acushnet - Albert F Ford Middle School;00030305;ELA;           4;8;           0;0;           4;8;          22;45;          23;47;          49;100;     473.1;          31.6;          39;35;2022;ALL;students with disabilities
Acushnet - Albert F Ford Middle School;00030305;MATH;           2;4;           0;0;           2;4;          25;51;          22;45;          49;100;     475.1;          32.4;          39;47;2022;ALL;students with disabilities
Acushnet - Albert F Ford Middle School;00030305;SCI;           2;10;           0;0;           2;10;          10;48;           9;43;          21;100;     473.4;;;37;2022;ALL;students with disabilities
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School;04300305;ELA;           8;30;           2;7;           6;22;          14;52;           5;19;          27;96;     488.5;          40.8;          20;89;2022;ALL;students with disabilities
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School;04300305;MATH;          13;50;           2;8;          11;42;           7;27;           6;23;          26;93;     494.3;;          19;95;2022;ALL;students with disabilities
Agawam - Agawam Junior High;00050405;ELA;           1;1;           0;0;           1;1;          35;39;          54;60;          90;92;     467.6;          36.5;          70;17;2022;ALL;students with disabilities
