School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Avg. Scaled Score;SGP;Included In SGP;Ach. PCTL;year ;grade;student_group
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;ELA;         346;49;          37;5;         309;44;         303;43;          50;7;         699;     499.4;          51.4;         578;69;2019;ALL;title 1
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;MATH;         282;40;          23;3;         259;37;         357;51;          60;9;         699;     495.9;          51.3;         579;67;2019;ALL;title 1
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;SCI;          80;34;           4;2;          76;32;         135;57;          21;9;         236;     492.6;;;55;2019;ALL;title 1
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School;04120530;ELA;         122;40;          16;5;         106;35;         159;52;          24;8;         305;     496.5;          54.8;         268;57;2019;ALL;title 1
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School;04120530;MATH;          99;32;          11;4;          88;29;         175;57;          31;10;         305;     491.4;          46.4;         266;47;2019;ALL;title 1
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School;04120530;SCI;          47;31;           3;2;          44;29;          87;58;          17;11;         151;     491.6;;;50;2019;ALL;title 1
Acton-Boxborough - Raymond J Grey Junior High;06000405;ELA;          16;46;           1;3;          15;43;          17;49;           2;6;          35;     496.7;          40.6;          33;58;2019;ALL;title 1
Acton-Boxborough - Raymond J Grey Junior High;06000405;MATH;          20;59;           2;6;          18;53;          14;41;           0;0;          34;     502.5;          51.3;          32;90;2019;ALL;title 1
Acton-Boxborough - Raymond J Grey Junior High;06000405;SCI;           3;30;           0;0;           3;30;           7;70;           0;0;          10;     496.9;;;74;2019;ALL;title 1
Acushnet - Acushnet Elementary School;00030025;ELA;          26;50;           0;0;          26;50;          26;50;           0;0;          52;     500.4;          62.3;          25;74;2019;ALL;title 1
Acushnet - Acushnet Elementary School;00030025;MATH;          15;28;           2;4;          13;25;          33;62;           5;9;          53;     490.9;          66.7;          25;45;2019;ALL;title 1
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School;04300305;ELA;           5;15;           0;0;           5;15;          25;74;           4;12;          34;     485.7;          60.4;          34;14;2019;ALL;title 1
