School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Part. Rate %;Avg. Scaled Score;SGP;Included In SGP;year;grade;student_group
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;ELA;         258;37;          22;3;         236;34;         324;47;         112;16;         694;99;     491.8;          32.0;         449;2021;ALL;title 1
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;MATH;         109;16;           4;1;         105;15;         398;57;         187;27;         694;99;     480.1;          22.0;         449;2021;ALL;title 1
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;SCI;          59;27;           6;3;          53;25;         118;55;          38;18;         215;100;     488.9;;;2021;ALL;title 1
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School;04120530;ELA;          65;25;           4;2;          61;23;         120;46;          76;29;         261;96;     483.2;          30.6;         245;2021;ALL;title 1
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School;04120530;MATH;          26;10;           1;0;          25;9;         146;55;          92;35;         264;97;     476.5;          24.4;         249;2021;ALL;title 1
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School;04120530;SCI;          12;13;           0;0;          12;13;          49;53;          31;34;          92;89;     477.5;;;2021;ALL;title 1
Acton-Boxborough - Raymond J Grey Junior High;06000405;ELA;           7;23;           0;0;           7;23;          18;58;           6;19;          31;100;     488.2;          46.4;          29;2021;ALL;title 1
Acton-Boxborough - Raymond J Grey Junior High;06000405;MATH;          13;42;           1;3;          12;39;          15;48;           3;10;          31;100;     494.7;          67.6;          29;2021;ALL;title 1
Acushnet - Acushnet Elementary School;00030025;ELA;           7;28;           0;0;           7;28;          18;72;           0;0;          25;100;     492.2;;;2021;ALL;title 1
Acushnet - Acushnet Elementary School;00030025;MATH;           7;28;           0;0;           7;28;          16;64;           2;8;          25;100;     489.7;;;2021;ALL;title 1
