School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Part. Rate %;Avg. Scaled Score;SGP;Included In SGP;Ach. PCTL;year;grade;student_group
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;ELA;         240;34;          13;2;         227;33;         348;50;         110;16;         698;100;     490.3;          49.0;         569;62;2022;ALL;title 1
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;MATH;         169;24;           4;1;         165;24;         389;56;         142;20;         700;100;     486.4;          50.3;         572;51;2022;ALL;title 1
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;SCI;          65;28;           4;2;          61;26;         126;55;          40;17;         231;100;     488.0;;;56;2022;ALL;title 1
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School;04120530;ELA;          37;16;           1;0;          36;15;         126;54;          71;30;         234;98;     479.6;          39.2;         217;15;2022;ALL;title 1
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School;04120530;MATH;          16;7;           0;0;          16;7;         134;57;          84;36;         234;98;     475.6;          32.6;         216;12;2022;ALL;title 1
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School;04120530;SCI;          14;14;           1;1;          13;13;          63;61;          26;25;         103;98;     479.4;;;22;2022;ALL;title 1
Acton-Boxborough - Raymond J Grey Junior High;06000405;ELA;           0;0;           0;0;           0;0;          18;75;           6;25;          24;100;     478.5;          38.6;          23;11;2022;ALL;title 1
Acton-Boxborough - Raymond J Grey Junior High;06000405;MATH;           6;25;           0;0;           6;25;          17;71;           1;4;          24;100;     490.9;          64.2;          23;71;2022;ALL;title 1
Acton-Boxborough - Raymond J Grey Junior High;06000405;SCI;           3;30;           0;0;           3;30;           4;40;           3;30;          10;100;     483.3;;;39;2022;ALL;title 1
Acushnet - Acushnet Elementary School;00030025;ELA;          14;40;           0;0;          14;40;          21;60;           0;0;          35;100;     497.1;          64.9;          22;88;2022;ALL;title 1
Acushnet - Acushnet Elementary School;00030025;MATH;          17;49;           1;3;          16;46;          18;51;           0;0;          35;100;     501.4;          77.1;          22;96;2022;ALL;title 1
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School;04300305;ELA;          14;27;           0;0;          14;27;          23;44;          15;29;          52;96;     483.3;          45.3;          45;29;2022;ALL;title 1
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School;04300305;MATH;          10;19;           0;0;          10;19;          36;69;           6;12;          52;96;     486.6;          51.7;          46;54;2022;ALL;title 1
Agawam - Benjamin J Phelps;00050020;ELA;          58;48;           8;7;          50;41;          53;44;          10;8;         121;100;     499.5;          52.2;          59;93;2022;ALL;title 1
Agawam - Benjamin J Phelps;00050020;MATH;          61;50;           8;7;          53;44;          55;45;           5;4;         121;100;     501.7;          57.5;          59;96;2022;ALL;title 1
Agawam - Clifford M Granger;00050010;ELA;          39;39;           3;3;          36;36;          49;49;          12;12;         100;97;     493.1;          45.8;          38;72;2022;ALL;title 1
Agawam - Clifford M Granger;00050010;MATH;          41;42;           1;1;          40;41;          49;50;           8;8;          98;97;     494.8;          53.3;          37;83;2022;ALL;title 1
Agawam - James Clark School;00050030;ELA;          50;41;           5;4;          45;37;          58;48;          13;11;         121;99;     494.6;          38.5;          56;78;2022;ALL;title 1
Agawam - James Clark School;00050030;MATH;          45;37;           9;7;          36;30;          61;50;          15;12;         121;99;     494.4;          43.4;          56;82;2022;ALL;title 1
Agawam - Robinson Park;00050025;ELA;          43;38;           1;1;          42;37;          57;50;          13;12;         113;100;     492.9;          46.1;          45;71;2022;ALL;title 1
Agawam - Robinson Park;00050025;MATH;          37;33;           2;2;          35;31;          54;48;          21;19;         112;100;     489.6;          39.2;          45;65;2022;ALL;title 1
Alma del Mar Charter School (District) - Alma del Mar Charter School;04090205;ELA;         199;32;          23;4;         176;28;         307;49;         117;19;         623;97;     489.8;          47.5;         503;60;2022;ALL;title 1
Alma del Mar Charter School (District) - Alma del Mar Charter School;04090205;MATH;         166;27;           6;1;         160;26;         338;54;         119;19;         623;99;     487.1;          40.1;         505;57;2022;ALL;title 1
Alma del Mar Charter School (District) - Alma del Mar Charter School;04090205;SCI;          32;23;           4;3;          28;20;          83;60;          24;17;         139;99;     486.9;;;53;2022;ALL;title 1
Amesbury - Amesbury Elementary;00070005;ELA;          10;29;           0;0;          10;29;          21;62;           3;9;          34;100;     493.6;;          16;74;2022;ALL;title 1
Amesbury - Amesbury Elementary;00070005;MATH;          13;39;           2;6;          11;33;          19;58;           1;3;          33;97;     497.2;;          15;89;2022;ALL;title 1
Amesbury - Charles C Cashman Elementary;00070010;ELA;           7;26;           0;0;           7;26;          16;59;           4;15;          27;100;     486.1;;          15;41;2022;ALL;title 1
Amesbury - Charles C Cashman Elementary;00070010;MATH;           7;26;           0;0;           7;26;          12;44;           8;30;          27;100;     485.7;;          14;48;2022;ALL;title 1
Amherst-Pelham - Amherst Regional Middle School;06050405;ELA;           7;18;           2;5;           5;13;          17;43;          16;40;          40;81;     480.6;;          17;18;2022;ALL;title 1
Amherst-Pelham - Amherst Regional Middle School;06050405;MATH;           1;2;           0;0;           1;2;          27;63;          15;35;          43;85;     474.6;;          17;11;2022;ALL;title 1
Amherst-Pelham - Amherst Regional Middle School;06050405;SCI;           3;13;           0;0;           3;13;           9;39;          11;48;          23;92;     475.0;;;12;2022;ALL;title 1
Andover - Andover West Middle;00090310;ELA;          10;24;           0;0;          10;24;          25;61;           6;15;          41;100;     488.4;          37.7;          39;52;2022;ALL;title 1
Andover - Andover West Middle;00090310;MATH;          12;30;           0;0;          12;30;          21;53;           7;18;          40;98;     487.4;          48.5;          38;57;2022;ALL;title 1
Andover - Doherty Middle;00090305;ELA;          10;29;           0;0;          10;29;          23;66;           2;6;          35;100;     494.0;          56.7;          33;76;2022;ALL;title 1
Andover - Doherty Middle;00090305;MATH;           4;11;           0;0;           4;11;          29;83;           2;6;          35;100;     488.7;          64.9;          33;61;2022;ALL;title 1
Andover - Doherty Middle;00090305;SCI;           3;25;           0;0;           3;25;           7;58;           2;17;          12;100;     486.7;;;51;2022;ALL;title 1
Andover - Henry C Sanborn Elementary;00090010;ELA;           6;33;           0;0;           6;33;          12;67;           0;0;          18;100;     494.8;;           9;79;2022;ALL;title 1
Andover - Henry C Sanborn Elementary;00090010;MATH;           4;22;           0;0;           4;22;          14;78;           0;0;          18;100;     495.8;;           9;85;2022;ALL;title 1
Andover - High Plain Elementary;00090004;ELA;          12;34;           0;0;          12;34;          20;57;           3;9;          35;100;     493.5;;          19;73;2022;ALL;title 1
Andover - High Plain Elementary;00090004;MATH;          11;31;           0;0;          11;31;          18;51;           6;17;          35;100;     489.7;;          19;66;2022;ALL;title 1
Andover - West Elementary;00090025;ELA;           9;27;           0;0;           9;27;          23;70;           1;3;          33;100;     489.5;;          18;57;2022;ALL;title 1
Andover - West Elementary;00090025;MATH;           1;3;           0;0;           1;3;          29;88;           3;9;          33;100;     484.1;;          18;41;2022;ALL;title 1
Andover - West Elementary;00090025;SCI;           2;18;           0;0;           2;18;           8;73;           1;9;          11;100;     489.0;;;59;2022;ALL;title 1
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School;35090305;ELA;          45;16;           0;0;          45;16;         148;53;          86;31;         279;100;     479.7;          39.7;         267;16;2022;ALL;title 1
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School;35090305;MATH;          35;13;           0;0;          35;13;         165;59;          78;28;         278;100;     479.3;          37.4;         267;22;2022;ALL;title 1
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School;35090305;SCI;          22;23;           0;0;          22;23;          51;53;          24;25;          97;100;     484.6;;;44;2022;ALL;title 1
Arlington - Hardy;00100030;ELA;           5;38;           0;0;           5;38;           7;54;           1;8;          13;100;     492.4;;           5;68;2022;ALL;title 1
Arlington - Hardy;00100030;MATH;           5;38;           1;8;           4;31;           5;38;           3;23;          13;100;     490.8;;           5;70;2022;ALL;title 1
Arlington - M Norcross Stratton;00100055;ELA;           7;29;           1;4;           6;25;          16;67;           1;4;          24;100;     492.8;;          11;70;2022;ALL;title 1
Arlington - M Norcross Stratton;00100055;MATH;           3;13;           0;0;           3;13;          17;74;           3;13;          23;100;     486.5;;          11;52;2022;ALL;title 1
Arlington - Peirce;00100045;ELA;           7;35;           1;5;           6;30;          13;65;           0;0;          20;100;     495.9;;           5;84;2022;ALL;title 1
Arlington - Peirce;00100045;MATH;           3;15;           0;0;           3;15;          11;55;           6;30;          20;100;     481.3;;           5;31;2022;ALL;title 1
