School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Part. Rate %;Avg. Scaled Score;SGP;Included In SGP;year;grade;student_group
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;ELA;          49;43;           5;4;          44;39;          48;42;          17;15;         114;99;     495.2;          28.7;          76;2021;ALL;white
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;MATH;          23;20;           0;0;          23;20;          65;57;          26;23;         114;99;     483.4;          18.2;          76;2021;ALL;white
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;SCI;          20;47;           3;7;          17;40;          20;47;           3;7;          43;100;     498.5;;;2021;ALL;white
Abington - Abington Middle School;00010405;ELA;         250;54;          44;9;         206;44;         153;33;          61;13;         464;94;     500.8;          39.0;         451;2021;ALL;white
Abington - Abington Middle School;00010405;MATH;         136;30;           9;2;         127;28;         255;56;          68;15;         459;93;     489.3;          23.3;         444;2021;ALL;white
Abington - Abington Middle School;00010405;SCI;         102;48;          16;7;          86;40;          95;44;          17;8;         214;94;     499.1;;;2021;ALL;white
Abington - Woodsdale Elementary School;00010015;ELA;         147;64;          28;12;         119;52;          70;30;          14;6;         231;96;     506.5;;;2021;ALL;white
Abington - Woodsdale Elementary School;00010015;MATH;         114;50;          20;9;          94;41;          96;42;          20;9;         230;95;     498.8;;;2021;ALL;white
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School;04120530;ELA;           4;25;           0;0;           4;25;           8;50;           4;25;          16;94;     484.3;;          16;2021;ALL;white
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School;04120530;MATH;           3;18;           1;6;           2;12;          11;65;           3;18;          17;100;     487.6;;          17;2021;ALL;white
Acton-Boxborough - Blanchard Memorial School;06000005;ELA;         109;76;          27;19;          82;57;          28;19;           7;5;         144;96;     511.2;          46.2;          60;2021;ALL;white
Acton-Boxborough - Blanchard Memorial School;06000005;MATH;          87;60;          10;7;          77;53;          47;33;          10;7;         144;96;     503.5;          39.0;          59;2021;ALL;white
Acton-Boxborough - Blanchard Memorial School;06000005;SCI;          24;83;           7;24;          17;59;           5;17;           0;0;          29;91;     519.1;;;2021;ALL;white
Acton-Boxborough - C.T. Douglas Elementary School;06000020;ELA;          87;59;          17;12;          70;48;          53;36;           7;5;         147;94;     505.7;          42.4;          88;2021;ALL;white
Acton-Boxborough - C.T. Douglas Elementary School;06000020;MATH;          71;48;           2;1;          69;47;          67;46;           9;6;         147;94;     497.3;          43.0;          88;2021;ALL;white
Acton-Boxborough - C.T. Douglas Elementary School;06000020;SCI;          23;56;           4;10;          19;46;          17;41;           1;2;          41;93;     505.2;;;2021;ALL;white
Acton-Boxborough - Luther Conant School;06000030;ELA;          39;76;          10;20;          29;57;          11;22;           1;2;          51;95;     513.2;          55.1;          21;2021;ALL;white
Acton-Boxborough - Luther Conant School;06000030;MATH;          35;69;           2;4;          33;65;          13;25;           3;6;          51;95;     503.5;          52.8;          21;2021;ALL;white
Acton-Boxborough - Luther Conant School;06000030;SCI;          10;83;           4;33;           6;50;           2;17;           0;0;          12;92;     520.1;;;2021;ALL;white
Acton-Boxborough - McCarthy-Towne School;06000015;ELA;         114;62;          24;13;          90;49;          61;33;           8;4;         183;95;     505.2;          42.1;          86;2021;ALL;white
Acton-Boxborough - McCarthy-Towne School;06000015;MATH;          85;46;           4;2;          81;44;          81;44;          17;9;         183;95;     496.2;          40.4;          86;2021;ALL;white
