school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,avg_scaled_score,sgp,included_in_sgp,ach_pctl,year,grade,student_group
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,ELA,          67,58,           7,6,          60,52,          41,36,           7,6,         115,     502.1,          54.4,         113,49,2019,4,ALL
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,MATH,          39,34,           3,3,          36,31,          64,56,          12,10,         115,     493.3,          53.0,         113,27,2019,4,ALL
Abington - Woodsdale Elementary School,00010015,ELA,         105,67,          23,15,          82,52,          46,29,           6,4,         157,     509.9,          57.0,         150,79,2019,4,ALL
Abington - Woodsdale Elementary School,00010015,MATH,          93,60,          17,11,          76,49,          56,36,           6,4,         155,     506.1,          55.2,         148,73,2019,4,ALL
Acton-Boxborough - Blanchard Memorial School,06000005,ELA,          40,68,          10,17,          30,51,          18,31,           1,2,          59,     513.1,          60.7,          53,87,2019,4,ALL
Acton-Boxborough - Blanchard Memorial School,06000005,MATH,          45,78,          12,21,          33,57,          10,17,           3,5,          58,     512.9,          63.9,          52,90,2019,4,ALL
Acton-Boxborough - C.T. Douglas Elementary School,06000020,ELA,          55,81,           9,13,          46,68,          13,19,           0,0,          68,     513.3,          65.5,          65,87,2019,4,ALL
Acton-Boxborough - C.T. Douglas Elementary School,06000020,MATH,          41,60,          15,22,          26,38,          27,40,           0,0,          68,     510.7,          61.0,          65,86,2019,4,ALL
Acton-Boxborough - Luther Conant School,06000030,ELA,          35,73,          10,21,          25,52,          11,23,           2,4,          48,     513.1,          49.3,          47,87,2019,4,ALL
Acton-Boxborough - Luther Conant School,06000030,MATH,          33,69,           9,19,          24,50,          12,25,           3,6,          48,     511.4,          43.5,          47,87,2019,4,ALL
Acton-Boxborough - McCarthy-Towne School,06000015,ELA,          44,55,           8,10,          36,45,          33,41,           3,4,          80,     503.5,          42.9,          75,54,2019,4,ALL
Acton-Boxborough - McCarthy-Towne School,06000015,MATH,          32,40,           2,3,          30,38,          41,51,           7,9,          80,     495.7,          44.1,          76,34,2019,4,ALL
Acton-Boxborough - Merriam School,06000010,ELA,          48,68,           5,7,          43,61,          22,31,           1,1,          71,     507.0,          51.1,          69,68,2019,4,ALL
Acton-Boxborough - Merriam School,06000010,MATH,          55,77,          13,18,          42,59,          12,17,           4,6,          71,     511.8,          64.1,          70,88,2019,4,ALL
Acton-Boxborough - Paul P Gates Elementary School,06000025,ELA,          57,85,          19,28,          38,57,          10,15,           0,0,          67,     518.7,          69.5,          66,96,2019,4,ALL
Acton-Boxborough - Paul P Gates Elementary School,06000025,MATH,          53,79,          18,27,          35,52,          14,21,           0,0,          67,     516.5,          64.2,          66,95,2019,4,ALL
Acushnet - Acushnet Elementary School,00030025,ELA,          85,83,          16,16,          69,67,          17,17,           1,1,         103,     515.1,          63.5,          99,92,2019,4,ALL
Acushnet - Acushnet Elementary School,00030025,MATH,          72,70,          17,17,          55,53,          28,27,           3,3,         103,     510.2,          65.2,          99,84,2019,4,ALL
Agawam - Benjamin J Phelps,00050020,ELA,          34,45,           2,3,          32,43,          39,52,           2,3,          75,     500.6,          42.8,          74,42,2019,4,ALL
Agawam - Benjamin J Phelps,00050020,MATH,          38,51,           2,3,          36,48,          30,40,           7,9,          75,     498.0,          36.7,          74,42,2019,4,ALL
Agawam - Clifford M Granger,00050010,ELA,          28,45,           2,3,          26,42,          27,44,           7,11,          62,     498.8,          49.8,          62,36,2019,4,ALL
Agawam - Clifford M Granger,00050010,MATH,          33,53,           4,6,          29,47,          25,40,           4,6,          62,     501.6,          64.7,          62,57,2019,4,ALL
Agawam - James Clark School,00050030,ELA,          33,57,           9,16,          24,41,          19,33,           6,10,          58,     506.7,          51.0,          57,67,2019,4,ALL
Agawam - James Clark School,00050030,MATH,          35,60,          11,19,          24,41,          15,26,           8,14,          58,     504.8,          44.7,          58,68,2019,4,ALL
Agawam - Robinson Park,00050025,ELA,          37,63,           6,10,          31,53,          16,27,           6,10,          59,     505.0,          48.1,          58,61,2019,4,ALL
Agawam - Robinson Park,00050025,MATH,          38,64,           8,14,          30,51,          20,34,           1,2,          59,     508.9,          51.3,          58,80,2019,4,ALL
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,ELA,          18,37,           2,4,          16,33,          29,59,           2,4,          49,     497.5,          36.1,          46,34,2019,4,ALL
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,MATH,          30,61,           4,8,          26,53,          19,39,           0,0,          49,     505.3,          46.1,          46,73,2019,4,ALL
Amesbury - Amesbury Elementary,00070005,ELA,          56,64,          13,15,          43,49,          23,26,           9,10,          88,     507.6,          53.7,          85,71,2019,4,ALL
Amesbury - Amesbury Elementary,00070005,MATH,          55,63,           8,9,          47,53,          21,24,          12,14,          88,     502.4,          44.9,          85,59,2019,4,ALL
Amesbury - Charles C Cashman Elementary,00070010,ELA,          40,45,          10,11,          30,34,          41,47,           7,8,          88,     501.2,          60.6,          86,45,2019,4,ALL
Amesbury - Charles C Cashman Elementary,00070010,MATH,          39,44,           1,1,          38,43,          33,38,          16,18,          88,     492.7,          55.9,          86,24,2019,4,ALL
Amherst - Crocker Farm Elementary,00080009,ELA,          22,44,           6,12,          16,32,          22,44,           6,12,          50,     496.7,          48.2,          48,29,2019,4,ALL
Amherst - Crocker Farm Elementary,00080009,MATH,          20,40,           3,6,          17,34,          24,48,           6,12,          50,     496.6,          66.7,          49,38,2019,4,ALL
