school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,part_rate_percent,avg_scaled_score,sgp,included_in_sgp,ach_pctl,year,grade,student_group
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,ELA,          23,19,           1,1,          22,18,          83,67,          17,14,         123,100,     486.9,          39.3,         121,22,2022,5,ALL
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,MATH,          20,16,           0,0,          20,16,          67,54,          36,29,         123,100,     481.3,          48.2,         122,18,2022,5,ALL
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,SCI,          29,24,           2,2,          27,22,          72,59,          22,18,         123,100,     486.1,,,26,2022,5,ALL
Abington - Abington Middle School,00010405,ELA,          80,51,          13,8,          67,42,          57,36,          21,13,         158,99,     498.4,          51.3,         148,63,2022,5,ALL
Abington - Abington Middle School,00010405,MATH,          57,36,           2,1,          55,35,          81,51,          20,13,         158,99,     493.6,          51.3,         147,52,2022,5,ALL
Abington - Abington Middle School,00010405,SCI,          73,46,          13,8,          60,38,          63,40,          22,14,         158,99,     498.6,,,58,2022,5,ALL
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,ELA,           9,22,           0,0,           9,22,          29,71,           3,7,          41,93,     485.9,          37.1,          35,19,2022,5,ALL
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,MATH,           4,10,           0,0,           4,10,          24,57,          14,33,42,95,     476.8,          31.0,          36,9,2022,5,ALL
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,SCI,           5,12,           1,2,           4,10,          25,60,          12,29,          42,95,     480.5,,,14,2022,5,ALL
Acton-Boxborough - Blanchard Memorial School,06000005,ELA,          38,58,           2,3,          36,55,          18,28,           9,14,          65,100,     498.6,          44.1,          61,64,2022,5,ALL
