school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,part_rate_percent,avg_scaled_score,sgp,included_in_sgp,year,grade,student_group
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,ELA,          33,29,           0,0,          33,29,          52,46,          27,24,         112,99,     486.0,          29.5,         111,2021,7,ALL
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,MATH,          17,15,           1,1,          16,14,          65,58,          30,27,         112,99,     481.0,          29.9,         111,2021,7,ALL
Abington - Abington Middle School,00010405,ELA,          73,50,          10,7,          63,43,          45,31,          27,19,         145,92,     495.4,          42.3,         134,2021,7,ALL
Abington - Abington Middle School,00010405,MATH,          24,17,           3,2,          21,15,          84,59,          35,24,         143,91,     483.2,          28.3,         132,2021,7,ALL
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,ELA,          22,31,           2,3,          20,28,          29,41,          20,28,          71,97,     486.0,          35.3,          69,2021,7,ALL
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,MATH,           9,13,           0,0,           9,13,          40,58,          20,29,          69,95,     480.2,          35.7,          67,2021,7,ALL
Acton-Boxborough - Raymond J Grey Junior High,06000405,ELA,         272,68,          43,11,         229,57,         108,27,          19,5,         399,98,     508.2,          44.2,         374,2021,7,ALL
Acton-Boxborough - Raymond J Grey Junior High,06000405,MATH,         308,78,         104,26,         204,51,          77,19,          12,3,         397,97,     515.8,          66.1,         372,2021,7,ALL
Acushnet - Albert F Ford Middle School,00030305,ELA,          33,34,           1,1,          32,33,          49,51,          14,15,          96,98,     491.8,          27.8,          90,2021,7,ALL
Acushnet - Albert F Ford Middle School,00030305,MATH,          33,34,           1,1,          32,33,          54,56,           9,9,          96,98,     494.2,          32.1,          90,2021,7,ALL
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,ELA,          71,60,           8,7,          63,53,          44,37,           3,3,         118,94,     504.0,          41.3,          99,2021,7,ALL
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,MATH,          84,70,          22,18,          62,52,          33,28,           3,3,         120,96,     510.4,          48.4,         102,2021,7,ALL
Agawam - Agawam Junior High,00050405,ELA,          69,31,           5,2,          64,29,         107,48,          46,21,         222,77,     488.9,          29.0,         213,2021,7,ALL
Agawam - Agawam Junior High,00050405,MATH,          75,33,           7,3,          68,30,         119,53,          30,13,         224,77,     492.0,          30.2,         215,2021,7,ALL
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,ELA,          34,37,           3,3,          31,33,          35,38,          24,26,          93,99,     487.4,          32.0,          90,2021,7,ALL
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,MATH,          14,15,           0,0,          14,15,          48,52,          31,33,          93,99,     479.1,          20.1,          90,2021,7,ALL
Amesbury - Amesbury Middle,00070013,ELA,          70,47,          11,7,          59,40,          64,43,          14,9,         148,97,     499.4,          38.9,         145,2021,7,ALL
Amesbury - Amesbury Middle,00070013,MATH,          64,44,           8,5,          56,38,          70,48,          12,8,         146,96,     496.6,          46.0,         140,2021,7,ALL
Amherst-Pelham - Amherst Regional Middle School,06050405,ELA,          44,76,           9,16,          35,60,           8,14,           6,10,          58,29,     511.9,          54.3,          51,2021,7,ALL
Amherst-Pelham - Amherst Regional Middle School,06050405,MATH,          39,60,           7,11,          32,49,          19,29,           7,11,          65,31,     507.0,          42.0,          58,2021,7,ALL
Andover - Andover West Middle,00090310,ELA,         103,56,          22,12,          81,44,          61,33,          19,10,         183,99,     502.6,          34.1,         151,2021,7,ALL
Andover - Andover West Middle,00090310,MATH,         113,61,          43,23,          70,38,          55,30,          16,9,         184,100,     508.5,          41.8,         152,2021,7,ALL
Andover - Doherty Middle,00090305,ELA,          82,60,          14,10,          68,50,          41,30,          14,10,         137,97,     503.8,          42.1,         129,2021,7,ALL
Andover - Doherty Middle,00090305,MATH,          68,50,          16,12,          52,38,          57,42,          12,9,         137,97,     502.7,          40.1,         129,2021,7,ALL
