school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,part_rate_percent,avg_scaled_score,sgp,included_in_sgp,ach_pctl,year,grade,student_group
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,4450105,BIO,          56,62,          14,16,          42,47,          33,37,           1,1,          90,,507.7,,,,2022,HS SCI,ALL
Abington - Abington High,10505,BIO,          50,42,          12,10,          38,32,          54,45,          16,13,         120,,496.7,,,,2022,HS SCI,ALL
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,4120530,PHY,          15,24,           1,2,          14,22,          32,51,          16,25,          63,,483.2,,,,2022,HS SCI,ALL
Acton-Boxborough - Acton-Boxborough Regional High,6000505,BIO,         341,86,         165,42,         176,45,          48,12,           6,2,         395,,525.4,,,,2022,HS SCI,ALL
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,4300305,BIO,         105,78,          29,21,          76,56,          28,21,           2,1,         135,,514.5,,,,2022,HS SCI,ALL
Agawam - Agawam High,50505,BIO,          36,49,          20,27,          16,22,          16,22,          21,29,          73,,505.1,,,,2022,HS SCI,ALL
Agawam - Agawam High,50505,PHY,          61,31,           3,2,          58,29,         121,61,          17,9,         199,,492.2,,,,2022,HS SCI,ALL
Amesbury - Amesbury High,70505,BIO,          59,57,          11,11,          48,47,          31,30,          13,13,         103,,502.1,,,,2022,HS SCI,ALL
Amherst-Pelham - Amherst Regional High,6050505,BIO,          44,58,           6,8,          38,50,          24,32,           8,11,          76,,503.0,,,,2022,HS SCI,ALL
Andover - Andover High,90505,BIO,           2,17,           0,0,           2,17,           4,33,           6,50,          12,,489.1,,,,2022,HS SCI,ALL
Andover - Andover High,90505,PHY,         260,65,          83,21,         177,45,         122,31,          15,4,         397,,509.7,,,,2022,HS SCI,ALL
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,BIO,          12,18,           1,1,          11,16,          43,64,          12,18,          67,,485.8,,,,2022,HS SCI,ALL
Arlington - Arlington High,100505,BIO,          11,52,           4,19,           7,33,           7,33,           3,14,          21,,501.0,,,,2022,HS SCI,ALL
Arlington - Arlington High,100505,PHY,         264,74,          83,23,         181,51,          86,24,           5,1,         355,,514.4,,,,2022,HS SCI,ALL
Ashburnham-Westminster - Oakmont Regional High School,6100505,BIO,          20,31,           3,5,          17,27,          36,56,           8,13,          64,,493.2,,,,2022,HS SCI,ALL
Ashland - Ashland High,140505,BIO,         114,59,          19,10,          95,49,          63,33,          15,8,         192,,505.2,,,,2022,HS SCI,ALL
Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,8010605,BIO,         113,42,          10,4,         103,38,         137,51,          20,7,         270,,495.2,,,,2022,HS SCI,ALL
Athol-Royalston - Athol High,6150505,BIO,          28,35,           1,1,          27,33,          43,53,          10,12,          81,,492.8,,,,2022,HS SCI,ALL
Athol-Royalston - Athol High,6150505,PHY,          27,53,           3,6,          24,47,          20,39,           4,8,          51,,498.4,,,,2022,HS SCI,ALL
Atlantis Charter (District) - Atlantis Charter School,4910550,PHY,          13,18,           1,1,          12,17,          36,51,          22,31,          71,,481.5,,,,2022,HS SCI,ALL
Attleboro - Attleboro High,160505,PHY,         204,45,          31,7,         173,38,         209,46,          41,9,         454,,497.5,,,,2022,HS SCI,ALL
Auburn - Auburn Senior High,170505,BIO,          73,45,          10,6,          63,39,          79,49,           9,6,         161,,498.4,,,,2022,HS SCI,ALL
Avon - Avon Middle High School,180510,BIO,          28,55,           6,12,          22,43,          19,37,           4,8,          51,,502.1,,,,2022,HS SCI,ALL
Ayer Shirley School District - Ayer Shirley Regional High School,6160505,BIO,          48,47,           9,9,          39,38,          46,45,           9,9,         103,,498.6,,,,2022,HS SCI,ALL
Barnstable - Barnstable High,200505,BIO,          77,30,           8,3,          69,27,         114,45,          64,25,         255,,487.6,,,,2022,HS SCI,ALL
Barnstable - Barnstable High,200505,PHY,           3,21,           0,0,           3,21,           8,57,           3,21,          14,,486.4,,,,2022,HS SCI,ALL
Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School,35020405,BIO,          12,20,           0,0,          12,20,          26,44,          21,36,          59,,481.5,,,,2022,HS SCI,ALL
Bedford - Bedford High,230505,PHY,         156,71,          56,25,         100,45,          59,27,           6,3,         221,,514.6,,,,2022,HS SCI,ALL
Belchertown - Belchertown High,240505,BIO,         109,73,          45,30,          64,43,          36,24,           5,3,         150,,515.6,,,,2022,HS SCI,ALL
Bellingham - Bellingham High School,250505,BIO,          58,41,           1,1,          57,40,          75,52,          10,7,         143,,494.8,,,,2022,HS SCI,ALL
Belmont - Belmont High,260505,PHY,         273,81,         130,39,         143,43,          53,16,           9,3,         335,,521.6,,,,2022,HS SCI,ALL
Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public School,4140305,BIO,          14,35,           0,0,          14,35,          19,48,           7,18,          40,,490.1,,,,2022,HS SCI,ALL
Berkshire Hills - Monument Mt Regional High,6180505,BIO,          84,66,          24,19,          60,47,          38,30,           5,4,         127,,507.9,,,,2022,HS SCI,ALL
Berlin-Boylston - Tahanto Regional High,6200505,BIO,          61,81,          16,21,          45,60,          12,16,           2,3,          75,,517.7,,,,2022,HS SCI,ALL
Beverly - Beverly High,300505,BIO,         160,54,          36,12,         124,41,         107,36,          32,11,         299,,501.0,,,,2022,HS SCI,ALL
Billerica - Billerica Memorial High School,310505,BIO,         180,65,          43,16,         137,50,          90,33,           6,2,         276,,508.6,,,,2022,HS SCI,ALL
Blackstone Valley Regional Vocational Technical - Blackstone Valley,8050605,BIO,         119,72,          31,19,          88,53,          43,26,           3,2,         165,,511.4,,,,2022,HS SCI,ALL
Blackstone Valley Regional Vocational Technical - Blackstone Valley,8050605,PHY,          95,81,          17,14,          78,66,          23,19,           0,0,         118,,513.3,,,,2022,HS SCI,ALL
Blackstone-Millville - Blackstone Millville RHS,6220505,BIO,          38,38,           4,4,          34,34,          51,51,          11,11,         100,,493.1,,,,2022,HS SCI,ALL
Blue Hills Regional Vocational Technical - Blue Hills Regional Vocational Technical,8060605,BIO,         103,46,          12,5,          91,40,         111,49,          11,5,         225,,497.3,,,,2022,HS SCI,ALL
Boston - Another Course To College,350541,BIO,           0,0,           0,0,           0,0,           7,70,           3,30,          10,,473.8,,,,2022,HS SCI,ALL
Boston - Another Course To College,350541,PHY,           1,2,           0,0,           1,2,          22,54,          18,44,          41,,474.2,,,,2022,HS SCI,ALL
Boston - Boston Arts Academy,350546,BIO,          25,22,           3,3,          22,19,          76,66,          15,13,         116,,488.0,,,,2022,HS SCI,ALL
Boston - Boston Arts Academy,350546,PHY,          30,27,           1,1,          29,26,          72,64,          11,10,         113,,489.7,,,,2022,HS SCI,ALL
Boston - Boston Community Leadership Academy,350558,BIO,           1,4,           0,0,           1,4,          10,40,          14,56,          25,,470.2,,,,2022,HS SCI,ALL
