school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,part_rate_percent,avg_scaled_score,sgp,included_in_sgp,year,grade,student_group
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,ELA,          12,16,           0,0,          12,16,          40,53,          23,31,          75,100,     478.6,          28.1,          25,2021,ALL,EL
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,MATH,           5,7,           0,0,           5,7,          26,35,          44,59,          75,100,     465.3,          27.8,          25,2021,ALL,EL
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,SCI,           0,0,           0,0,           0,0,           4,40,           6,60,          10,100,     467.7,,,2021,ALL,EL
Abington - Abington Middle School,00010405,ELA,           0,0,           0,0,           0,0,          10,32,          21,68,          31,98,     463.4,,          12,2021,ALL,EL
Abington - Abington Middle School,00010405,MATH,           0,0,           0,0,           0,0,          11,35,          20,65,          31,98,     466.8,,          12,2021,ALL,EL
Abington - Abington Middle School,00010405,SCI,           0,0,           0,0,           0,0,           5,45,           6,55,          11,94,     463.3,,,2021,ALL,EL
Abington - Woodsdale Elementary School,00010015,ELA,           2,9,           0,0,           2,9,          11,48,          10,43,          23,97,     474.1,,,2021,ALL,EL
Abington - Woodsdale Elementary School,00010015,MATH,           2,10,           0,0,           2,10,          11,52,           8,38,          21,90,     471.9,,,2021,ALL,EL
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,ELA,           0,0,           0,0,           0,0,           5,24,          16,76,          21,91,     457.9,,          18,2021,ALL,EL
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,MATH,           0,0,           0,0,           0,0,           5,24,          16,76,          21,91,     459.8,,          18,2021,ALL,EL
Acton-Boxborough - Blanchard Memorial School,06000005,ELA,           4,27,           0,0,           4,27,           5,33,           6,40,          15,100,     478.8,,           2,2021,ALL,EL
Acton-Boxborough - Blanchard Memorial School,06000005,MATH,           3,20,           0,0,           3,20,           6,40,           6,40,          15,100,     480.5,,           2,2021,ALL,EL
Acton-Boxborough - C.T. Douglas Elementary School,06000020,ELA,           1,7,           0,0,           1,7,          10,71,           3,21,          14,93,     475.7,,           2,2021,ALL,EL
Acton-Boxborough - C.T. Douglas Elementary School,06000020,MATH,           2,14,           0,0,           2,14,           9,64,           3,21,          14,93,     479.9,,           2,2021,ALL,EL
Acton-Boxborough - Luther Conant School,06000030,ELA,           4,22,           0,0,           4,22,          10,56,           4,22,          18,100,     485.6,,           2,2021,ALL,EL
Acton-Boxborough - Luther Conant School,06000030,MATH,           2,11,           0,0,           2,11,           9,50,           7,39,          18,100,     474.6,,           2,2021,ALL,EL
Acton-Boxborough - McCarthy-Towne School,06000015,ELA,           1,7,           0,0,           1,7,           8,53,           6,40,          15,100,     476.4,,           2,2021,ALL,EL
