school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,part_rate_percent,avg_scaled_score,sgp,included_in_sgp,ach_pctl,year,grade,student_group
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,ELA,           5,6,           0,0,           5,6,          50,56,          35,39,          90,100,     473.6,          38.0,          62,52,2022,ALL,EL
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,MATH,           7,8,           0,0,           7,8,          41,46,          42,47,          90,100,     473.6,          39.7,          63,49,2022,ALL,EL
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,SCI,           1,5,           0,0,           1,5,           8,36,          13,59,          22,100,     469.2,,,66,2022,ALL,EL
Abington - Abington Middle School,00010405,ELA,           0,0,           0,0,           0,0,          19,48,          21,53,          40,98,     467.3,          37.3,          37,30,2022,ALL,EL
Abington - Abington Middle School,00010405,MATH,           1,3,           0,0,           1,3,          22,55,          17,43,          40,98,     471.5,          44.9,          36,41,2022,ALL,EL
Abington - Abington Middle School,00010405,SCI,           0,0,           0,0,           0,0,           7,30,          16,70,          23,97,     465.7,,,48,2022,ALL,EL
Abington - Woodsdale Elementary School,00010015,ELA,           5,19,           1,4,           4,15,          14,54,           7,27,          26,97,     481.5,,           9,83,2022,ALL,EL
Abington - Woodsdale Elementary School,00010015,MATH,           2,7,           0,0,           2,7,          15,56,          10,37,          27,100,     476.4,,           9,60,2022,ALL,EL
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,ELA,           0,0,           0,0,           0,0,           3,16,          16,84,          19,95,     457.2,,          19,5,2022,ALL,EL
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,MATH,           0,0,           0,0,           0,0,           3,16,          16,84,          19,95,     459.8,,          19,3,2022,ALL,EL
Acton-Boxborough - Blanchard Memorial School,06000005,ELA,           0,0,           0,0,           0,0,           3,25,           9,75,          12,100,     458.4,,           8,7,2022,ALL,EL
Acton-Boxborough - Blanchard Memorial School,06000005,MATH,           1,8,           0,0,           1,8,           2,17,           9,75,          12,100,     466.1,,           7,20,2022,ALL,EL
Acton-Boxborough - Luther Conant School,06000030,ELA,           0,0,           0,0,           0,0,          11,92,           1,8,          12,100,     484.0,,           9,87,2022,ALL,EL
Acton-Boxborough - Luther Conant School,06000030,MATH,           2,17,           0,0,           2,17,           8,67,           2,17,          12,100,     482.8,,           9,78,2022,ALL,EL
Acton-Boxborough - McCarthy-Towne School,06000015,ELA,           2,18,           0,0,           2,18,           3,27,           6,55,          11,100,     470.5,,           8,41,2022,ALL,EL
Acton-Boxborough - McCarthy-Towne School,06000015,MATH,           2,18,           0,0,           2,18,           1,9,           8,73,          11,100,     465.4,,           8,16,2022,ALL,EL
Acton-Boxborough - Raymond J Grey Junior High,06000405,ELA,           0,0,           0,0,           0,0,           6,40,           9,60,          15,100,     464.5,,          13,21,2022,ALL,EL
Acton-Boxborough - Raymond J Grey Junior High,06000405,MATH,           2,13,           0,0,           2,13,           7,47,           6,40,          15,100,     479.1,,          13,68,2022,ALL,EL
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,ELA,           7,35,           0,0,           7,35,           9,45,           4,20,          20,95,     487.7,,          17,93,2022,ALL,EL
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,MATH,           3,15,           1,5,           2,10,          15,75,           2,10,          20,95,     487.0,,          17,86,2022,ALL,EL
Agawam - Clifford M Granger,00050010,ELA,           1,9,           0,0,           1,9,           5,45,           5,45,          11,100,     476.8,,           4,69,2022,ALL,EL
Agawam - Clifford M Granger,00050010,MATH,           2,20,           0,0,           2,20,           7,70,           1,10,          10,100,     488.9,,           4,88,2022,ALL,EL
Agawam - Roberta G. Doering School,00050303,ELA,           0,0,           0,0,           0,0,           3,25,           9,75,          12,100,     461.8,,          10,15,2022,ALL,EL
Agawam - Roberta G. Doering School,00050303,MATH,           1,9,           0,0,           1,9,           5,45,           5,45,          11,87,     470.8,,           9,38,2022,ALL,EL
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,ELA,          16,12,           1,1,          15,11,          71,53,          48,36,         135,90,     477.3,          48.4,          86,70,2022,ALL,EL
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,MATH,          14,10,           1,1,          13,10,          70,52,          51,38,         135,99,     477.6,          37.8,          87,64,2022,ALL,EL
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,SCI,           2,12,           1,6,           1,6,           3,18,          12,71,          17,100,     471.0,,,77,2022,ALL,EL
Amherst - Crocker Farm Elementary,00080009,ELA,           0,0,           0,0,           0,0,          11,42,          15,58,          26,100,     468.8,,           7,35,2022,ALL,EL
Amherst - Crocker Farm Elementary,00080009,MATH,           2,8,           0,0,           2,8,          11,44,          12,48,          25,97,     469.8,,           8,34,2022,ALL,EL
Amherst - Fort River Elementary,00080020,ELA,           0,0,           0,0,           0,0,           5,42,           7,58,          12,93,     466.9,,           8,28,2022,ALL,EL
Amherst - Fort River Elementary,00080020,MATH,           0,0,           0,0,           0,0,           2,17,          10,83,          12,93,     456.1,,           8,1,2022,ALL,EL
Amherst - Wildwood Elementary,00080050,ELA,           2,8,           0,0,           2,8,           6,25,          16,67,          24,96,     467.3,,           8,30,2022,ALL,EL
Amherst - Wildwood Elementary,00080050,MATH,           1,4,           0,0,           1,4,           5,20,          19,76,          25,100,     461.8,,           8,6,2022,ALL,EL
Amherst-Pelham - Amherst Regional Middle School,06050405,ELA,           0,0,           0,0,           0,0,           4,19,          17,81,          21,77,     456.9,,           3,4,2022,ALL,EL
Amherst-Pelham - Amherst Regional Middle School,06050405,MATH,           0,0,           0,0,           0,0,           4,18,          18,82,          22,88,     458.2,,           3,2,2022,ALL,EL
Amherst-Pelham - Amherst Regional Middle School,06050405,SCI,           0,0,           0,0,           0,0,           0,0,          13,100,          13,100,     454.6,,,3,2022,ALL,EL
Andover - High Plain Elementary,00090004,ELA,           4,17,           0,0,           4,17,          16,70,           3,13,          23,100,     488.3,,          12,93,2022,ALL,EL
Andover - High Plain Elementary,00090004,MATH,           8,35,           0,0,           8,35,          10,43,           5,22,          23,100,     487.0,,          12,86,2022,ALL,EL
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,ELA,           1,2,           0,0,           1,2,          22,35,          39,63,          62,100,     466.3,          38.0,          59,27,2022,ALL,EL
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,MATH,           1,2,           0,0,           1,2,          30,48,          31,50,          62,100,     469.9,          39.3,          59,35,2022,ALL,EL
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,SCI,           1,4,           0,0,           1,4,          11,46,          12,50,          24,100,     472.6,,,84,2022,ALL,EL
Arlington - M Norcross Stratton,00100055,ELA,           3,23,           0,0,           3,23,           8,62,           2,15,          13,100,     485.6,,           6,90,2022,ALL,EL
Arlington - M Norcross Stratton,00100055,MATH,           3,25,           0,0,           3,25,           8,67,           1,8,          12,93,     493.4,,           5,94,2022,ALL,EL
Arlington - Ottoson Middle,00100410,ELA,           1,8,           0,0,           1,8,           7,54,           5,38,          13,100,     474.9,,          10,62,2022,ALL,EL
Arlington - Ottoson Middle,00100410,MATH,           4,31,           0,0,           4,31,           9,69,           0,0,          13,100,     491.6,,          10,92,2022,ALL,EL
Arlington - Peirce,00100045,ELA,           2,17,           0,0,           2,17,           8,67,           2,17,          12,100,     484.6,,           5,89,2022,ALL,EL
Arlington - Peirce,00100045,MATH,           2,17,           0,0,           2,17,           5,42,           5,42,          12,100,     477.1,,           5,63,2022,ALL,EL
Arlington - Thompson,00100050,ELA,           1,10,           0,0,           1,10,           8,80,           1,10,          10,100,     483.6,,           4,87,2022,ALL,EL
Arlington - Thompson,00100050,MATH,           3,30,           0,0,           3,30,           5,50,           2,20,          10,100,     487.1,,           5,86,2022,ALL,EL
Ashburnham-Westminster - Briggs Elementary,06100025,ELA,           1,9,           0,0,           1,9,           7,64,           3,27,          11,100,     480.2,,           6,80,2022,ALL,EL
Ashburnham-Westminster - Briggs Elementary,06100025,MATH,           2,18,           0,0,           2,18,           6,55,           3,27,          11,100,     480.8,,           6,73,2022,ALL,EL
Ashland - Ashland Middle,00140405,ELA,           0,0,           0,0,           0,0,           9,26,          26,74,          35,92,     461.1,          37.7,          31,14,2022,ALL,EL
Ashland - Ashland Middle,00140405,MATH,           4,11,           0,0,           4,11,          22,58,          12,32,          38,100,     475.7,          51.1,          31,58,2022,ALL,EL
Ashland - Ashland Middle,00140405,SCI,           1,10,           0,0,           1,10,           2,20,           7,70,          10,100,     460.6,,,17,2022,ALL,EL
Ashland - David Mindess,00140015,ELA,           1,2,           0,0,           1,2,          26,54,          21,44,          48,99,     470.6,          38.5,          24,41,2022,ALL,EL
Ashland - David Mindess,00140015,MATH,           4,8,           0,0,           4,8,          18,38,          26,54,          48,100,     468.5,          36.6,          24,29,2022,ALL,EL
Atlantis Charter (District) - Atlantis Charter School,04910550,ELA,           4,6,           0,0,           4,6,          28,42,          34,52,          66,100,     469.4,          36.2,          44,37,2022,ALL,EL
Atlantis Charter (District) - Atlantis Charter School,04910550,MATH,           3,5,           0,0,           3,5,          31,47,          32,48,          66,100,     471.3,          42.5,          44,40,2022,ALL,EL
Atlantis Charter (District) - Atlantis Charter School,04910550,SCI,           0,0,           0,0,           0,0,           5,26,          14,74,          19,100,     461.3,,,27,2022,ALL,EL
Attleboro - Cyril K. Brennan Middle School,00160315,ELA,           1,4,           0,0,           1,4,           8,29,          19,68,          28,100,     461.9,          39.4,          26,15,2022,ALL,EL
Attleboro - Cyril K. Brennan Middle School,00160315,MATH,           3,11,           0,0,           3,11,           9,32,          16,57,          28,100,     472.5,          43.5,          26,44,2022,ALL,EL
Attleboro - Cyril K. Brennan Middle School,00160315,SCI,           0,0,           0,0,           0,0,           5,31,          11,69,          16,100,     462.9,,,33,2022,ALL,EL
Attleboro - Hill-Roberts Elementary School,00160045,ELA,           1,7,           0,0,           1,7,           9,60,           5,33,          15,100,     474.5,,           7,60,2022,ALL,EL
Attleboro - Hill-Roberts Elementary School,00160045,MATH,           3,20,           0,0,           3,20,           9,60,           3,20,          15,100,     482.0,,           7,76,2022,ALL,EL
Attleboro - Hyman Fine Elementary School,00160040,ELA,           0,0,           0,0,           0,0,          10,43,          13,57,          23,100,     467.0,,           8,29,2022,ALL,EL
Attleboro - Hyman Fine Elementary School,00160040,MATH,           2,9,           0,0,           2,9,           9,39,          12,52,          23,100,     473.3,,           8,49,2022,ALL,EL
Attleboro - Peter Thacher Elementary School,00160050,ELA,           0,0,           0,0,           0,0,           8,62,           5,38,          13,100,     479.4,,           7,77,2022,ALL,EL
Attleboro - Peter Thacher Elementary School,00160050,MATH,           0,0,           0,0,           0,0,           9,69,           4,31,          13,100,     478.7,,           7,67,2022,ALL,EL
Attleboro - Thomas Willett Elementary School,00160035,ELA,           0,0,           0,0,           0,0,           8,73,           3,27,          11,100,     474.5,,           5,60,2022,ALL,EL
Attleboro - Thomas Willett Elementary School,00160035,MATH,           1,9,           0,0,           1,9,           5,45,           5,45,          11,100,     472.8,,           5,46,2022,ALL,EL
Attleboro - Wamsutta Middle School,00160320,ELA,           0,0,           0,0,           0,0,           1,7,          14,93,          15,100,     459.3,,          15,9,2022,ALL,EL
Attleboro - Wamsutta Middle School,00160320,MATH,           0,0,           0,0,           0,0,           4,27,          11,73,          15,100,     461.9,,          15,6,2022,ALL,EL
Auburn - Auburn Middle,00170305,ELA,           1,6,           0,0,           1,6,           6,38,           9,56,          16,94,     465.9,,          15,25,2022,ALL,EL
Auburn - Auburn Middle,00170305,MATH,           1,6,           0,0,           1,6,          10,59,           6,35,          17,100,     476.1,,          15,58,2022,ALL,EL
Auburn - Swanson Road Intermediate School,00170030,ELA,           0,0,           0,0,           0,0,          11,73,           4,27,          15,100,     474.7,,           9,61,2022,ALL,EL
Auburn - Swanson Road Intermediate School,00170030,MATH,           2,13,           0,0,           2,13,           8,53,           5,33,          15,100,     477.9,,           9,65,2022,ALL,EL
Avon - Ralph D Butler,00180010,ELA,           2,7,           0,0,           2,7,          22,76,           5,17,          29,100,     483.3,          39.2,          21,86,2022,ALL,EL
Avon - Ralph D Butler,00180010,MATH,           4,14,           0,0,           4,14,          17,59,           8,28,          29,100,     478.7,          50.5,          21,67,2022,ALL,EL
Barnstable - Barnstable Community Innovation School,00200012,ELA,           1,4,           0,0,           1,4,          16,67,           7,29,          24,100,     479.1,,,76,2022,ALL,EL
Barnstable - Barnstable Community Innovation School,00200012,MATH,           3,13,           0,0,           3,13,          14,58,           7,29,          24,100,     477.0,,,62,2022,ALL,EL
Barnstable - Barnstable High,00200505,ELA,           0,0,           0,0,           0,0,           9,31,          20,69,          29,93,     458.3,          42.5,          23,7,2022,ALL,EL
Barnstable - Barnstable High,00200505,MATH,           0,0,           0,0,           0,0,          11,37,          19,63,          30,95,     465.5,          42.2,          24,17,2022,ALL,EL
Barnstable - Barnstable High,00200505,SCI,           0,0,           0,0,           0,0,          12,40,          18,60,          30,91,     462.9,,,33,2022,ALL,EL
Barnstable - Barnstable Intermediate School,00200315,ELA,           0,0,           0,0,           0,0,          12,24,          37,76,          49,96,     458.9,          39.3,          41,8,2022,ALL,EL
Barnstable - Barnstable Intermediate School,00200315,MATH,           2,4,           0,0,           2,4,          18,36,          30,60,          50,95,     469.6,          47.3,          42,33,2022,ALL,EL
Barnstable - Barnstable United Elementary School,00200050,ELA,           2,3,           0,0,           2,3,          40,51,          37,47,          79,98,     471.5,          38.7,          71,45,2022,ALL,EL
Barnstable - Barnstable United Elementary School,00200050,MATH,           2,3,           0,0,           2,3,          33,42,          44,56,          79,99,     469.3,          30.6,          71,32,2022,ALL,EL
Barnstable - Barnstable United Elementary School,00200050,SCI,           0,0,           0,0,           0,0,          11,35,          20,65,          31,98,     466.1,,,52,2022,ALL,EL
Barnstable - Hyannis West Elementary,00200025,ELA,           0,0,           0,0,           0,0,          16,64,           9,36,          25,100,     474.1,,,58,2022,ALL,EL
Barnstable - Hyannis West Elementary,00200025,MATH,           2,8,           0,0,           2,8,          11,44,          12,48,          25,100,     471.1,,,39,2022,ALL,EL
Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School,35020405,ELA,           0,0,           0,0,           0,0,           5,45,           6,55,          11,100,     466.9,,          11,28,2022,ALL,EL
Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School,35020405,MATH,           0,0,           0,0,           0,0,           6,55,           5,45,          11,100,     469.5,,          11,33,2022,ALL,EL
Bedford - John Glenn Middle,00230305,ELA,           0,0,           0,0,           0,0,           8,53,           7,47,          15,100,     469.0,,          12,36,2022,ALL,EL
Bedford - John Glenn Middle,00230305,MATH,           1,7,           0,0,           1,7,           8,53,           6,40,          15,100,     475.5,,          12,57,2022,ALL,EL
Bedford - Lt Job Lane School,00230012,ELA,          10,37,           0,0,          10,37,          17,63,           0,0,          27,100,     495.9,,          11,97,2022,ALL,EL
Bedford - Lt Job Lane School,00230012,MATH,          13,48,           3,11,          10,37,          11,41,           3,11,          27,100,     499.9,,          11,96,2022,ALL,EL
Bellingham - Bellingham Memorial School,00250315,ELA,           0,0,           0,0,           0,0,           3,27,           8,73,          11,100,     465.3,,           8,23,2022,ALL,EL
Bellingham - Bellingham Memorial School,00250315,MATH,           1,9,           0,0,           1,9,           5,45,           5,45,          11,100,     478.1,,          10,65,2022,ALL,EL
Belmont - Daniel Butler,00260015,ELA,          10,67,           0,0,          10,67,           5,33,           0,0,          15,100,     501.4,,           4,99,2022,ALL,EL
Belmont - Daniel Butler,00260015,MATH,           9,64,           1,7,           8,57,           4,29,           1,7,          14,100,     502.8,,           3,98,2022,ALL,EL
Belmont - Mary Lee Burbank,00260010,ELA,           4,36,           1,9,           3,27,           7,64,           0,0,          11,100,     495.6,,           4,97,2022,ALL,EL
Belmont - Mary Lee Burbank,00260010,MATH,           8,73,           1,9,           7,64,           2,18,           1,9,          11,100,     509.1,,           4,99,2022,ALL,EL
Belmont - Roger E Wellington,00260035,ELA,           0,0,           0,0,           0,0,          13,81,           3,19,          16,100,     478.0,,           8,72,2022,ALL,EL
Belmont - Roger E Wellington,00260035,MATH,           3,19,           1,6,           2,13,           8,50,           5,31,          16,100,     480.4,,           8,72,2022,ALL,EL
Belmont - Winn Brook,00260005,ELA,           6,50,           1,8,           5,42,           6,50,           0,0,          12,100,     502.2,,           4,99,2022,ALL,EL
