school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,avg_scaled_score,sgp,included_in_sgp,ach_pctl,year,grade,student_group
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,ELA,         182,47,          20,5,         162,42,         181,47,          25,6,         388,     498.5,          50.3,         326,74,2019,ALL,afr.american/black
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,MATH,         147,38,          10,3,         137,35,         202,52,          39,10,         388,     494.4,          50.1,         326,73,2019,ALL,afr.american/black
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,SCI,          38,28,           2,1,          36,26,          86,63,          13,9,         137,     490.8,,,70,2019,ALL,afr.american/black
Abington - Abington Middle School,00010405,ELA,           7,54,           1,8,           6,46,           5,38,           1,8,          13,     496.2,,          13,64,2019,ALL,afr.american/black
Abington - Abington Middle School,00010405,MATH,           3,23,           0,0,           3,23,           7,54,           3,23,          13,     486.5,,          13,36,2019,ALL,afr.american/black
Abington - Abington Middle School,00010405,SCI,           2,18,           0,0,           2,18,           7,64,           2,18,          11,     487.5,,,59,2019,ALL,afr.american/black
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,ELA,          62,35,           7,4,          55,31,         102,57,          15,8,         179,     494.8,          53.2,         160,59,2019,ALL,afr.american/black
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,MATH,          52,29,           3,2,          49,27,         109,61,          18,10,         179,     489.6,          44.0,         159,54,2019,ALL,afr.american/black
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,SCI,          27,28,           1,1,          26,27,          57,59,          12,13,          96,     490.3,,,70,2019,ALL,afr.american/black
Acton-Boxborough - McCarthy-Towne School,06000015,ELA,           3,27,           1,9,           2,18,           6,55,           2,18,          11,     489.1,,           8,31,2019,ALL,afr.american/black
Acton-Boxborough - McCarthy-Towne School,06000015,MATH,           1,9,           0,0,           1,9,           6,55,           4,36,          11,     474.1,,           8,4,2019,ALL,afr.american/black
Acton-Boxborough - Raymond J Grey Junior High,06000405,ELA,          13,50,           1,4,          12,46,           9,35,           4,15,          26,     496.7,          39.8,          24,66,2019,ALL,afr.american/black
