school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,part_rate_percent,avg_scaled_score,sgp,included_in_sgp,year,grade,student_group
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,ELA,         147,38,          11,3,         136,36,         182,48,          53,14,         382,100,     492.4,          34.1,         262,2021,ALL,afr.american/black
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,MATH,          61,16,           4,1,          57,15,         219,57,         102,27,         382,100,     480.3,          23.4,         262,2021,ALL,afr.american/black
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,SCI,          28,24,           2,2,          26,22,          63,53,          27,23,         118,100,     485.7,,,2021,ALL,afr.american/black
Abington - Abington Middle School,00010405,ELA,          11,46,           1,4,          10,42,          10,42,           3,13,          24,100,     495.9,          35.4,          22,2021,ALL,afr.american/black
Abington - Abington Middle School,00010405,MATH,           6,25,           0,0,           6,25,          13,54,           5,21,          24,100,     485.6,          30.5,          21,2021,ALL,afr.american/black
Abington - Abington Middle School,00010405,SCI,           3,27,           0,0,           3,27,           7,64,           1,9,          11,100,     491.0,,,2021,ALL,afr.american/black
Abington - Woodsdale Elementary School,00010015,ELA,           7,58,           1,8,           6,50,           4,33,           1,8,          12,100,     499.3,,,2021,ALL,afr.american/black
Abington - Woodsdale Elementary School,00010015,MATH,           4,33,           0,0,           4,33,           6,50,           2,17,          12,100,     488.4,,,2021,ALL,afr.american/black
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,ELA,          47,28,           3,2,          44,27,          73,44,          46,28,         166,95,     484.2,          32.0,         157,2021,ALL,afr.american/black
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,MATH,          14,8,           0,0,          14,8,          92,55,          62,37,         168,97,     475.8,          23.8,         159,2021,ALL,afr.american/black
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,SCI,           8,14,           0,0,           8,14,          30,51,          21,36,          59,89,     476.5,,,2021,ALL,afr.american/black
Acton-Boxborough - McCarthy-Towne School,06000015,ELA,           1,10,           1,10,           0,0,           5,50,           4,40,          10,100,     481.5,,           4,2021,ALL,afr.american/black
Acton-Boxborough - McCarthy-Towne School,06000015,MATH,           0,0,           0,0,           0,0,           7,70,           3,30,          10,100,     471.8,,           4,2021,ALL,afr.american/black
Acton-Boxborough - Raymond J Grey Junior High,06000405,ELA,           8,28,           0,0,           8,28,          16,55,           5,17,          29,100,     489.0,          39.8,          24,2021,ALL,afr.american/black
Acton-Boxborough - Raymond J Grey Junior High,06000405,MATH,          10,34,           1,3,           9,31,          13,45,           6,21,          29,100,     490.6,          56.1,          24,2021,ALL,afr.american/black
Acton-Boxborough - Raymond J Grey Junior High,06000405,SCI,           3,23,           0,0,           3,23,           8,62,           2,15,          13,100,     489.2,,,2021,ALL,afr.american/black
Agawam - Agawam Junior High,00050405,ELA,           3,25,           0,0,           3,25,           3,25,           6,50,          12,71,     478.3,,          10,2021,ALL,afr.american/black
Agawam - Agawam Junior High,00050405,MATH,           2,15,           0,0,           2,15,           5,38,           6,46,          13,76,     475.2,,          11,2021,ALL,afr.american/black
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,ELA,          24,36,           3,5,          21,32,          29,44,          13,20,          66,100,     491.8,          24.2,          44,2021,ALL,afr.american/black
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,MATH,          15,23,           0,0,          15,23,          37,56,          14,21,          66,100,     484.9,          16.2,          44,2021,ALL,afr.american/black
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,SCI,           3,20,           0,0,           3,20,           7,47,           5,33,          15,100,     474.7,,,2021,ALL,afr.american/black
Amherst - Wildwood Elementary,00080050,ELA,           9,53,           1,6,           8,47,           6,35,           2,12,          17,65,     497.4,,           5,2021,ALL,afr.american/black
Amherst - Wildwood Elementary,00080050,MATH,           1,6,           0,0,           1,6,          13,76,           3,18,          17,61,     482.7,,           5,2021,ALL,afr.american/black
Andover - Andover West Middle,00090310,ELA,           8,36,           1,5,           7,32,          12,55,           2,9,          22,100,     494.4,,          16,2021,ALL,afr.american/black
Andover - Andover West Middle,00090310,MATH,          11,50,           1,5,          10,45,           9,41,           2,9,          22,100,     496.1,,          16,2021,ALL,afr.american/black
Andover - High Plain Elementary,00090004,ELA,           8,67,           0,0,           8,67,           4,33,           0,0,          12,100,     502.3,,           4,2021,ALL,afr.american/black
Andover - High Plain Elementary,00090004,MATH,           5,42,           0,0,           5,42,           6,50,           1,8,          12,100,     494.3,,           4,2021,ALL,afr.american/black
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,ELA,           4,10,           0,0,           4,10,          23,59,          12,31,          39,95,     477.8,          21.5,          35,2021,ALL,afr.american/black
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,MATH,           3,8,           0,0,           3,8,          24,62,          12,31,          39,95,     478.1,          25.3,          35,2021,ALL,afr.american/black
Arlington - Gibbs School,00100305,ELA,           5,25,           2,10,           3,15,          11,55,           4,20,          20,95,     489.8,,          19,2021,ALL,afr.american/black
Arlington - Gibbs School,00100305,MATH,           3,15,           0,0,           3,15,          12,60,           5,25,          20,95,     480.7,,          19,2021,ALL,afr.american/black
Arlington - Ottoson Middle,00100410,ELA,          12,39,           3,10,           9,29,          13,42,           6,19,          31,89,     497.3,          51.3,          29,2021,ALL,afr.american/black
Arlington - Ottoson Middle,00100410,MATH,           7,23,           1,3,           6,20,          18,60,           5,17,          30,86,     489.7,          44.5,          28,2021,ALL,afr.american/black
Arlington - Ottoson Middle,00100410,SCI,           3,30,           0,0,           3,30,           4,40,           3,30,          10,100,     486.3,,,2021,ALL,afr.american/black
Arlington - Thompson,00100050,ELA,           1,9,           1,9,           0,0,           8,73,           2,18,          11,100,     481.6,,           5,2021,ALL,afr.american/black
Arlington - Thompson,00100050,MATH,           0,0,           0,0,           0,0,           4,36,           7,64,          11,100,     465.5,,           5,2021,ALL,afr.american/black
