school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,part_rate_percent,avg_scaled_score,sgp,included_in_sgp,ach_pctl,year,grade,student_group
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,ELA,         137,36,           6,2,         131,34,         188,49,          59,15,         384,100,     490.7,          49.7,         317,69,2022,ALL,afr.american/black
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,MATH,          93,24,           1,0,          92,24,         219,57,          72,19,         384,100,     486.5,          51.3,         317,64,2022,ALL,afr.american/black
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,SCI,          37,28,           1,1,          36,27,          77,58,          18,14,         132,100,     489.0,,,79,2022,ALL,afr.american/black
Abington - Abington Middle School,00010405,ELA,          10,36,           0,0,          10,36,          18,64,           0,0,          28,100,     495.1,          52.6,          27,85,2022,ALL,afr.american/black
Abington - Abington Middle School,00010405,MATH,           8,29,           0,0,           8,29,          19,68,           1,4,          28,100,     492.1,          50.6,          27,84,2022,ALL,afr.american/black
Abington - Abington Middle School,00010405,SCI,           3,25,           0,0,           3,25,           8,67,           1,8,          12,100,     492.0,,,86,2022,ALL,afr.american/black
Abington - Woodsdale Elementary School,00010015,ELA,           5,36,           1,7,           4,29,           7,50,           2,14,          14,100,     494.0,,           6,83,2022,ALL,afr.american/black
Abington - Woodsdale Elementary School,00010015,MATH,           7,50,           0,0,           7,50,           3,21,           4,29,          14,100,     491.5,,           6,83,2022,ALL,afr.american/black
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,ELA,          24,16,           0,0,          24,16,          79,53,          45,30,         148,97,     480.0,          37.4,         136,20,2022,ALL,afr.american/black
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,MATH,           8,5,           0,0,           8,5,          87,58,          54,36,         149,98,     475.1,          32.4,         136,19,2022,ALL,afr.american/black
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,SCI,           9,13,           1,1,           8,12,          41,61,          17,25,          67,99,     479.2,,,36,2022,ALL,afr.american/black
Acton-Boxborough - McCarthy-Towne School,06000015,ELA,           2,18,           0,0,           2,18,           4,36,           5,45,          11,100,     475.6,,           5,8,2022,ALL,afr.american/black
Acton-Boxborough - McCarthy-Towne School,06000015,MATH,           2,18,           0,0,           2,18,           2,18,           7,64,          11,100,     471.9,,           5,9,2022,ALL,afr.american/black
Acton-Boxborough - Raymond J Grey Junior High,06000405,ELA,           8,32,           1,4,           7,28,          13,52,           4,16,          25,100,     490.2,          47.0,          24,67,2022,ALL,afr.american/black
Acton-Boxborough - Raymond J Grey Junior High,06000405,MATH,           9,36,           2,8,           7,28,          16,64,           0,0,          25,100,     496.9,          71.2,          24,94,2022,ALL,afr.american/black
Acton-Boxborough - Raymond J Grey Junior High,06000405,SCI,           4,31,           1,8,           3,23,           5,38,           4,31,          13,100,     488.6,,,77,2022,ALL,afr.american/black
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,ELA,           3,30,           2,20,           1,10,           5,50,           2,20,          10,100,     493.8,,           8,,2022,ALL,afr.american/black
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,MATH,           6,60,           1,10,           5,50,           1,10,           3,30,          10,100,     493.4,,           8,,2022,ALL,afr.american/black
Agawam - Roberta G. Doering School,00050303,ELA,           1,8,           0,0,           1,8,           9,75,           2,17,          12,100,     481.7,,          11,25,2022,ALL,afr.american/black
Agawam - Roberta G. Doering School,00050303,MATH,           1,8,           0,0,           1,8,           7,58,           4,33,          12,100,     476.5,,          11,23,2022,ALL,afr.american/black
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,ELA,          25,33,           3,4,          22,29,          40,53,          10,13,          75,99,     492.6,          52.5,          64,76,2022,ALL,afr.american/black
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,MATH,          24,32,           1,1,          23,30,          41,54,          11,14,          76,100,     488.4,          39.0,          65,73,2022,ALL,afr.american/black
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,SCI,           4,18,           0,0,           4,18,          12,55,           6,27,          22,100,     483.1,,,53,2022,ALL,afr.american/black
Amesbury - Amesbury Middle,00070013,ELA,           0,0,           0,0,           0,0,           6,50,           6,50,          12,100,     467.6,,          12,1,2022,ALL,afr.american/black
Amesbury - Amesbury Middle,00070013,MATH,           1,8,           0,0,           1,8,           6,50,           5,42,          12,100,     474.1,,          12,15,2022,ALL,afr.american/black
Amherst - Crocker Farm Elementary,00080009,ELA,           5,26,           0,0,           5,26,           6,32,           8,42,          19,100,     480.6,,           6,21,2022,ALL,afr.american/black
Amherst - Crocker Farm Elementary,00080009,MATH,           3,16,           0,0,           3,16,          10,53,           6,32,          19,100,     477.6,,           7,27,2022,ALL,afr.american/black
Amherst - Fort River Elementary,00080020,ELA,           3,23,           1,8,           2,15,           7,54,           3,23,          13,100,     487.7,,           2,54,2022,ALL,afr.american/black
Amherst - Fort River Elementary,00080020,MATH,           1,8,           0,0,           1,8,           5,38,           7,54,          13,100,     473.1,,           2,12,2022,ALL,afr.american/black
Amherst - Wildwood Elementary,00080050,ELA,           8,30,           0,0,           8,30,          10,37,           9,33,          27,88,     485.2,,          13,42,2022,ALL,afr.american/black
Amherst - Wildwood Elementary,00080050,MATH,           4,14,           0,0,           4,14,          10,34,          15,52,          29,94,     473.9,,          13,15,2022,ALL,afr.american/black
Amherst-Pelham - Amherst Regional Middle School,06050405,ELA,           3,16,           0,0,           3,16,           6,32,          10,53,          19,71,     474.1,,           4,5,2022,ALL,afr.american/black
Amherst-Pelham - Amherst Regional Middle School,06050405,MATH,           3,12,           0,0,           3,12,          12,48,          10,40,          25,93,     471.0,,           7,7,2022,ALL,afr.american/black
Amherst-Pelham - Amherst Regional Middle School,06050405,SCI,           2,12,           0,0,           2,12,           5,29,          10,59,          17,94,     470.5,,,7,2022,ALL,afr.american/black
Andover - Andover West Middle,00090310,ELA,           7,44,           0,0,           7,44,           9,56,           0,0,          16,100,     497.0,,          16,89,2022,ALL,afr.american/black
Andover - Andover West Middle,00090310,MATH,           7,44,           0,0,           7,44,           9,56,           0,0,          16,100,     501.4,,          16,97,2022,ALL,afr.american/black
Andover - Andover West Middle,00090310,SCI,           6,60,           0,0,           6,60,           4,40,           0,0,          10,100,     502.5,,,97,2022,ALL,afr.american/black
Andover - High Plain Elementary,00090004,ELA,           5,50,           1,10,           4,40,           5,50,           0,0,          10,100,     503.1,,           7,97,2022,ALL,afr.american/black
Andover - High Plain Elementary,00090004,MATH,           5,50,           0,0,           5,50,           5,50,           0,0,          10,100,     502.2,,           7,98,2022,ALL,afr.american/black
Andover - West Elementary,00090025,ELA,           7,64,           1,9,           6,55,           4,36,           0,0,          11,100,     504.0,,           6,98,2022,ALL,afr.american/black
Andover - West Elementary,00090025,MATH,           5,45,           0,0,           5,45,           5,45,           1,9,          11,100,     496.6,,           6,93,2022,ALL,afr.american/black
Andover - Wood Hill Middle School,00090350,ELA,           6,60,           0,0,           6,60,           3,30,           1,10,          10,100,     497.8,,          10,91,2022,ALL,afr.american/black
Andover - Wood Hill Middle School,00090350,MATH,           6,60,           0,0,           6,60,           4,40,           0,0,          10,100,     501.3,,          10,97,2022,ALL,afr.american/black
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,ELA,           5,14,           0,0,           5,14,          18,50,          13,36,          36,100,     479.7,          41.2,          33,19,2022,ALL,afr.american/black
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,MATH,           1,3,           0,0,           1,3,          25,69,          10,28,          36,100,     477.6,          38.7,          33,28,2022,ALL,afr.american/black
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,SCI,           3,20,           0,0,           3,20,          10,67,           2,13,          15,100,     483.2,,,54,2022,ALL,afr.american/black
Arlington - Gibbs School,00100305,ELA,           4,25,           1,6,           3,19,           7,44,           5,31,          16,100,     481.8,,          16,26,2022,ALL,afr.american/black
Arlington - Gibbs School,00100305,MATH,           4,25,           0,0,           4,25,          10,63,           2,13,          16,100,     486.4,,          16,63,2022,ALL,afr.american/black
Arlington - Ottoson Middle,00100410,ELA,          13,34,           2,5,          11,29,          16,42,           9,24,          38,100,     489.4,          56.5,          34,63,2022,ALL,afr.american/black
Arlington - Ottoson Middle,00100410,MATH,          11,29,           2,5,           9,24,          18,47,           9,24,          38,100,     487.6,          60.6,          33,68,2022,ALL,afr.american/black
Arlington - Ottoson Middle,00100410,SCI,           6,30,           0,0,           6,30,           9,45,           5,25,          20,100,     488.7,,,78,2022,ALL,afr.american/black
Arlington - Thompson,00100050,ELA,           3,23,           0,0,           3,23,           8,62,           2,15,          13,100,     488.9,,           5,59,2022,ALL,afr.american/black
Arlington - Thompson,00100050,MATH,           5,38,           0,0,           5,38,           4,31,           4,31,          13,100,     485.6,,           5,60,2022,ALL,afr.american/black
Ashland - Ashland Middle,00140405,ELA,          11,61,           0,0,          11,61,           4,22,           3,17,          18,95,     498.9,,          18,93,2022,ALL,afr.american/black
Ashland - Ashland Middle,00140405,MATH,           9,47,           0,0,           9,47,           9,47,           1,5,          19,100,     500.8,,          18,97,2022,ALL,afr.american/black
Ashland - David Mindess,00140015,ELA,          11,50,           2,9,           9,41,           8,36,           3,14,          22,100,     500.1,,          14,94,2022,ALL,afr.american/black
