school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,part_rate_percent,avg_scaled_score,sgp,included_in_sgp,ach_pctl,year
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,4450105,ELA,         240,34,          13,2,         227,33,         348,50,         110,16,         698,100,490.3,49.0,         569,35.0,2022
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,4450105,MATH,         169,24,           4,1,         165,24,         389,56,         142,20,         700,100,486.4,50.3,         572,28.0,2022
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,4450105,SCI,          65,28,           4,2,          61,26,         126,55,          40,17,         231,100,488.0,,,30.0,2022
Abington - Abington Middle School,10405,ELA,         291,49,          38,6,         253,42,         238,40,          71,12,         600,98,497.4,50.0,         560,60.0,2022
Abington - Abington Middle School,10405,MATH,         225,37,          16,3,         209,35,         314,52,          66,11,         605,98,494.2,51.9,         561,52.0,2022
Abington - Abington Middle School,10405,SCI,         108,36,          14,5,          94,31,         151,50,          43,14,         302,97,493.7,,,44.0,2022
Abington - Woodsdale Elementary School,10015,ELA,         156,52,          18,6,         138,46,         120,40,          23,8,         299,99,500.7,48.2,         130,71.0,2022
Abington - Woodsdale Elementary School,10015,MATH,         156,52,          20,7,         136,46,         112,38,          30,10,         298,99,501.7,31.3,         130,75.0,2022
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,4120530,ELA,          37,16,           1,0,          36,15,         126,54,          71,30,         234,98,479.6,39.2,         217,9.0,2022
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,4120530,MATH,          16,7,           0,0,          16,7,         134,57,          84,36,         234,98,475.6,32.6,         216,8.0,2022
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,4120530,SCI,          14,14,           1,1,          13,13,          63,61,          26,25,         103,98,479.4,,,12.0,2022
Acton-Boxborough - Blanchard Memorial School,6000005,ELA,         203,68,          36,12,         167,56,          73,25,          21,7,         297,100,506.4,52.7,         196,88.0,2022
Acton-Boxborough - Blanchard Memorial School,6000005,MATH,         206,69,          49,16,         157,53,          66,22,          25,8,         297,100,508.8,59.1,         197,90.0,2022
Acton-Boxborough - Blanchard Memorial School,6000005,SCI,          46,72,          13,20,          33,52,          10,16,           8,13,          64,99,510.3,,,89.0,2022
Acton-Boxborough - C.T. Douglas Elementary School,6000020,ELA,         118,59,          10,5,         108,54,          69,35,          12,6,         199,99,503.3,56.4,         137,79.0,2022
Acton-Boxborough - C.T. Douglas Elementary School,6000020,MATH,         114,58,          25,13,          89,45,          72,36,          12,6,         198,98,503.9,61.6,         136,81.0,2022
Acton-Boxborough - C.T. Douglas Elementary School,6000020,SCI,          25,57,           2,5,          23,52,          14,32,           5,11,          44,98,499.7,,,63.0,2022
Acton-Boxborough - Luther Conant School,6000030,ELA,         178,74,          42,18,         136,57,          57,24,           4,2,         239,100,511.7,62.6,         176,96.0,2022
Acton-Boxborough - Luther Conant School,6000030,MATH,         183,77,          58,24,         125,52,          49,21,           7,3,         239,100,515.6,58.2,         176,98.0,2022
Acton-Boxborough - Luther Conant School,6000030,SCI,          50,77,          13,20,          37,57,          11,17,           4,6,          65,98,515.0,,,96.0,2022
