school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,part_rate_percent,avg_scaled_score,sgp,included_in_sgp,year,grade,student_group
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,ELA,         112,35,           8,3,         104,33,         146,46,          60,19,         318,100,     490.1,          31.7,         192,2021,ALL,ever EL
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,MATH,          46,14,           0,0,          46,14,         168,53,         104,33,         318,100,     477.7,          22.3,         192,2021,ALL,ever EL
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,SCI,          22,24,           1,1,          21,23,          49,53,          22,24,          93,100,     485.4,,,2021,ALL,ever EL
Abington - Abington Middle School,00010405,ELA,          25,29,           1,1,          24,28,          35,41,          26,30,          86,99,     483.9,          38.7,          63,2021,ALL,ever EL
Abington - Abington Middle School,00010405,MATH,           8,9,           0,0,           8,9,          50,58,          28,33,          86,99,     478.7,          28.9,          63,2021,ALL,ever EL
Abington - Abington Middle School,00010405,SCI,           8,22,           0,0,           8,22,          17,47,          11,31,          36,98,     482.1,,,2021,ALL,ever EL
Abington - Woodsdale Elementary School,00010015,ELA,           8,26,           1,3,           7,23,          13,42,          10,32,          31,97,     482.9,,,2021,ALL,ever EL
Abington - Woodsdale Elementary School,00010015,MATH,           7,24,           1,3,           6,21,          14,48,           8,28,          29,92,     480.4,,,2021,ALL,ever EL
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,ELA,          22,22,           1,1,          21,21,          43,43,          34,34,          99,97,     480.2,          30.2,          93,2021,ALL,ever EL
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,MATH,          10,10,           0,0,          10,10,          55,56,          33,34,          98,96,     476.5,          27.5,          92,2021,ALL,ever EL
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,SCI,           4,12,           0,0,           4,12,          19,56,          11,32,          34,89,     479.3,,,2021,ALL,ever EL
Acton-Boxborough - Blanchard Memorial School,06000005,ELA,          21,58,           8,22,          13,36,           8,22,           7,19,          36,100,     503.6,,          15,2021,ALL,ever EL
Acton-Boxborough - Blanchard Memorial School,06000005,MATH,          19,53,           6,17,          13,36,          11,31,           6,17,          36,100,     502.0,,          15,2021,ALL,ever EL
Acton-Boxborough - C.T. Douglas Elementary School,06000020,ELA,          14,39,           4,11,          10,28,          18,50,           4,11,          36,95,     495.7,,          17,2021,ALL,ever EL
Acton-Boxborough - C.T. Douglas Elementary School,06000020,MATH,          17,47,           4,11,          13,36,          15,42,           4,11,          36,95,     497.7,,          17,2021,ALL,ever EL
Acton-Boxborough - C.T. Douglas Elementary School,06000020,SCI,           4,29,           0,0,           4,29,           8,57,           2,14,          14,100,     489.5,,,2021,ALL,ever EL
Acton-Boxborough - Luther Conant School,06000030,ELA,          43,65,           8,12,          35,53,          19,29,           4,6,          66,100,     505.5,          51.0,          22,2021,ALL,ever EL
Acton-Boxborough - Luther Conant School,06000030,MATH,          43,65,          13,20,          30,45,          16,24,           7,11,          66,100,     506.9,          60.6,          22,2021,ALL,ever EL
Acton-Boxborough - Luther Conant School,06000030,SCI,          12,80,           2,13,          10,67,           3,20,           0,0,          15,100,     512.1,,,2021,ALL,ever EL
Acton-Boxborough - McCarthy-Towne School,06000015,ELA,          19,43,           5,11,          14,32,          17,39,           8,18,          44,100,     495.6,          41.5,          24,2021,ALL,ever EL
Acton-Boxborough - McCarthy-Towne School,06000015,MATH,          16,36,           1,2,          15,34,          20,45,           8,18,          44,100,     490.8,          41.9,          24,2021,ALL,ever EL
Acton-Boxborough - McCarthy-Towne School,06000015,SCI,           5,45,           3,27,           2,18,           6,55,           0,0,          11,100,     505.4,,,2021,ALL,ever EL
Acton-Boxborough - Merriam School,06000010,ELA,          12,40,           4,13,           8,27,          12,40,           6,20,          30,100,     495.5,,          13,2021,ALL,ever EL
Acton-Boxborough - Merriam School,06000010,MATH,          15,50,           3,10,          12,40,           8,27,           7,23,          30,100,     492.6,,          13,2021,ALL,ever EL
Acton-Boxborough - Paul P Gates Elementary School,06000025,ELA,          42,72,          11,19,          31,53,          15,26,           1,2,          58,100,     511.8,          49.0,          24,2021,ALL,ever EL
Acton-Boxborough - Paul P Gates Elementary School,06000025,MATH,          39,67,          10,17,          29,50,          16,28,           3,5,          58,100,     509.2,          37.3,          24,2021,ALL,ever EL
Acton-Boxborough - Paul P Gates Elementary School,06000025,SCI,          13,72,           1,6,          12,67,           4,22,           1,6,          18,100,     508.2,,,2021,ALL,ever EL
Acton-Boxborough - Raymond J Grey Junior High,06000405,ELA,          72,58,          16,13,          56,45,          41,33,          12,10,         125,100,     503.2,          45.5,         113,2021,ALL,ever EL
Acton-Boxborough - Raymond J Grey Junior High,06000405,MATH,          92,74,          27,22,          65,52,          27,22,           6,5,         125,100,     513.3,          61.6,         113,2021,ALL,ever EL
Acton-Boxborough - Raymond J Grey Junior High,06000405,SCI,          31,62,           6,12,          25,50,          17,34,           2,4,          50,100,     503.7,,,2021,ALL,ever EL
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,ELA,          29,46,           3,5,          26,41,          29,46,           5,8,          63,95,     498.3,          47.3,          57,2021,ALL,ever EL
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,MATH,          20,31,           5,8,          15,23,          35,54,          10,15,          65,98,     492.9,          31.7,          59,2021,ALL,ever EL
