school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,part_rate_percent,avg_scaled_score,sgp,included_in_sgp,ach_pctl,year,grade,student_group
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,ELA,         103,31,           4,1,          99,30,         169,51,          62,19,         334,100,     488.0,          47.6,         275,60,2022,ALL,Ever EL
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,MATH,          67,20,           1,0,          66,20,         186,56,          81,24,         334,100,     484.2,          48.8,         276,44,2022,ALL,Ever EL
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,SCI,          22,20,           1,1,          21,19,          59,54,          29,26,         110,100,     483.9,,,56,2022,ALL,Ever EL
Abington - Abington Middle School,00010405,ELA,          21,23,           1,1,          20,22,          48,52,          23,25,          92,99,     483.3,          50.9,88,43,2022,ALL,Ever EL
Abington - Abington Middle School,00010405,MATH,          12,13,           0,0,          12,13,          58,63,          22,24,          92,99,     481.6,          50.2,          87,36,2022,ALL,Ever EL
Abington - Abington Middle School,00010405,SCI,           7,15,           0,0,           7,15,          22,46,          19,40,          48,98,     479.6,,,42,2022,ALL,Ever EL
Abington - Woodsdale Elementary School,00010015,ELA,          11,30,           1,3,          10,27,          18,49,           8,22,          37,98,     486.9,,          13,55,2022,ALL,Ever EL
Abington - Woodsdale Elementary School,00010015,MATH,           9,24,           1,3,           8,21,          18,47,          11,29,          38,100,     484.4,,          13,44,2022,ALL,Ever EL
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,ELA,          10,13,           0,0,          10,13,          38,49,          29,38,          77,96,     476.4,          42.1,          76,15,2022,ALL,Ever EL
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,MATH,           7,9,           0,0,           7,9,          35,45,          36,46,          78,98,     473.5,          31.1,          76,11,2022,ALL,Ever EL
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,SCI,           4,11,           0,0,           4,11,          24,69,           7,20,          35,97,     479.7,,,43,2022,ALL,Ever EL
Acton-Boxborough - Blanchard Memorial School,06000005,ELA,          11,37,           2,7,           9,30,          10,33,           9,30,          30,100,     487.7,          38.4,          24,58,2022,ALL,Ever EL
Acton-Boxborough - Blanchard Memorial School,06000005,MATH,          15,50,           3,10,          12,40,           6,20,           9,30,          30,100,     496.1,          51.9,          23,75,2022,ALL,Ever EL
Acton-Boxborough - C.T. Douglas Elementary School,06000020,ELA,          11,38,           1,3,          10,34,          14,48,           4,14,          29,97,     494.0,          51.0,          24,75,2022,ALL,Ever EL
Acton-Boxborough - C.T. Douglas Elementary School,06000020,MATH,          15,52,           5,17,          10,34,          12,41,           2,7,          29,97,     503.8,          63.3,          24,87,2022,ALL,Ever EL
