school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,part_rate_percent,avg_scaled_score,sgp,included_in_sgp,year,grade,student_group
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,ELA,         157,41,          16,4,         141,37,         178,46,          48,13,         383,100,     494.8,          33.3,         228,2021,ALL,female
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,MATH,          64,17,           2,1,          62,16,         215,56,         104,27,         383,100,     480.1,          21.6,         228,2021,ALL,female
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,SCI,          30,28,           4,4,          26,24,          56,52,          22,20,         108,100,     488.2,,,2021,ALL,female
Abington - Abington Middle School,00010405,ELA,         166,57,          32,11,         134,46,          94,32,          33,11,         293,94,     502.7,          39.2,         277,2021,ALL,female
Abington - Abington Middle School,00010405,MATH,          78,27,           6,2,          72,25,         166,57,          45,16,         289,93,     488.1,          24.7,         271,2021,ALL,female
Abington - Abington Middle School,00010405,SCI,          64,44,          12,8,          52,36,          67,46,          15,10,         146,95,     496.7,,,2021,ALL,female
Abington - Woodsdale Elementary School,00010015,ELA,          93,65,          20,14,          73,51,          41,29,           8,6,         142,96,     508.0,,,2021,ALL,female
Abington - Woodsdale Elementary School,00010015,MATH,          60,43,          11,8,          49,35,          69,49,          12,9,         141,95,     495.8,,,2021,ALL,female
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,ELA,          38,30,           2,2,          36,29,          50,40,          38,30,         126,98,     486.0,          32.6,         120,2021,ALL,female
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,MATH,          15,12,           1,1,          14,11,          73,57,          40,31,         128,100,     477.8,          25.9,         122,2021,ALL,female
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,SCI,           7,15,           0,0,           7,15,          27,57,          13,28,          47,98,     479.1,,,2021,ALL,female
Acton-Boxborough - Blanchard Memorial School,06000005,ELA,         100,83,          32,26,          68,56,          19,16,           2,2,         121,97,     517.5,          44.0,          47,2021,ALL,female
Acton-Boxborough - Blanchard Memorial School,06000005,MATH,          76,62,          21,17,          55,45,          43,35,           3,2,         122,98,     508.3,          42.7,          46,2021,ALL,female
Acton-Boxborough - Blanchard Memorial School,06000005,SCI,          21,84,           5,20,          16,64,           4,16,           0,0,          25,93,     519.1,,,2021,ALL,female
Acton-Boxborough - C.T. Douglas Elementary School,06000020,ELA,          65,64,          14,14,          51,50,          33,32,           4,4,         102,96,     507.3,          41.0,          56,2021,ALL,female
