school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,part_rate_percent,avg_scaled_score,sgp,included_in_sgp,ach_pctl,year,grade,student_group
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,ELA,         153,40,           8,2,         145,38,         175,46,          53,14,         381,100,     492.4,          49.2,         315,33,2022,ALL,female
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,MATH,          85,22,           1,0,          84,22,         217,57,          80,21,         382,100,     485.9,          48.6,         317,28,2022,ALL,female
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,SCI,          37,28,           3,2,          34,26,          75,57,          19,15,         131,100,     488.7,,,33,2022,ALL,female
Abington - Abington Middle School,00010405,ELA,         167,56,          26,9,         141,48,         107,36,          22,7,         296,97,     501.6,          52.3,         277,65,2022,ALL,female
Abington - Abington Middle School,00010405,MATH,         112,37,           7,2,         105,35,         159,53,          28,9,         299,98,     494.9,          52.2,         278,56,2022,ALL,female
Abington - Abington Middle School,00010405,SCI,          51,34,           8,5,          43,29,          78,52,          20,13,         149,97,     493.6,,,44,2022,ALL,female
Abington - Woodsdale Elementary School,00010015,ELA,          81,54,          11,7,          70,47,          62,41,           7,5,         150,100,     503.4,          53.8,          67,71,2022,ALL,female
Abington - Woodsdale Elementary School,00010015,MATH,          69,47,           9,6,          60,41,          68,46,          11,7,         148,99,     500.5,          30.4,          66,74,2022,ALL,female
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,ELA,          24,21,           0,0,          24,21,          58,52,          30,27,         112,97,     482.0,          40.9,         100,8,2022,ALL,female
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,MATH,           5,5,           0,0,           5,5,          65,59,          41,37,         111,97,     475.8,          33.3,         100,8,2022,ALL,female
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,SCI,           5,11,           0,0,           5,11,          31,67,          10,22,          46,98,     479.4,,,14,2022,ALL,female
Acton-Boxborough - Blanchard Memorial School,06000005,ELA,         112,72,          23,15,          89,57,          35,23,           8,5,         155,100,     510.0,          51.1,         101,89,2022,ALL,female
Acton-Boxborough - Blanchard Memorial School,06000005,MATH,         106,68,          24,15,          82,53,          40,26,           9,6,         155,100,     509.1,          58.4,         102,92,2022,ALL,female
Acton-Boxborough - Blanchard Memorial School,06000005,SCI,          23,74,           4,13,          19,61,           5,16,           3,10,          31,100,     508.8,,,88,2022,ALL,female
Acton-Boxborough - C.T. Douglas Elementary School,06000020,ELA,          63,60,           8,8,          55,52,          37,35,           5,5,         105,99,     505.3,          58.5,          74,76,2022,ALL,female
Acton-Boxborough - C.T. Douglas Elementary School,06000020,MATH,          60,57,          12,11,          48,46,          39,37,           6,6,         105,99,     502.7,          60.3,          74,80,2022,ALL,female
Acton-Boxborough - C.T. Douglas Elementary School,06000020,SCI,          15,56,           1,4,          14,52,          10,37,           2,7,          27,96,     501.0,,,68,2022,ALL,female
Acton-Boxborough - Luther Conant School,06000030,ELA,          89,81,          29,26,          60,55,          19,17,           2,2,         110,100,     515.9,          66.6,          81,97,2022,ALL,female
Acton-Boxborough - Luther Conant School,06000030,MATH,          85,77,          25,23,          60,55,          22,20,           3,3,         110,100,     514.6,          56.1,          81,98,2022,ALL,female
Acton-Boxborough - Luther Conant School,06000030,SCI,          29,76,           8,21,          21,55,           6,16,           3,8,          38,100,     514.1,,,95,2022,ALL,female
Acton-Boxborough - McCarthy-Towne School,06000015,ELA,          88,62,          22,16,          66,47,          45,32,           8,6,         141,98,     506.7,          58.5,          95,81,2022,ALL,female
Acton-Boxborough - McCarthy-Towne School,06000015,MATH,          76,53,           8,6,          68,48,          55,38,          12,8,         143,99,     500.9,          53.2,          96,75,2022,ALL,female
Acton-Boxborough - McCarthy-Towne School,06000015,SCI,          15,54,           0,0,          15,54,           9,32,           4,14,          28,91,     499.7,,,65,2022,ALL,female
Acton-Boxborough - Merriam School,06000010,ELA,          81,64,          11,9,          70,55,          40,31,           6,5,         127,98,     506.6,          52.7,          89,80,2022,ALL,female
Acton-Boxborough - Merriam School,06000010,MATH,          62,48,          12,9,          50,39,          56,44,          10,8,         128,99,     498.9,          56.1,          89,69,2022,ALL,female
Acton-Boxborough - Merriam School,06000010,SCI,          16,43,           0,0,          16,43,          14,38,           7,19,          37,100,     494.4,,,47,2022,ALL,female
Acton-Boxborough - Paul P Gates Elementary School,06000025,ELA,          82,79,          28,27,          54,52,          20,19,           2,2,         104,99,     515.1,          64.9,          81,96,2022,ALL,female
Acton-Boxborough - Paul P Gates Elementary School,06000025,MATH,          68,65,          17,16,          51,49,          31,30,           5,5,         104,99,     510.1,          59.6,          81,93,2022,ALL,female
Acton-Boxborough - Paul P Gates Elementary School,06000025,SCI,          28,80,           8,23,          20,57,           7,20,           0,0,          35,95,     516.9,,,97,2022,ALL,female
