school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,part_rate_percent,avg_scaled_score,sgp,included_in_sgp,ach_pctl,year,grade,student_group
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,ELA,         164,30,           5,1,         159,29,         283,51,         104,19,         551,100,     487.7,          47.2,         449,52,2022,ALL,high needs
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,MATH,         114,21,           3,1,         111,20,         309,56,         130,24,         553,100,     484.2,          49.7,         452,41,2022,ALL,high needs
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,SCI,          39,22,           1,1,          38,21,         101,56,          39,22,         179,100,     484.5,,,37,2022,ALL,high needs
Abington - Abington Middle School,00010405,ELA,          97,32,          11,4,          86,29,         139,46,          65,22,         301,97,     488.5,          48.2,         283,57,2022,ALL,high needs
Abington - Abington Middle School,00010405,MATH,          57,19,           4,1,          53,17,         184,61,          62,20,         303,98,     485.5,          49.5,         281,47,2022,ALL,high needs
Abington - Abington Middle School,00010405,SCI,          29,20,           2,1,          27,19,          74,51,          42,29,         145,96,     483.8,,,34,2022,ALL,high needs
Abington - Woodsdale Elementary School,00010015,ELA,          51,34,           3,2,          48,32,          74,50,          23,16,         148,99,     491.8,          41.8,          59,74,2022,ALL,high needs
Abington - Woodsdale Elementary School,00010015,MATH,          53,36,           5,3,          48,33,          65,44,          29,20,         147,99,     492.2,          31.7,          59,77,2022,ALL,high needs
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,ELA,          22,12,           1,1,          21,12,          92,51,          66,37,         180,97,     476.5,          39.3,         165,7,2022,ALL,high needs
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,MATH,           9,5,           0,0,           9,5,          96,53,          75,42,         180,97,     473.1,          32.7,         164,7,2022,ALL,high needs
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,SCI,           9,11,           0,0,           9,11,          49,61,          22,28,          80,98,     478.0,,,15,2022,ALL,high needs
Acton-Boxborough - Blanchard Memorial School,06000005,ELA,          25,32,           2,3,          23,30,          32,42,          20,26,          77,100,     486.8,          44.0,          52,47,2022,ALL,high needs
Acton-Boxborough - Blanchard Memorial School,06000005,MATH,          26,34,           4,5,          22,29,          28,36,          23,30,          77,100,     488.7,          53.7,          52,63,2022,ALL,high needs
Acton-Boxborough - Blanchard Memorial School,06000005,SCI,           6,32,           1,5,           5,26,           5,26,           8,42,          19,95,     486.7,,,47,2022,ALL,high needs
Acton-Boxborough - C.T. Douglas Elementary School,06000020,ELA,          19,30,           1,2,          18,28,          33,52,          12,19,          64,97,     489.3,          50.7,          43,61,2022,ALL,high needs
Acton-Boxborough - C.T. Douglas Elementary School,06000020,MATH,          17,27,           3,5,          14,22,          36,56,          11,17,          64,97,     488.1,          52.8,          43,60,2022,ALL,high needs
Acton-Boxborough - C.T. Douglas Elementary School,06000020,SCI,           5,31,           0,0,           5,31,           7,44,           4,25,          16,100,     484.9,,,39,2022,ALL,high needs
Acton-Boxborough - Luther Conant School,06000030,ELA,          41,49,           3,4,          38,46,          38,46,           4,5,          83,100,     500.5,          58.6,          65,97,2022,ALL,high needs
Acton-Boxborough - Luther Conant School,06000030,MATH,          45,54,          14,17,          31,37,          31,37,           7,8,          83,100,     503.6,          55.5,          65,97,2022,ALL,high needs
Acton-Boxborough - Luther Conant School,06000030,SCI,          18,67,           2,7,          16,59,           5,19,           4,15,          27,96,     504.5,,,96,2022,ALL,high needs
Acton-Boxborough - McCarthy-Towne School,06000015,ELA,          31,36,           5,6,          26,30,          40,46,          16,18,          87,99,     491.3,          58.7,          63,72,2022,ALL,high needs
Acton-Boxborough - McCarthy-Towne School,06000015,MATH,          32,37,           5,6,          27,31,          33,38,          22,25,          87,99,     489.4,          52.5,          62,66,2022,ALL,high needs
Acton-Boxborough - McCarthy-Towne School,06000015,SCI,           5,24,           1,5,           4,19,          13,62,           3,14,          21,93,     491.5,,,68,2022,ALL,high needs
Acton-Boxborough - Merriam School,06000010,ELA,          31,37,           5,6,          26,31,          37,45,          15,18,          83,100,     492.6,          46.5,          60,78,2022,ALL,high needs
Acton-Boxborough - Merriam School,06000010,MATH,          28,34,           5,6,          23,28,          41,49,          14,17,          83,100,     491.6,          50.1,          61,75,2022,ALL,high needs
Acton-Boxborough - Merriam School,06000010,SCI,           8,36,           1,5,           7,32,           8,36,           6,27,          22,100,     491.1,,,66,2022,ALL,high needs
Acton-Boxborough - Paul P Gates Elementary School,06000025,ELA,          45,58,          12,16,          33,43,          27,35,           5,6,          77,99,     502.9,          57.1,          61,98,2022,ALL,high needs
Acton-Boxborough - Paul P Gates Elementary School,06000025,MATH,          39,51,          13,17,          26,34,          32,42,           6,8,          77,99,     505.5,          57.6,          61,98,2022,ALL,high needs
Acton-Boxborough - Paul P Gates Elementary School,06000025,SCI,          10,53,           3,16,           7,37,           8,42,           1,5,          19,96,     507.3,,,98,2022,ALL,high needs
Acton-Boxborough - Raymond J Grey Junior High,06000405,ELA,          84,34,           6,2,          78,32,         120,49,          40,16,         244,98,     490.5,          47.9,         232,68,2022,ALL,high needs
Acton-Boxborough - Raymond J Grey Junior High,06000405,MATH,         127,53,          25,10,         102,43,          92,38,          20,8,         239,96,     501.1,          68.6,         225,96,2022,ALL,high needs
Acton-Boxborough - Raymond J Grey Junior High,06000405,SCI,          50,41,           8,7,          42,34,          57,46,          16,13,         123,95,     496.5,,,85,2022,ALL,high needs
Acushnet - Acushnet Elementary School,00030025,ELA,          60,58,           7,7,          53,51,          38,37,           6,6,         104,99,     502.6,          68.1,          39,98,2022,ALL,high needs
Acushnet - Acushnet Elementary School,00030025,MATH,          61,59,           9,9,          52,50,          35,34,           8,8,         104,100,     504.2,          77.9,          39,98,2022,ALL,high needs
Acushnet - Albert F Ford Middle School,00030305,ELA,          51,31,           3,2,          48,29,          79,48,          36,22,         166,99,     489.0,          40.8,         149,59,2022,ALL,high needs
Acushnet - Albert F Ford Middle School,00030305,MATH,          51,31,           4,2,          47,28,          82,50,          32,19,         165,99,     490.9,          43.7,         148,72,2022,ALL,high needs
Acushnet - Albert F Ford Middle School,00030305,SCI,          22,31,           1,1,          21,29,          35,49,          15,21,          72,100,     488.7,,,56,2022,ALL,high needs
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,ELA,          47,42,           5,5,          42,38,          52,47,          12,11,         111,97,     495.0,          48.9,          90,88,2022,ALL,high needs
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,MATH,          50,45,          10,9,          40,36,          49,45,          11,10,         110,96,     497.5,          55.2,          90,91,2022,ALL,high needs
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,SCI,          21,60,           1,3,          20,57,          12,34,           2,6,          35,100,     501.6,,,93,2022,ALL,high needs
Agawam - Agawam Junior High,00050405,ELA,          50,19,           2,1,          48,18,         143,53,          75,28,         268,91,     482.6,          41.1,         218,25,2022,ALL,high needs
Agawam - Agawam Junior High,00050405,MATH,          48,18,           2,1,          46,17,         158,60,          58,22,         264,89,     483.8,          38.9,         214,40,2022,ALL,high needs
Agawam - Agawam Junior High,00050405,SCI,          44,32,           3,2,          41,29,          62,45,          33,24,         139,91,     487.1,,,48,2022,ALL,high needs
Agawam - Benjamin J Phelps,00050020,ELA,          25,37,           3,4,          22,32,          34,50,           9,13,          68,100,     493.7,          52.1,          35,83,2022,ALL,high needs
Agawam - Benjamin J Phelps,00050020,MATH,          25,37,           1,1,          24,35,          38,56,           5,7,          68,100,     495.5,          57.8,          35,85,2022,ALL,high needs
Agawam - Clifford M Granger,00050010,ELA,           9,18,           0,0,           9,18,          29,58,          12,24,          50,100,     481.8,          35.6,          21,22,2022,ALL,high needs
Agawam - Clifford M Granger,00050010,MATH,          12,25,           0,0,          12,25,          28,58,           8,17,          48,100,     486.9,          54.3,          20,55,2022,ALL,high needs
