school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,part_rate_percent,avg_scaled_score,sgp,included_in_sgp,year,grade,student_group
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,ELA,          41,27,           4,3,          37,24,          80,52,          33,21,         154,100,     487.3,          30.3,          90,2021,ALL,hispanic/latino
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,MATH,          14,9,           0,0,          14,9,          96,62,          44,29,         154,100,     477.2,          20.5,          90,2021,ALL,hispanic/latino
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,SCI,           9,19,           1,2,           8,17,          31,66,           7,15,          47,100,     488.1,,,2021,ALL,hispanic/latino
Abington - Abington Middle School,00010405,ELA,          27,40,           5,7,          22,33,          20,30,          20,30,          67,99,     489.5,          38.5,          51,2021,ALL,hispanic/latino
Abington - Abington Middle School,00010405,MATH,           8,12,           0,0,           8,12,          39,58,          20,30,          67,99,     480.8,          26.2,          51,2021,ALL,hispanic/latino
Abington - Abington Middle School,00010405,SCI,           4,13,           0,0,           4,13,          17,57,           9,30,          30,100,     479.3,,,2021,ALL,hispanic/latino
Abington - Woodsdale Elementary School,00010015,ELA,          12,41,           2,7,          10,34,           9,31,           8,28,          29,97,     492.7,,,2021,ALL,hispanic/latino
Abington - Woodsdale Elementary School,00010015,MATH,           6,21,           1,3,           5,17,          13,45,          10,34,          29,97,     480.1,,,2021,ALL,hispanic/latino
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,ELA,          11,15,           0,0,          11,15,          38,51,          25,34,          74,96,     479.6,          26.9,          67,2021,ALL,hispanic/latino
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,MATH,           6,8,           0,0,           6,8,          42,57,          26,35,          74,96,     474.7,          22.5,          68,2021,ALL,hispanic/latino
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,SCI,           2,8,           0,0,           2,8,          15,58,           9,35,          26,87,     477.9,,,2021,ALL,hispanic/latino
Acton-Boxborough - Blanchard Memorial School,06000005,ELA,           7,54,           1,8,           6,46,           5,38,           1,8,          13,88,     506.0,,,2021,ALL,hispanic/latino
Acton-Boxborough - Blanchard Memorial School,06000005,MATH,           5,38,           1,8,           4,31,           5,38,           3,23,          13,88,     494.5,,,2021,ALL,hispanic/latino
Acton-Boxborough - C.T. Douglas Elementary School,06000020,ELA,           4,40,           0,0,           4,40,           5,50,           1,10,          10,100,     491.4,,           1,2021,ALL,hispanic/latino
Acton-Boxborough - C.T. Douglas Elementary School,06000020,MATH,           0,0,           0,0,           0,0,           7,70,           3,30,          10,100,     472.0,,           1,2021,ALL,hispanic/latino
Acton-Boxborough - Luther Conant School,06000030,ELA,          14,74,           4,21,          10,53,           3,16,           2,11,          19,100,     506.5,,           5,2021,ALL,hispanic/latino
Acton-Boxborough - Luther Conant School,06000030,MATH,           7,37,           2,11,           5,26,           7,37,           5,26,          19,100,     494.2,,           5,2021,ALL,hispanic/latino
Acton-Boxborough - McCarthy-Towne School,06000015,ELA,          10,37,           2,7,           8,30,          12,44,           5,19,          27,100,     492.6,,          15,2021,ALL,hispanic/latino
Acton-Boxborough - McCarthy-Towne School,06000015,MATH,           5,19,           1,4,           4,15,          16,59,           6,22,          27,100,     485.5,,          15,2021,ALL,hispanic/latino
Acton-Boxborough - Merriam School,06000010,ELA,           7,37,           1,5,           6,32,           8,42,           4,21,          19,100,     489.7,,           7,2021,ALL,hispanic/latino
Acton-Boxborough - Merriam School,06000010,MATH,           4,21,           0,0,           4,21,          10,53,           5,26,          19,100,     483.6,,           7,2021,ALL,hispanic/latino
Acton-Boxborough - Paul P Gates Elementary School,06000025,ELA,           6,55,           1,9,           5,45,           5,45,           0,0,          11,100,     501.7,,           4,2021,ALL,hispanic/latino
Acton-Boxborough - Paul P Gates Elementary School,06000025,MATH,           3,27,           0,0,           3,27,           7,64,           1,9,          11,100,     487.8,,           4,2021,ALL,hispanic/latino
Acton-Boxborough - Raymond J Grey Junior High,06000405,ELA,          28,54,           2,4,          26,50,          19,37,           5,10,          52,100,     500.5,          44.1,          44,2021,ALL,hispanic/latino
