school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,avg_scaled_score,sgp,included_in_sgp,ach_pctl,year,grade,student_group
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,4450105,ELA,140,40,12,3,128,37,182,52,28,8,350,     495.9,          50.3,289,36,2019,ALL,male
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,4450105,MATH,136,39,14,4,122,35,183,52,31,9,350,     495.6,          51.6,290,34,2019,ALL,male
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,4450105,SCI,38,32,2,2,36,31,69,59,10,9,117,     492.8,,,27,2019,ALL,male
Abington - Abington Middle School,10405,ELA,148,43,17,5,131,38,160,47,35,10,343,     496.8,          41.9,330,41,2019,ALL,male
Abington - Abington Middle School,10405,MATH,147,43,18,5,129,38,160,47,36,10,343,     496.5,          40.9,330,38,2019,ALL,male
Abington - Abington Middle School,10405,SCI,74,45,6,4,68,41,65,40,25,15,164,     495.9,,,36,2019,ALL,male
Abington - Woodsdale Elementary School,10015,ELA,91,65,11,8,80,57,41,29,9,6,141,     506.7,          55.5,84,78,2019,ALL,male
Abington - Woodsdale Elementary School,10015,MATH,93,66,14,10,79,56,41,29,6,4,140,     507.6,          59.1,83,76,2019,ALL,male
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,4120530,ELA,50,31,6,4,44,28,91,57,18,11,159,     492.8,          53.5,135,27,2019,ALL,male
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,4120530,MATH,46,29,8,5,38,24,94,59,19,12,159,     490.1,          43.5,134,18,2019,ALL,male
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,4120530,SCI,26,31,2,2,24,28,49,58,10,12,85,     489.9,,,20,2019,ALL,male
Acton-Boxborough - Blanchard Memorial School,6000005,ELA,79,66,17,14,62,52,33,28,7,6,119,     511.3,          55.2,77,91,2019,ALL,male
Acton-Boxborough - Blanchard Memorial School,6000005,MATH,84,71,28,24,56,47,26,22,9,8,119,     513.7,          63.0,77,91,2019,ALL,male
Acton-Boxborough - Blanchard Memorial School,6000005,SCI,12,71,8,47,4,24,4,24,1,6,17,     524.9,,,99,2019,ALL,male
Acton-Boxborough - C.T. Douglas Elementary School,6000020,ELA,100,68,14,9,86,58,42,28,6,4,148,     507.3,          53.0,111,80,2019,ALL,male
Acton-Boxborough - C.T. Douglas Elementary School,6000020,MATH,89,60,28,19,61,41,50,34,9,6,148,     507.0,          55.2,111,75,2019,ALL,male
Acton-Boxborough - C.T. Douglas Elementary School,6000020,SCI,22,63,4,11,18,51,11,31,2,6,35,     506.7,,,73,2019,ALL,male
Acton-Boxborough - Luther Conant School,6000030,ELA,96,73,31,23,65,49,33,25,3,2,132,     515.2,          60.0,102,96,2019,ALL,male
