school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,part_rate_percent,avg_scaled_score,sgp,included_in_sgp,ach_pctl,year,grade,student_group
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,ELA,          87,27,           5,2,          82,26,         173,55,          57,18,         317,100,     487.8,          48.8,         254,34,2022,ALL,male
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,MATH,          84,26,           3,1,          81,25,         172,54,          62,19,         318,100,     487.0,          52.6,         255,28,2022,ALL,male
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,SCI,          28,28,           1,1,          27,27,          51,51,          21,21,         100,100,     487.2,,,27,2022,ALL,male
Abington - Abington Middle School,00010405,ELA,         122,41,          11,4,         111,37,         130,43,          49,16,         301,98,     493.2,          47.5,         281,54,2022,ALL,male
Abington - Abington Middle School,00010405,MATH,         112,37,           9,3,         103,34,         153,50,          38,13,         303,99,     493.6,          51.6,         282,48,2022,ALL,male
Abington - Abington Middle School,00010405,SCI,          55,36,           6,4,          49,32,          73,48,          23,15,         151,97,     493.5,,,42,2022,ALL,male
Abington - Woodsdale Elementary School,00010015,ELA,          75,50,           7,5,          68,46,          58,39,          16,11,         149,99,     498.0,          42.3,          63,71,2022,ALL,male
Abington - Woodsdale Elementary School,00010015,MATH,          87,58,          11,7,          76,51,          44,29,          19,13,         150,99,     502.9,          32.3,          64,74,2022,ALL,male
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,ELA,          13,11,           1,1,          12,10,          68,56,          41,34,         122,98,     477.3,          37.8,         117,8,2022,ALL,male
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,MATH,          11,9,           0,0,          11,9,          69,56,          43,35,         123,98,     475.4,          31.9,         116,7,2022,ALL,male
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,SCI,           9,16,           1,2,           8,14,          32,56,          16,28,          57,98,     479.4,,,11,2022,ALL,male
Acton-Boxborough - Blanchard Memorial School,06000005,ELA,          91,64,          13,9,          78,55,          38,27,          13,9,         142,100,     502.4,          54.4,          95,85,2022,ALL,male
Acton-Boxborough - Blanchard Memorial School,06000005,MATH,         100,70,          25,18,          75,53,          26,18,          16,11,         142,100,     508.5,          59.9,          95,88,2022,ALL,male
Acton-Boxborough - Blanchard Memorial School,06000005,SCI,          23,70,           9,27,          14,42,           5,15,           5,15,          33,97,     511.7,,,90,2022,ALL,male
Acton-Boxborough - C.T. Douglas Elementary School,06000020,ELA,          55,59,           2,2,          53,56,          32,34,           7,7,          94,98,     500.9,          54.0,          63,80,2022,ALL,male
