school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,part_rate_percent,avg_scaled_score,sgp,included_in_sgp,year,grade,student_group
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,ELA,         247,42,          22,4,         225,38,         279,47,          64,11,         590,100,     494.9,          33.6,         380,2021,ALL,non-disabled
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,MATH,         104,18,           4,1,         100,17,         357,61,         129,22,         590,100,     482.4,          20.9,         380,2021,ALL,non-disabled
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,SCI,          56,30,           6,3,          50,27,         101,54,          29,16,         186,100,     490.5,,,2021,ALL,non-disabled
Abington - Abington Middle School,00010405,ELA,         288,59,          51,10,         237,48,         153,31,          50,10,         491,94,     503.0,          39.4,         458,2021,ALL,non-disabled
Abington - Abington Middle School,00010405,MATH,         160,33,          13,3,         147,30,         267,55,          60,12,         487,93,     491.6,          23.7,         453,2021,ALL,non-disabled
Abington - Abington Middle School,00010405,SCI,         114,50,          17,8,          97,43,          97,43,          15,7,         226,94,     499.8,,,2021,ALL,non-disabled
Abington - Woodsdale Elementary School,00010015,ELA,         161,71,          31,14,         130,57,          58,25,           9,4,         228,96,     509.5,,,2021,ALL,non-disabled
Abington - Woodsdale Elementary School,00010015,MATH,         126,55,          23,10,         103,45,          92,40,          11,5,         229,97,     501.6,,,2021,ALL,non-disabled
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,ELA,          62,31,           4,2,          58,29,          98,49,          38,19,         198,95,     489.0,          32.6,         187,2021,ALL,non-disabled
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,MATH,          24,12,           1,1,          23,12,         127,64,          49,25,         200,96,     480.7,          24.2,         190,2021,ALL,non-disabled
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,SCI,          11,16,           0,0,          11,16,          42,61,          16,23,          69,90,     481.5,,,2021,ALL,non-disabled
Acton-Boxborough - Blanchard Memorial School,06000005,ELA,         181,84,          46,21,         135,63,          28,13,           6,3,         215,97,     515.7,          42.4,          89,2021,ALL,non-disabled
Acton-Boxborough - Blanchard Memorial School,06000005,MATH,         154,71,          41,19,         113,52,          58,27,           4,2,         216,97,     511.7,          45.6,          89,2021,ALL,non-disabled
Acton-Boxborough - Blanchard Memorial School,06000005,SCI,          43,84,          12,24,          31,61,           7,14,           1,2,          51,95,     519.1,,,2021,ALL,non-disabled
Acton-Boxborough - C.T. Douglas Elementary School,06000020,ELA,         121,66,          27,15,          94,52,          57,31,           4,2,         182,98,     509.4,          42.3,         102,2021,ALL,non-disabled
Acton-Boxborough - C.T. Douglas Elementary School,06000020,MATH,         110,60,          19,10,          91,50,          67,37,           5,3,         182,98,     505.0,          44.5,         102,2021,ALL,non-disabled
Acton-Boxborough - C.T. Douglas Elementary School,06000020,SCI,          34,62,           7,13,          27,49,          20,36,           1,2,          55,98,     507.2,,,2021,ALL,non-disabled
Acton-Boxborough - Luther Conant School,06000030,ELA,         169,87,          57,29,         112,57,          26,13,           0,0,         195,99,     519.3,          60.0,          71,2021,ALL,non-disabled
Acton-Boxborough - Luther Conant School,06000030,MATH,         158,81,          47,24,         111,57,          33,17,           4,2,         195,99,     517.5,          62.8,          71,2021,ALL,non-disabled
Acton-Boxborough - Luther Conant School,06000030,SCI,          32,86,           8,22,          24,65,           5,14,           0,0,          37,97,     519.1,,,2021,ALL,non-disabled
Acton-Boxborough - McCarthy-Towne School,06000015,ELA,         168,70,          37,15,         131,54,          68,28,           5,2,         241,98,     508.8,          45.7,         115,2021,ALL,non-disabled
Acton-Boxborough - McCarthy-Towne School,06000015,MATH,         129,54,          13,5,         116,48,          97,40,          14,6,         240,97,     500.8,          42.4,         114,2021,ALL,non-disabled
Acton-Boxborough - McCarthy-Towne School,06000015,SCI,          42,71,           8,14,          34,58,          17,29,           0,0,          59,98,     512.0,,,2021,ALL,non-disabled
Acton-Boxborough - Merriam School,06000010,ELA,         153,69,          42,19,         111,50,          61,28,           7,3,         221,98,     510.4,          38.1,         112,2021,ALL,non-disabled
Acton-Boxborough - Merriam School,06000010,MATH,         124,56,          22,10,         102,46,          88,40,           9,4,         221,98,     503.7,          45.1,         111,2021,ALL,non-disabled
Acton-Boxborough - Merriam School,06000010,SCI,          39,68,           8,14,          31,54,          17,30,           1,2,          57,94,     509.8,,,2021,ALL,non-disabled
Acton-Boxborough - Paul P Gates Elementary School,06000025,ELA,         177,83,          55,26,         122,57,          34,16,           2,1,         213,98,     518.2,          48.3,         109,2021,ALL,non-disabled
Acton-Boxborough - Paul P Gates Elementary School,06000025,MATH,         164,77,          47,22,         117,55,          47,22,           2,1,         213,98,     515.0,          47.1,         109,2021,ALL,non-disabled
Acton-Boxborough - Paul P Gates Elementary School,06000025,SCI,          41,71,          11,19,          30,52,          15,26,           2,3,          58,100,     512.4,,,2021,ALL,non-disabled
Acton-Boxborough - Raymond J Grey Junior High,06000405,ELA,         510,77,         107,16,         403,61,         138,21,          13,2,         661,98,     514.1,          42.0,         620,2021,ALL,non-disabled
Acton-Boxborough - Raymond J Grey Junior High,06000405,MATH,         576,87,         182,27,         394,60,          80,12,           6,1,         662,99,     520.4,          60.0,         621,2021,ALL,non-disabled
Acton-Boxborough - Raymond J Grey Junior High,06000405,SCI,         226,79,          80,28,         146,51,          57,20,           3,1,         286,98,     516.1,,,2021,ALL,non-disabled
Acushnet - Acushnet Elementary School,00030025,ELA,         105,70,          22,15,          83,55,          44,29,           1,1,         150,99,     510.0,,,2021,ALL,non-disabled
Acushnet - Acushnet Elementary School,00030025,MATH,          92,61,          17,11,          75,50,          49,33,           9,6,         150,99,     504.8,,,2021,ALL,non-disabled
Acushnet - Albert F Ford Middle School,00030305,ELA,         184,52,          33,9,         151,43,         140,39,          31,9,         355,98,     501.1,          34.9,         337,2021,ALL,non-disabled
Acushnet - Albert F Ford Middle School,00030305,MATH,         149,42,          10,3,         139,39,         179,51,          26,7,         354,98,     496.2,          32.5,         340,2021,ALL,non-disabled
Acushnet - Albert F Ford Middle School,00030305,SCI,          78,45,          10,6,          68,40,          75,44,          19,11,         172,100,     497.7,,,2021,ALL,non-disabled
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,ELA,         226,66,          46,13,         180,53,         105,31,          10,3,         341,96,     509.7,          41.3,         295,2021,ALL,non-disabled
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,MATH,         182,53,          53,15,         129,38,         138,40,          24,7,         344,97,     504.5,          33.5,         299,2021,ALL,non-disabled
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,SCI,          47,66,           3,4,          44,62,          23,32,           1,1,          71,96,     506.8,,,2021,ALL,non-disabled
Agawam - Agawam Junior High,00050405,ELA,         115,37,          10,3,         105,33,         163,52,          36,11,         314,68,     494.4,          27.6,         302,2021,ALL,non-disabled
Agawam - Agawam Junior High,00050405,MATH,         127,40,          11,3,         116,37,         161,51,          27,9,         315,69,     495.4,          24.4,         305,2021,ALL,non-disabled
Agawam - Agawam Junior High,00050405,SCI,          49,49,           7,7,          42,42,          47,47,           5,5,         101,52,     499.3,,,2021,ALL,non-disabled
Agawam - Benjamin J Phelps,00050020,ELA,          72,61,           9,8,          63,53,          43,36,           4,3,         119,95,     503.2,,,2021,ALL,non-disabled
Agawam - Benjamin J Phelps,00050020,MATH,          44,37,           7,6,          37,31,          61,51,          14,12,         119,95,     493.5,,,2021,ALL,non-disabled
Agawam - Clifford M Granger,00050010,ELA,          43,61,           5,7,          38,54,          25,36,           2,3,          70,91,     503.4,,,2021,ALL,non-disabled
Agawam - Clifford M Granger,00050010,MATH,          29,41,           2,3,          27,38,          37,52,           5,7,          71,93,     495.8,,,2021,ALL,non-disabled
Agawam - James Clark School,00050030,ELA,          55,68,          13,16,          42,52,          26,32,           0,0,          81,100,     508.8,,,2021,ALL,non-disabled
Agawam - James Clark School,00050030,MATH,          30,37,           5,6,          25,31,          44,54,           7,9,          81,100,     496.1,,,2021,ALL,non-disabled
