school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,avg_scaled_score,sgp,included_in_sgp,ach_pctl,year,grade,student_group
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,ELA,          87,63,           8,6,          79,57,          46,33,           5,4,         138,     505.4,          55.8,         110,52,2019,ALL,white
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,MATH,          70,51,           9,7,          61,44,          65,47,           3,2,         138,     501.2,          51.4,         110,45,2019,ALL,white
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,SCI,          22,56,           1,3,          21,54,          16,41,           1,3,          39,     501.6,,,41,2019,ALL,white
Abington - Abington Middle School,00010405,ELA,         312,54,          46,8,         266,46,         227,39,          37,6,         576,     502.2,          45.8,         560,36,2019,ALL,white
Abington - Abington Middle School,00010405,MATH,         267,46,          27,5,         240,42,         264,46,          46,8,         577,     498.0,          43.4,         560,31,2019,ALL,white
Abington - Abington Middle School,00010405,SCI,         130,47,          10,4,         120,43,         121,44,          26,9,         277,     498.2,,,25,2019,ALL,white
Abington - Woodsdale Elementary School,00010015,ELA,         163,67,          28,12,         135,56,          69,28,          11,5,         243,     508.8,          55.6,         132,69,2019,ALL,white
Abington - Woodsdale Elementary School,00010015,MATH,         144,60,          25,10,         119,49,          82,34,          15,6,         241,     505.3,          53.4,         130,64,2019,ALL,white
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,ELA,          18,69,           4,15,          14,54,           7,27,           1,4,          26,     509.4,          59.7,          21,72,2019,ALL,white
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,MATH,          19,73,           4,15,          15,58,           5,19,           2,8,          26,     506.9,          54.6,          21,67,2019,ALL,white
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,SCI,           6,55,           0,0,           6,55,           4,36,           1,9,          11,     497.8,,,,2019,ALL,white
Acton-Boxborough - Blanchard Memorial School,06000005,ELA,          95,71,          24,18,          71,53,          34,26,           4,3,         133,     512.1,          54.4,          92,81,2019,ALL,white
Acton-Boxborough - Blanchard Memorial School,06000005,MATH,          89,67,          21,16,          68,51,          37,28,           7,5,         133,     509.2,          60.7,          92,80,2019,ALL,white
Acton-Boxborough - Blanchard Memorial School,06000005,SCI,          23,77,          10,33,          13,43,           6,20,           1,3,          30,     519.1,,,98,2019,ALL,white
Acton-Boxborough - C.T. Douglas Elementary School,06000020,ELA,         117,65,          17,9,         100,55,          54,30,          10,6,         181,     505.8,          50.2,         131,54,2019,ALL,white
Acton-Boxborough - C.T. Douglas Elementary School,06000020,MATH,          83,46,          10,6,          73,40,          83,46,          15,8,         181,     497.0,          48.5,         130,26,2019,ALL,white
Acton-Boxborough - C.T. Douglas Elementary School,06000020,SCI,          19,44,           3,7,          16,37,          20,47,           4,9,          43,     497.6,,,22,2019,ALL,white
Acton-Boxborough - Luther Conant School,06000030,ELA,          49,74,           8,12,          41,62,          16,24,           1,2,          66,     512.7,          58.0,          52,83,2019,ALL,white
Acton-Boxborough - Luther Conant School,06000030,MATH,          37,56,           9,14,          28,42,          27,41,           2,3,          66,     507.2,          63.6,          52,73,2019,ALL,white
Acton-Boxborough - Luther Conant School,06000030,SCI,          11,52,           2,10,           9,43,          10,48,           0,0,          21,     506.6,,,65,2019,ALL,white
Acton-Boxborough - McCarthy-Towne School,06000015,ELA,         138,69,          29,14,         109,54,          58,29,           5,2,         201,     508.9,          49.8,         148,69,2019,ALL,white
Acton-Boxborough - McCarthy-Towne School,06000015,MATH,         116,58,          14,7,         102,51,          78,39,           7,3,         201,     503.0,          52.2,         149,54,2019,ALL,white
Acton-Boxborough - McCarthy-Towne School,06000015,SCI,          32,57,           4,7,          28,50,          23,41,           1,2,          56,     504.3,,,53,2019,ALL,white
Acton-Boxborough - Merriam School,06000010,ELA,         131,65,          21,10,         110,55,          68,34,           2,1,         201,     509.2,          50.4,         146,71,2019,ALL,white
Acton-Boxborough - Merriam School,06000010,MATH,         131,65,          14,7,         117,58,          63,31,           7,3,         201,     505.9,          63.0,         146,67,2019,ALL,white
Acton-Boxborough - Merriam School,06000010,SCI,          34,62,          10,18,          24,44,          21,38,           0,0,          55,     508.6,,,73,2019,ALL,white
Acton-Boxborough - Paul P Gates Elementary School,06000025,ELA,          56,77,          15,21,          41,56,          17,23,           0,0,          73,     513.9,          71.1,          59,86,2019,ALL,white
Acton-Boxborough - Paul P Gates Elementary School,06000025,MATH,          49,67,          11,15,          38,52,          21,29,           3,4,          73,     508.6,          61.0,          59,78,2019,ALL,white
Acton-Boxborough - Paul P Gates Elementary School,06000025,SCI,          14,82,           2,12,          12,71,           3,18,           0,0,          17,     512.6,,,88,2019,ALL,white
Acton-Boxborough - Raymond J Grey Junior High,06000405,ELA,         371,76,          65,13,         306,63,         106,22,          11,2,         488,     511.4,          45.8,         480,78,2019,ALL,white
Acton-Boxborough - Raymond J Grey Junior High,06000405,MATH,         392,81,         109,22,         283,58,          81,17,          13,3,         486,     515.8,          53.8,         475,95,2019,ALL,white
Acton-Boxborough - Raymond J Grey Junior High,06000405,SCI,         212,82,          44,17,         168,65,          46,18,           1,0,         259,     514.9,,,92,2019,ALL,white
Acushnet - Acushnet Elementary School,00030025,ELA,         143,78,          28,15,         115,63,          38,21,           3,2,         184,     513.7,          64.5,          89,86,2019,ALL,white
Acushnet - Acushnet Elementary School,00030025,MATH,         108,58,          19,10,          89,48,          69,37,           9,5,         186,     503.5,          63.9,          89,56,2019,ALL,white
Acushnet - Albert F Ford Middle School,00030305,ELA,         198,50,          12,3,         186,47,         179,45,          22,6,         399,     499.4,          49.7,         386,26,2019,ALL,white
Acushnet - Albert F Ford Middle School,00030305,MATH,         216,54,          27,7,         189,47,         166,42,          17,4,         399,     501.8,          54.8,         384,47,2019,ALL,white
Acushnet - Albert F Ford Middle School,00030305,SCI,          94,48,          12,6,          82,42,          93,47,          10,5,         197,     500.1,,,33,2019,ALL,white
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,ELA,         214,77,          47,17,         167,60,          60,22,           5,2,         279,     512.9,          53.7,         268,83,2019,ALL,white
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,MATH,         200,72,          50,18,         150,54,          77,28,           2,1,         279,     512.1,          55.0,         266,89,2019,ALL,white
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,SCI,          67,64,          14,13,          53,51,          35,34,           2,2,         104,     509.4,,,76,2019,ALL,white
Agawam - Agawam Junior High,00050405,ELA,         221,46,          19,4,         202,42,         200,42,          55,12,         476,     495.9,          43.4,         458,14,2019,ALL,white
Agawam - Agawam Junior High,00050405,MATH,         247,52,          48,10,         199,42,         200,42,          29,6,         476,     502.0,          45.7,         456,48,2019,ALL,white
Agawam - Agawam Junior High,00050405,SCI,         106,44,          10,4,          96,40,         115,48,          21,9,         242,     495.7,,,17,2019,ALL,white
Agawam - Benjamin J Phelps,00050020,ELA,          64,53,           5,4,          59,49,          50,42,           6,5,         120,     502.7,          42.3,          65,39,2019,ALL,white
Agawam - Benjamin J Phelps,00050020,MATH,          70,58,          12,10,          58,48,          46,38,           4,3,         120,     504.3,          36.7,          65,60,2019,ALL,white
Agawam - Clifford M Granger,00050010,ELA,          43,52,           4,5,          39,47,          33,40,           7,8,          83,     501.9,          52.5,          49,35,2019,ALL,white
Agawam - Clifford M Granger,00050010,MATH,          50,60,           2,2,          48,57,          30,36,           4,5,          84,     503.2,          65.5,          49,55,2019,ALL,white
Agawam - James Clark School,00050030,ELA,          60,61,          12,12,          48,48,          31,31,           8,8,          99,     505.7,          52.7,          44,54,2019,ALL,white
Agawam - James Clark School,00050030,MATH,          57,57,          15,15,          42,42,          34,34,           9,9,         100,     504.2,          45.4,          45,59,2019,ALL,white
Agawam - Roberta G. Doering School,00050303,ELA,         253,53,          21,4,         232,48,         193,40,          33,7,         479,     501.4,          50.3,         469,33,2019,ALL,white
Agawam - Roberta G. Doering School,00050303,MATH,         270,56,          31,6,         239,50,         182,38,          27,6,         479,     501.9,          46.5,         469,48,2019,ALL,white
Agawam - Roberta G. Doering School,00050303,SCI,         128,51,          16,6,         112,45,         107,43,          15,6,         250,     501.4,,,40,2019,ALL,white
Agawam - Robinson Park,00050025,ELA,          66,62,           9,8,          57,54,          33,31,           7,7,         106,     506.4,          45.5,          42,57,2019,ALL,white
Agawam - Robinson Park,00050025,MATH,          69,65,          14,13,          55,52,          32,30,           5,5,         106,     508.0,          50.9,          42,75,2019,ALL,white
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,ELA,          41,55,           8,11,          33,45,          30,41,           3,4,          74,     504.1,          37.4,          57,45,2019,ALL,white
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,MATH,          47,64,          11,15,          36,49,          26,35,           1,1,          74,     507.1,          49.0,          57,72,2019,ALL,white
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,SCI,           9,35,           1,4,           8,31,          15,58,           2,8,          26,     492.5,,,11,2019,ALL,white
Amesbury - Amesbury Elementary,00070005,ELA,          87,67,          22,17,          65,50,          32,25,          11,8,         130,     509.9,          54.1,          69,73,2019,ALL,white
Amesbury - Amesbury Elementary,00070005,MATH,          81,62,          15,12,          66,51,          36,28,          13,10,         130,     504.0,          47.1,          69,58,2019,ALL,white
Amesbury - Amesbury Middle,00070013,ELA,         308,59,          47,9,         261,50,         168,32,          45,9,         521,     501.8,          52.5,         513,34,2019,ALL,white
Amesbury - Amesbury Middle,00070013,MATH,         291,57,          48,9,         243,47,         184,36,          40,8,         515,     502.5,          62.2,         505,51,2019,ALL,white
Amesbury - Amesbury Middle,00070013,SCI,         158,61,          22,9,         136,53,          84,33,          15,6,         257,     504.3,,,52,2019,ALL,white
Amesbury - Charles C Cashman Elementary,00070010,ELA,          83,55,          20,13,          63,42,          54,36,          14,9,         151,     504.0,          59.8,          76,45,2019,ALL,white
Amesbury - Charles C Cashman Elementary,00070010,MATH,          74,49,           5,3,          69,45,          52,34,          26,17,         152,     495.8,          56.2,          76,22,2019,ALL,white
Amherst - Crocker Farm Elementary,00080009,ELA,          54,67,           8,10,          46,57,          26,32,           1,1,          81,     507.8,          51.6,          55,63,2019,ALL,white
Amherst - Crocker Farm Elementary,00080009,MATH,          46,57,           7,9,          39,48,          32,40,           3,4,          81,     504.3,          62.7,          56,59,2019,ALL,white
Amherst - Crocker Farm Elementary,00080009,SCI,          15,65,           5,22,          10,43,           7,30,           1,4,          23,     511.0,,,84,2019,ALL,white
Amherst - Fort River Elementary,00080020,ELA,          63,67,          23,24,          40,43,          24,26,           7,7,          94,     510.8,          48.8,          71,76,2019,ALL,white
Amherst - Fort River Elementary,00080020,MATH,          63,66,          16,17,          47,49,          23,24,           9,9,          95,     507.3,          54.0,          74,73,2019,ALL,white
Amherst - Fort River Elementary,00080020,SCI,          14,58,           2,8,          12,50,           9,38,           1,4,          24,     507.2,,,67,2019,ALL,white
Amherst - Wildwood Elementary,00080050,ELA,          75,63,          14,12,          61,51,          37,31,           7,6,         119,     508.2,          49.2,          79,65,2019,ALL,white
Amherst - Wildwood Elementary,00080050,MATH,          70,59,          12,10,          58,49,          38,32,          11,9,         119,     505.4,          55.8,          80,65,2019,ALL,white
Amherst - Wildwood Elementary,00080050,SCI,          24,71,           3,9,          21,62,           6,18,           4,12,          34,     507.2,,,67,2019,ALL,white
Amherst-Pelham - Amherst Regional Middle School,06050405,ELA,         148,70,          27,13,         121,57,          46,22,          18,8,         212,     507.8,          47.1,         200,63,2019,ALL,white
Amherst-Pelham - Amherst Regional Middle School,06050405,MATH,         134,63,          38,18,          96,45,          59,28,          20,9,         213,     505.7,          38.6,         202,66,2019,ALL,white
Amherst-Pelham - Amherst Regional Middle School,06050405,SCI,          65,67,          16,16,          49,51,          26,27,           6,6,          97,     507.4,,,68,2019,ALL,white
Andover - Andover West Middle,00090310,ELA,         269,70,          74,19,         195,51,          94,24,          21,5,         384,     510.9,          60.8,         369,76,2019,ALL,white
Andover - Andover West Middle,00090310,MATH,         253,66,          54,14,         199,52,         111,29,          18,5,         382,     508.2,          48.9,         368,76,2019,ALL,white
Andover - Andover West Middle,00090310,SCI,         102,74,          20,14,          82,59,          34,25,           2,1,         138,     510.8,,,83,2019,ALL,white
Andover - Bancroft Elementary,00090003,ELA,         158,67,          21,9,         137,58,          71,30,           6,3,         235,     506.9,          52.5,         153,59,2019,ALL,white
Andover - Bancroft Elementary,00090003,MATH,         149,63,          26,11,         123,52,          83,35,           4,2,         236,     506.2,          65.3,         153,69,2019,ALL,white
Andover - Bancroft Elementary,00090003,SCI,          60,77,          10,13,          50,64,          18,23,           0,0,          78,     511.4,,,85,2019,ALL,white
Andover - Doherty Middle,00090305,ELA,         296,68,          72,17,         224,51,         129,30,          11,3,         436,     509.6,          54.5,         427,72,2019,ALL,white
Andover - Doherty Middle,00090305,MATH,         238,55,          45,10,         193,45,         174,40,          21,5,         433,     502.7,          47.7,         425,53,2019,ALL,white
Andover - Doherty Middle,00090305,SCI,         112,71,          25,16,          87,55,          43,27,           2,1,         157,     510.5,,,82,2019,ALL,white
Andover - Henry C Sanborn Elementary,00090010,ELA,          96,68,          18,13,          78,55,          46,32,           0,0,         142,     511.1,          50.4,          88,77,2019,ALL,white
Andover - Henry C Sanborn Elementary,00090010,MATH,         106,75,          18,13,          88,62,          36,25,           0,0,         142,     511.1,          65.9,          89,86,2019,ALL,white
Andover - Henry C Sanborn Elementary,00090010,SCI,          42,88,          19,40,          23,48,           5,10,           1,2,          48,     519.0,,,97,2019,ALL,white
Andover - High Plain Elementary,00090004,ELA,         125,82,          49,32,          76,50,          25,16,           2,1,         152,     520.1,          69.9,          99,97,2019,ALL,white
Andover - High Plain Elementary,00090004,MATH,         115,75,          22,14,          93,61,          37,24,           1,1,         153,     512.0,          73.7,         100,89,2019,ALL,white
Andover - High Plain Elementary,00090004,SCI,          48,81,          21,36,          27,46,          11,19,           0,0,          59,     520.0,,,98,2019,ALL,white
Andover - South Elementary,00090020,ELA,         145,79,          32,17,         113,61,          38,21,           1,1,         184,     513.6,          48.9,         115,85,2019,ALL,white
Andover - South Elementary,00090020,MATH,         133,72,          13,7,         120,65,          48,26,           3,2,         184,     507.7,          63.1,         116,74,2019,ALL,white
Andover - South Elementary,00090020,SCI,          55,81,          12,18,          43,63,          13,19,           0,0,          68,     512.7,,,88,2019,ALL,white
Andover - West Elementary,00090025,ELA,         140,67,          41,20,          99,47,          62,30,           7,3,         209,     511.4,          59.1,         133,78,2019,ALL,white
Andover - West Elementary,00090025,MATH,         129,62,          24,11,         105,50,          67,32,          13,6,         209,     507.0,          66.4,         133,72,2019,ALL,white
Andover - West Elementary,00090025,SCI,          47,71,          11,17,          36,55,          16,24,           3,5,          66,     513.0,,,89,2019,ALL,white
Andover - Wood Hill Middle School,00090350,ELA,         147,69,          37,17,         110,52,          54,25,          12,6,         213,     508.8,          48.8,         204,69,2019,ALL,white
Andover - Wood Hill Middle School,00090350,MATH,         141,66,          43,20,          98,46,          62,29,          10,5,         213,     508.9,          50.5,         204,79,2019,ALL,white
Andover - Wood Hill Middle School,00090350,SCI,          50,68,          15,20,          35,47,          22,30,           2,3,          74,     510.7,,,83,2019,ALL,white
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,ELA,          68,33,           3,1,          65,32,         102,50,          33,16,         203,     490.7,          39.4,         192,6,2019,ALL,white
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,MATH,          87,43,           7,3,          80,40,          99,49,          16,8,         202,     496.2,          52.5,         191,23,2019,ALL,white
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,SCI,          11,16,           0,0,          11,16,          41,60,          16,24,          68,     484.8,,,3,2019,ALL,white
Arlington - Brackett,00100010,ELA,         136,74,          28,15,         108,59,          41,22,           6,3,         183,     512.1,          47.5,         125,81,2019,ALL,white
Arlington - Brackett,00100010,MATH,         126,69,          16,9,         110,60,          52,28,           5,3,         183,     508.8,          53.2,         125,79,2019,ALL,white
Arlington - Brackett,00100010,SCI,          43,69,          11,18,          32,52,          17,27,           2,3,          62,     510.0,,,80,2019,ALL,white
Arlington - Cyrus E Dallin,00100025,ELA,         124,67,          27,15,          97,53,          56,30,           4,2,         184,     509.6,          59.6,         124,72,2019,ALL,white
Arlington - Cyrus E Dallin,00100025,MATH,         124,67,          23,13,         101,55,          56,30,           4,2,         184,     508.0,          57.5,         125,75,2019,ALL,white
Arlington - Cyrus E Dallin,00100025,SCI,          50,77,          14,22,          36,55,          15,23,           0,0,          65,     512.4,,,88,2019,ALL,white
Arlington - Gibbs School,00100305,ELA,         226,72,          66,21,         160,51,          72,23,          16,5,         314,     512.5,          48.6,         303,82,2019,ALL,white
Arlington - Gibbs School,00100305,MATH,         229,73,          54,17,         175,56,          80,25,           6,2,         315,     511.0,          58.2,         305,86,2019,ALL,white
Arlington - Hardy,00100030,ELA,          97,71,          17,13,          80,59,          38,28,           1,1,         136,     511.3,          47.7,          83,78,2019,ALL,white
Arlington - Hardy,00100030,MATH,          93,68,          22,16,          71,52,          40,29,           3,2,         136,     510.4,          55.7,          83,84,2019,ALL,white
Arlington - Hardy,00100030,SCI,          31,76,          14,34,          17,41,          10,24,           0,0,          41,     519.0,,,97,2019,ALL,white
Arlington - John A Bishop,00100005,ELA,         110,72,          27,18,          83,54,          42,27,           1,1,         153,     512.1,          44.2,         102,81,2019,ALL,white
Arlington - John A Bishop,00100005,MATH,         102,67,          21,14,          81,53,          46,30,           4,3,         152,     510.9,          61.8,         102,86,2019,ALL,white
Arlington - John A Bishop,00100005,SCI,          43,83,          15,29,          28,54,           8,15,           1,2,          52,     517.9,,,96,2019,ALL,white
Arlington - M Norcross Stratton,00100055,ELA,          96,69,          12,9,          84,60,          37,26,           7,5,         140,     507.1,          51.2,          89,60,2019,ALL,white
Arlington - M Norcross Stratton,00100055,MATH,          89,64,          18,13,          71,51,          41,29,          10,7,         140,     505.8,          60.5,          88,67,2019,ALL,white
Arlington - M Norcross Stratton,00100055,SCI,          26,57,           4,9,          22,48,          14,30,           6,13,          46,     503.5,,,49,2019,ALL,white
Arlington - Ottoson Middle,00100410,ELA,         485,79,         155,25,         330,54,         110,18,          17,3,         612,     516.1,          56.2,         592,92,2019,ALL,white
Arlington - Ottoson Middle,00100410,MATH,         476,78,         150,25,         326,53,         120,20,          15,2,         611,     514.7,          59.6,         588,94,2019,ALL,white
