school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,part_rate_percent,avg_scaled_score,sgp,included_in_sgp,ach_pctl,year,grade,student_group
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,ELA,          41,37,           4,4,          37,33,          55,50,          15,14,         111,99,     491.6,          48.6,          91,23,2022,ALL,white
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,MATH,          30,27,           1,1,          29,26,          64,57,          18,16,         112,100,     487.3,          49.3,          92,17,2022,ALL,white
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,SCI,          11,35,           2,6,           9,29,          14,45,           6,19,31,100,     490.4,,,15,2022,ALL,white
Abington - Abington Middle School,00010405,ELA,         244,52,          31,7,         213,45,         177,38,          51,11,         472,97,     498.8,          49.1,440,53,2022,ALL,white
Abington - Abington Middle School,00010405,MATH,         194,41,          14,3,         180,38,         236,49,          47,10,         477,98,     495.9,          51.4,         441,45,2022,ALL,white
Abington - Abington Middle School,00010405,SCI,          92,38,          14,6,          78,32,         125,52,          25,10,         242,97,     495.5,,,29,2022,ALL,white
Abington - Woodsdale Elementary School,00010015,ELA,         136,57,          14,6,         122,51,          90,38,          12,5,         238,100,     503.1,          49.3,         108,73,2022,ALL,white
Abington - Woodsdale Elementary School,00010015,MATH,         136,58,          17,7,         119,50,          87,37,          13,6,         236,98,     505.0,          31.9,         107,80,2022,ALL,white
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,ELA,           1,9,           0,0,           1,9,           7,64,           3,27,          11,100,     478.0,,          11,2,2022,ALL,white
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,MATH,           1,9,           0,0,           1,9,           9,82,           1,9,          11,100,     478.3,,          11,4,2022,ALL,white
Acton-Boxborough - Blanchard Memorial School,06000005,ELA,         114,66,          13,8,         101,59,          50,29,           8,5,         172,100,     505.3,          52.7,         109,81,2022,ALL,white
Acton-Boxborough - Blanchard Memorial School,06000005,MATH,         114,66,          10,6,         104,60,          49,28,           9,5,         172,100,     505.4,          56.6,         108,82,2022,ALL,white
Acton-Boxborough - Blanchard Memorial School,06000005,SCI,          30,75,           8,20,          22,55,           9,23,           1,3,          40,98,     512.8,,,91,2022,ALL,white
Acton-Boxborough - C.T. Douglas Elementary School,06000020,ELA,          77,58,           5,4,          72,54,          49,37,           7,5,         133,98,     501.9,          55.2,          95,68,2022,ALL,white
Acton-Boxborough - C.T. Douglas Elementary School,06000020,MATH,          63,48,           8,6,          55,42,          61,46,           8,6,         132,97,     499.6,          61.3,          94,61,2022,ALL,white
Acton-Boxborough - C.T. Douglas Elementary School,06000020,SCI,          19,59,           2,6,          17,53,           9,28,           4,13,          32,97,     501.3,,,53,2022,ALL,white
Acton-Boxborough - Luther Conant School,06000030,ELA,          42,79,           7,13,          35,66,          11,21,           0,0,          53,100,     510.7,          59.0,          37,94,2022,ALL,white
Acton-Boxborough - Luther Conant School,06000030,MATH,          33,63,           5,10,          28,54,          18,35,           1,2,          52,98,     505.8,          47.3,          36,83,2022,ALL,white
Acton-Boxborough - Luther Conant School,06000030,SCI,          12,67,           4,22,           8,44,           6,33,           0,0,          18,100,     515.0,,,95,2022,ALL,white
Acton-Boxborough - McCarthy-Towne School,06000015,ELA,         119,61,          16,8,         103,53,          67,34,          10,5,         196,99,     504.4,          55.4,         136,78,2022,ALL,white
Acton-Boxborough - McCarthy-Towne School,06000015,MATH,         105,54,           4,2,         101,52,          80,41,          11,6,         196,99,     501.3,          51.0,         134,66,2022,ALL,white
Acton-Boxborough - McCarthy-Towne School,06000015,SCI,          28,60,           1,2,          27,57,          14,30,           5,11,          47,96,     502.5,,,59,2022,ALL,white
Acton-Boxborough - Merriam School,06000010,ELA,         108,59,           9,5,          99,54,          68,37,           7,4,         183,99,     504.4,          51.2,         134,78,2022,ALL,white
Acton-Boxborough - Merriam School,06000010,MATH,          98,53,           6,3,          92,50,          78,42,           8,4,         184,99,     499.9,          55.1,         136,62,2022,ALL,white
Acton-Boxborough - Merriam School,06000010,SCI,          28,54,           3,6,          25,48,          19,37,           5,10,          52,100,     501.0,,,51,2022,ALL,white
Acton-Boxborough - Paul P Gates Elementary School,06000025,ELA,          42,66,           8,13,          34,53,          18,28,           4,6,          64,99,     504.8,          60.1,          44,79,2022,ALL,white
Acton-Boxborough - Paul P Gates Elementary School,06000025,MATH,          28,44,           4,6,          24,38,          30,47,           6,9,          64,99,     501.1,          55.5,          44,65,2022,ALL,white
Acton-Boxborough - Paul P Gates Elementary School,06000025,SCI,          19,90,           5,24,          14,67,           2,10,           0,0,          21,92,     516.6,,,96,2022,ALL,white
Acton-Boxborough - Raymond J Grey Junior High,06000405,ELA,         245,59,          21,5,         224,54,         149,36,          20,5,         414,99,     502.9,          49.1,         391,72,2022,ALL,white
Acton-Boxborough - Raymond J Grey Junior High,06000405,MATH,         317,78,          71,17,         246,60,          80,20,          12,3,         409,98,     512.3,          69.8,         387,95,2022,ALL,white
Acton-Boxborough - Raymond J Grey Junior High,06000405,SCI,         153,73,          34,16,         119,56,          49,23,           9,4,         211,98,     510.6,,,87,2022,ALL,white
Acushnet - Acushnet Elementary School,00030025,ELA,         120,60,          23,12,          97,49,          73,37,           6,3,         199,100,     506.2,          67.8,          83,84,2022,ALL,white
Acushnet - Acushnet Elementary School,00030025,MATH,         126,63,          21,11,         105,53,          65,33,           8,4,         199,100,     508.4,          73.0,          83,89,2022,ALL,white
Acushnet - Albert F Ford Middle School,00030305,ELA,         154,43,          19,5,         135,38,         156,44,          46,13,         356,99,     496.0,          43.3,         331,41,2022,ALL,white
Acushnet - Albert F Ford Middle School,00030305,MATH,         161,45,          20,6,         141,40,         163,46,          31,9,         355,99,     498.7,          49.0,         328,57,2022,ALL,white
Acushnet - Albert F Ford Middle School,00030305,SCI,          76,47,           9,6,          67,41,          70,43,          17,10,         163,100,     497.1,,,36,2022,ALL,white
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,ELA,         173,59,          19,6,         154,53,         108,37,          12,4,         293,99,     503.2,          50.5,         265,73,2022,ALL,white
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,MATH,         180,62,          25,9,         155,53,         104,36,           8,3,         292,99,     504.9,          53.2,         266,80,2022,ALL,white
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,SCI,          65,66,           9,9,          56,57,          32,33,           1,1,          98,100,     506.6,,,76,2022,ALL,white
Agawam - Agawam Junior High,00050405,ELA,         124,31,          10,3,         114,29,         225,56,          50,13,         399,94,     491.3,          42.7,         326,21,2022,ALL,white
Agawam - Agawam Junior High,00050405,MATH,         125,32,          12,3,         113,29,         238,60,          32,8,         395,93,     493.5,          40.3,         324,36,2022,ALL,white
Agawam - Agawam Junior High,00050405,SCI,          99,46,           9,4,          90,42,          97,45,          18,8,         214,93,     497.2,,,36,2022,ALL,white
Agawam - Benjamin J Phelps,00050020,ELA,          51,50,           6,6,          45,44,          44,43,           7,7,         102,100,     500.3,          50.9,          48,61,2022,ALL,white
Agawam - Benjamin J Phelps,00050020,MATH,          52,51,           6,6,          46,45,          46,45,           4,4,         102,100,     501.6,          55.4,          48,67,2022,ALL,white
Agawam - Clifford M Granger,00050010,ELA,          33,42,           2,3,          31,40,          38,49,           7,9,          78,96,     495.1,          46.5,          30,37,2022,ALL,white
Agawam - Clifford M Granger,00050010,MATH,          35,45,           1,1,          34,44,          40,51,           3,4,          78,96,     497.1,          51.2,          30,50,2022,ALL,white
Agawam - James Clark School,00050030,ELA,          41,41,           4,4,          37,37,          46,46,          12,12,          99,99,     494.4,          35.7,          46,34,2022,ALL,white
Agawam - James Clark School,00050030,MATH,          37,37,           7,7,          30,30,          51,52,          11,11,          99,99,     494.4,          41.3,          46,40,2022,ALL,white
Agawam - Roberta G. Doering School,00050303,ELA,         158,37,          12,3,         146,35,         206,49,          59,14,         423,99,     493.0,          44.2,         378,28,2022,ALL,white
Agawam - Roberta G. Doering School,00050303,MATH,         137,33,          13,3,         124,30,         236,56,          45,11,         418,98,     492.5,          45.4,         372,33,2022,ALL,white
Agawam - Roberta G. Doering School,00050303,SCI,         108,48,           6,3,         102,46,          96,43,          19,9,         223,98,     498.2,,,41,2022,ALL,white
Agawam - Robinson Park,00050025,ELA,          35,40,           0,0,          35,40,          47,53,           6,7,          88,100,     494.2,          44.7,          35,33,2022,ALL,white
Agawam - Robinson Park,00050025,MATH,          31,36,           2,2,          29,33,          44,51,          12,14,          87,100,     492.4,          41.4,          35,32,2022,ALL,white
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,ELA,          58,38,          11,7,          47,31,          67,44,          26,17,         151,98,     492.6,          46.0,         130,28,2022,ALL,white
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,MATH,          54,36,           3,2,          51,34,          71,47,          26,17,         151,99,     491.0,          42.4,         130,28,2022,ALL,white
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,SCI,          10,32,           2,6,           8,26,          16,52,           5,16,          31,97,     493.7,,,23,2022,ALL,white
Amesbury - Amesbury Elementary,00070005,ELA,          44,48,           7,8,          37,41,          40,44,           7,8,          91,100,     500.7,          41.8,          39,63,2022,ALL,white
Amesbury - Amesbury Elementary,00070005,MATH,          53,59,           8,9,          45,50,          33,37,           4,4,          90,99,     503.3,          46.6,          37,75,2022,ALL,white
Amesbury - Amesbury Middle,00070013,ELA,         200,41,          13,3,         187,39,         207,43,          78,16,         485,99,     493.9,          40.7,         436,31,2022,ALL,white
Amesbury - Amesbury Middle,00070013,MATH,         200,42,          21,4,         179,38,         214,45,          63,13,         477,98,     495.2,          50.2,         427,43,2022,ALL,white
Amesbury - Amesbury Middle,00070013,SCI,         113,54,          15,7,          98,47,          72,34,          24,11,         209,93,     500.2,,,48,2022,ALL,white
